peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
1454	321.115516	0.003798039	0.472826732	16	N1O1	H15_C23_N_O	0	23	15	1	1	0
1692	337.146786	0.001971524	0.360922913	15	N1O1	H19_C24_N_O	0	24	19	1	1	0
1746	341.038126	0.00238914	-0.497832902	8	N1O10	H11_C13_N_O10	0	13	11	10	1	0
1788	343.054116	0.002680087	0.495974227	7	N1O10	H13_C13_N_O10	0	13	13	10	1	0
1825	345.069496	0.003014576	-0.289588043	6	N1O10	H15_C13_N_O10	0	13	15	10	1	0
1961	353.038296	0.003418833	6.23E-04	9	N1O10	H11_C14_N_O10	0	14	11	10	1	0
1999	355.053906	0.005014266	-0.112247744	8	N1O10	H13_C14_N_O10	0	14	13	10	1	0
2038	357.069566	0.005411362	-0.0838156	7	N1O10	H15_C14_N_O10	0	14	15	10	1	0
2079	359.085266	0.003736997	0.055691508	6	N1O10	H17_C14_N_O10	0	14	17	10	1	0
2154	363.022486	0.002348655	-0.439934181	11	N1O10	H9_C15_N_O10	0	15	9	10	1	0
2161	363.116526	0.001762285	-0.055491829	4	N1O10	H21_C14_N_O10	0	14	21	10	1	0
2186	365.038256	0.005152414	-0.10897488	10	N1O10	H11_C15_N_O10	0	15	11	10	1	0
2221	367.053976	0.006819481	0.08212961	9	N1O10	H13_C15_N_O10	0	15	13	10	1	0
2259	369.069586	0.007799137	-0.026900076	8	N1O10	H15_C15_N_O10	0	15	15	10	1	0
2299	371.085236	0.00662641	-0.026953376	7	N1O10	H17_C15_N_O10	0	15	17	10	1	0
2342	373.100836	0.004415629	-0.161018133	6	N1O10	H19_C15_N_O10	0	15	19	10	1	0
2375	375.022616	0.002000928	-0.079211223	12	N1O10	H9_C16_N_O10	0	16	9	10	1	0
2384	375.116506	0.002846004	-0.107033413	5	N1O10	H21_C15_N_O10	0	15	21	10	1	0
2414	377.038246	0.004905194	-0.132029046	11	N1O10	H11_C16_N_O10	0	16	11	10	1	0
2451	379.053886	0.008440978	-0.157903671	10	N1O10	H13_C16_N_O10	0	16	13	10	1	0
2489	381.069566	0.010258241	-0.078536841	9	N1O10	H15_C16_N_O10	0	16	15	10	1	0
2525	383.085206	0.009342827	-0.104420634	8	N1O10	H17_C16_N_O10	0	16	17	10	1	0
2567	385.100906	0.00725912	0.025769869	7	N1O10	H19_C16_N_O10	0	16	19	10	1	0
2597	387.022506	0.001918632	-0.360976423	13	N1O10	H9_C17_N_O10	0	17	9	10	1	0
2606	387.116436	0.004817053	-0.284539714	6	N1O10	H21_C16_N_O10	0	16	21	10	1	0
2638	389.038186	0.00472532	-0.282183097	12	N1O10	H11_C17_N_O10	0	17	11	10	1	0
2647	389.132296	0.001821846	0.256406371	5	N1O10	H23_C16_N_O10	0	16	23	10	1	0
2679	391.053926	0.008683315	-0.050770491	11	N1O10	H13_C17_N_O10	0	17	13	10	1	0
2722	393.069536	0.012012453	-0.152461574	10	N1O10	H15_C17_N_O10	0	17	15	10	1	0
2754	395.085226	0.010780973	-0.050627051	9	N1O10	H17_C17_N_O10	0	17	17	10	1	0
2788	397.100906	0.009369142	0.024991129	8	N1O10	H19_C17_N_O10	0	17	19	10	1	0
2826	399.116496	0.007149669	-0.125652536	7	N1O10	H21_C17_N_O10	0	17	21	10	1	0
2854	401.038236	0.00323086	-0.149063093	13	N1O10	H11_C18_N_O10	0	18	11	10	1	0
2865	401.132206	0.003480613	0.024371017	6	N1O10	H23_C17_N_O10	0	17	23	10	1	0
2895	403.053926	0.006637723	-0.049258917	12	N1O10	H13_C18_N_O10	0	18	13	10	1	0
2906	403.147986	0.002007448	0.346527838	5	N1O10	H25_C17_N_O10	0	17	25	10	1	0
2935	405.069606	0.010042249	0.024864862	11	N1O10	H15_C18_N_O10	0	18	15	10	1	0
2972	407.085246	0.010530677	-4.91E-06	10	N1O10	H17_C18_N_O10	0	18	17	10	1	0
3000	409.100816	0.011111555	-0.195736593	9	N1O10	H19_C18_N_O10	0	18	19	10	1	0
3038	411.116456	0.008847233	-0.219280933	8	N1O10	H21_C18_N_O10	0	18	21	10	1	0
3067	413.038246	0.002929256	-0.120521527	14	N1O10	H11_C19_N_O10	0	19	11	10	1	0
3077	413.132176	0.005782967	-0.048952856	7	N1O10	H23_C18_N_O10	0	18	23	10	1	0
3106	415.053956	0.004882546	0.024445014	13	N1O10	H13_C19_N_O10	0	19	13	10	1	0
3116	415.147776	0.002703257	-0.169332474	6	N1O10	H25_C18_N_O10	0	18	25	10	1	0
3148	417.069556	0.008678385	-0.095734631	12	N1O10	H15_C19_N_O10	0	19	15	10	1	0
3186	419.085176	0.009829384	-0.167035257	11	N1O10	H17_C19_N_O10	0	19	17	10	1	0
3226	421.100866	0.01050256	-0.071422318	10	N1O10	H19_C19_N_O10	0	19	19	10	1	0
3256	423.116566	0.008381391	0.046913786	9	N1O10	H21_C19_N_O10	0	19	21	10	1	0
3294	425.132156	0.007599547	-0.094615285	8	N1O10	H23_C19_N_O10	0	19	23	10	1	0
3324	427.053836	0.003076971	-0.257236889	14	N1O10	H13_C20_N_O10	0	20	13	10	1	0
3334	427.147876	0.004414067	0.069535638	7	N1O10	H25_C19_N_O10	0	19	25	10	1	0
3367	429.069556	0.005456189	-0.093057173	13	N1O10	H15_C20_N_O10	0	20	15	10	1	0
3377	429.163516	0.002314757	0.045735481	6	N1O10	H27_C19_N_O10	0	19	27	10	1	0
3407	431.085246	0.006744156	-4.64E-06	12	N1O10	H17_C20_N_O10	0	20	17	10	1	0
3446	433.100826	0.007965811	-0.161800661	11	N1O10	H19_C20_N_O10	0	20	19	10	1	0
3484	435.116536	0.005906077	-0.023327084	10	N1O10	H21_C20_N_O10	0	20	21	10	1	0
3522	437.132216	0.006176696	0.045240317	9	N1O10	H23_C20_N_O10	0	20	23	10	1	0
3552	439.053976	0.00230355	0.068661262	15	N1O10	H13_C21_N_O10	0	21	13	10	1	0
3560	439.147836	0.005172652	-0.023449962	8	N1O10	H25_C20_N_O10	0	20	25	10	1	0
3594	441.069646	0.003866444	0.113524022	14	N1O10	H15_C21_N_O10	0	21	15	10	1	0
3605	441.163396	0.004091506	-0.227516609	7	N1O10	H27_C20_N_O10	0	20	27	10	1	0
3637	443.085226	0.004385096	-0.045142557	13	N1O10	H17_C21_N_O10	0	21	17	10	1	0
3679	445.100886	0.00546319	-0.022637564	12	N1O10	H19_C21_N_O10	0	21	19	10	1	0
3721	447.116546	0.005761369	-3.35E-04	11	N1O10	H21_C21_N_O10	0	21	21	10	1	0
3762	449.132166	0.005691151	-0.067294223	10	N1O10	H23_C21_N_O10	0	21	23	10	1	0
3798	451.147806	0.005185491	-0.089323276	9	N1O10	H25_C21_N_O10	0	21	25	10	1	0
3832	453.069526	0.002510442	-0.154342757	15	N1O10	H15_C22_N_O10	0	22	15	10	1	0
3839	453.163616	0.003737315	0.263984124	8	N1O10	H27_C21_N_O10	0	21	27	10	1	0
3880	455.085336	0.003196113	0.197760712	14	N1O10	H17_C22_N_O10	0	22	17	10	1	0
3891	455.179116	0.002269839	-0.066887954	7	N1O10	H29_C21_N_O10	0	21	29	10	1	0
3927	457.100856	0.004700932	-0.087674305	13	N1O10	H19_C22_N_O10	0	22	19	10	1	0
3974	459.116656	0.003760505	0.239263809	12	N1O10	H21_C22_N_O10	0	22	21	10	1	0
4018	461.132206	0.004463803	0.021199994	11	N1O10	H23_C22_N_O10	0	22	23	10	1	0
4056	463.147796	0.004736287	-0.108600322	10	N1O10	H25_C22_N_O10	0	22	25	10	1	0
4090	465.163446	0.003261717	-0.108288819	9	N1O10	H27_C22_N_O10	0	22	27	10	1	0
4122	467.085176	0.001794421	-0.149869881	15	N1O10	H17_C23_N_O10	0	23	17	10	1	0
4128	467.179116	0.003195833	-0.065169865	8	N1O10	H29_C22_N_O10	0	22	29	10	1	0
4160	469.100896	0.002419379	-1.62E-04	14	N1O10	H19_C23_N_O10	0	23	19	10	1	0
4199	471.116476	0.002579232	-0.148901606	13	N1O10	H21_C23_N_O10	0	23	21	10	1	0
4245	473.132016	0.003417983	-0.380916941	12	N1O10	H23_C23_N_O10	0	23	23	10	1	0
4284	475.147896	0.003839024	0.10460322	11	N1O10	H25_C23_N_O10	0	23	25	10	1	0
4321	477.163466	0.003614247	-0.063651143	10	N1O10	H27_C23_N_O10	0	23	27	10	1	0
4353	479.179196	0.00244696	0.103414339	9	N1O10	H29_C23_N_O10	0	23	29	10	1	0
4424	483.116526	0.002009596	-0.041708364	14	N1O10	H21_C24_N_O10	0	24	21	10	1	0
4431	483.210576	0.00195566	0.267804569	7	N1O10	H33_C23_N_O10	0	23	33	10	1	0
4465	485.132296	0.002620081	0.20566761	13	N1O10	H23_C24_N_O10	0	24	23	10	1	0
4508	487.147866	0.002600934	0.040443572	12	N1O10	H25_C24_N_O10	0	24	25	10	1	0
4546	489.163516	0.00330924	0.040125642	11	N1O10	H27_C24_N_O10	0	24	27	10	1	0
4577	491.178906	0.001841258	-0.489528351	10	N1O10	H29_C24_N_O10	0	24	29	10	1	0
4616	493.194936	0.002037046	0.282809068	9	N1O10	H31_C24_N_O10	0	24	31	10	1	0
4756	501.163366	0.001938378	-0.260138727	12	N1O10	H27_C25_N_O10	0	25	27	10	1	0
4791	503.179076	0.001989952	-0.140001847	11	N1O10	H29_C25_N_O10	0	25	29	10	1	0
4823	505.194806	0.002470747	0.018765038	10	N1O10	H31_C25_N_O10	0	25	31	10	1	0
4853	507.210626	0.001994784	0.353711044	9	N1O10	H33_C25_N_O10	0	25	33	10	1	0
2486	381.033106	0.002134981	-0.274044429	10	N1O11	H11_C15_N_O11	0	15	11	11	1	0
2563	385.064436	0.004130326	-0.193650706	8	N1O11	H15_C15_N_O11	0	15	15	11	1	0
2718	393.033236	0.002705505	0.065083554	11	N1O11	H11_C16_N_O11	0	16	11	11	1	0
2750	395.048876	0.004146576	0.03925084	10	N1O11	H13_C16_N_O11	0	16	13	11	1	0
2861	401.095756	0.00427819	-0.136416303	7	N1O11	H19_C16_N_O11	0	16	19	11	1	0
2901	403.111506	0.001939607	0.112152591	6	N1O11	H21_C16_N_O11	0	16	21	11	1	0
2933	405.033146	0.003736913	-0.159048712	12	N1O11	H11_C17_N_O11	0	17	11	11	1	0
2969	407.048846	0.005718827	-0.03560752	11	N1O11	H13_C17_N_O11	0	17	13	11	1	0
3033	411.080106	0.008616019	-0.132922998	9	N1O11	H17_C17_N_O11	0	17	17	11	1	0
3072	413.095816	0.005992555	0.012791221	8	N1O11	H19_C17_N_O11	0	17	19	11	1	0
3144	417.033166	0.002715984	-0.10651431	13	N1O11	H11_C18_N_O11	0	18	11	11	1	0
3154	417.127206	0.002139224	0.228074311	6	N1O11	H23_C17_N_O11	0	17	23	11	1	0
3183	419.048876	0.005122343	0.037002844	12	N1O11	H13_C18_N_O11	0	18	13	11	1	0
3224	421.064546	0.008756287	0.084148619	11	N1O11	H15_C18_N_O11	0	18	15	11	1	0
3254	423.080126	0.00842915	-0.081880471	10	N1O11	H17_C18_N_O11	0	18	17	11	1	0
3290	425.095806	0.00771358	-0.01109397	9	N1O11	H19_C18_N_O11	0	18	19	11	1	0
3330	427.111406	0.006760621	-0.128280348	8	N1O11	H21_C18_N_O11	0	18	21	11	1	0
3362	429.033106	0.002120876	-0.243384481	14	N1O11	H11_C19_N_O11	0	19	11	11	1	0
3373	429.127226	0.003502667	0.268302715	7	N1O11	H23_C18_N_O11	0	18	23	11	1	0
3444	433.064466	0.007820915	-0.102913085	12	N1O11	H15_C19_N_O11	0	19	15	11	1	0
3481	435.080136	0.008953139	-0.056637842	11	N1O11	H17_C19_N_O11	0	19	17	11	1	0
3520	437.095826	0.00822656	0.034967161	10	N1O11	H19_C19_N_O11	0	19	19	11	1	0
3601	441.127066	0.005463217	-0.101703122	8	N1O11	H23_C19_N_O11	0	19	23	11	1	0
3634	443.048936	0.003777054	0.170423612	14	N1O11	H13_C20_N_O11	0	20	13	11	1	0
3643	443.142756	0.003030347	-0.011143136	7	N1O11	H25_C19_N_O11	0	19	25	11	1	0
3674	445.064536	0.006486576	0.057142275	13	N1O11	H15_C20_N_O11	0	20	15	11	1	0
3717	447.080166	0.007626286	0.011984428	12	N1O11	H17_C20_N_O11	0	20	17	11	1	0
3759	449.095776	0.00946107	-0.077301996	11	N1O11	H19_C20_N_O11	0	20	19	11	1	0
3793	451.111436	0.007336313	-0.054953162	10	N1O11	H21_C20_N_O11	0	20	21	11	1	0
3837	453.127106	0.00748951	-0.010734295	9	N1O11	H23_C20_N_O11	0	20	23	11	1	0
3875	455.048866	0.002588844	0.012099799	15	N1O11	H13_C21_N_O11	0	21	13	11	1	0
3887	455.142756	0.004336664	-0.010849343	8	N1O11	H25_C20_N_O11	0	20	25	11	1	0
3924	457.064496	0.004976809	-0.031872964	14	N1O11	H15_C21_N_O11	0	21	15	11	1	0
3969	459.080216	0.005502895	0.120584591	13	N1O11	H17_C21_N_O11	0	21	17	11	1	0
4053	463.111446	0.00548071	-0.031936157	11	N1O11	H21_C21_N_O11	0	21	21	11	1	0
4086	465.127096	0.005138969	-0.031956857	10	N1O11	H23_C21_N_O11	0	21	23	11	1	0
4126	467.142756	0.005369008	-0.010570645	9	N1O11	H25_C21_N_O11	0	21	25	11	1	0
4155	469.064536	0.003231619	0.054218552	15	N1O11	H15_C22_N_O11	0	22	15	11	1	0
4195	471.080156	0.004967415	-0.009853949	14	N1O11	H17_C22_N_O11	0	22	17	11	1	0
4206	471.174166	0.001783178	0.222665009	7	N1O11	H29_C21_N_O11	0	21	29	11	1	0
4240	473.095806	0.005521032	-0.009968382	13	N1O11	H19_C22_N_O11	0	22	19	11	1	0
4280	475.111496	0.00510979	0.07410892	12	N1O11	H21_C22_N_O11	0	22	21	11	1	0
4350	479.142786	0.004929932	0.052305911	10	N1O11	H25_C22_N_O11	0	22	25	11	1	0
4386	481.158406	0.004265072	-0.010416528	9	N1O11	H27_C22_N_O11	0	22	27	11	1	0
4428	483.174156	0.002187617	0.196438487	8	N1O11	H29_C22_N_O11	0	22	29	11	1	0
4504	487.111496	0.004295552	0.072283246	13	N1O11	H21_C23_N_O11	0	23	21	11	1	0
4575	491.142826	0.003249201	0.132470631	11	N1O11	H25_C23_N_O11	0	23	25	11	1	0
4614	493.158506	0.003506641	0.192611501	10	N1O11	H27_C23_N_O11	0	23	27	11	1	0
4645	495.174056	0.003357934	-0.010271136	9	N1O11	H29_C23_N_O11	0	23	29	11	1	0
4683	497.189846	0.00182361	0.271204251	8	N1O11	H31_C23_N_O11	0	23	31	11	1	0
4753	501.127096	0.003176014	-0.029661138	13	N1O11	H23_C24_N_O11	0	24	23	11	1	0
