exp	town	abundance	mw	error	C	H	O	N	S	y
SRFA	1	0.014538797	930.243236	0.266183069	43	46	23	0	0	2
SRFA	1	0.08498869	696.153636	-0.205855421	30	32	19	0	0	5
SRFA	1	0.020882284	450.091186	0.280634245	19	18	11	2	0	6
SRFA	1	0.318640882	518.215226	0.054762961	27	34	10	0	0	9
SRFA	1	0.013436664	343.090436	0.304986642	14	17	9	1	0	7
SRFA	1	0.02077227	371.085346	0.269474397	15	17	10	1	0	8
SRFA	1	0.020582109	676.179426	0.325199188	35	32	14	0	0	4
SRFA	1	0.036377109	254.079066	0.10893853	12	14	6	0	0	8
SRFA	1	0.502676182	522.137346	0.009106799	24	26	13	0	0	8
SRFA	1	0.041419093	466.126286	-0.207104819	25	22	9	0	0	8
SRFA	1	0.19731665	348.048166	0.09720781	16	12	9	0	0	9
SRFA	1	0.042472442	535.132636	0.085552622	24	25	13	1	0	3
SRFA	1	0.059545049	698.205736	-0.112988187	31	38	18	0	0	5
SRFA	1	0.012174239	894.258426	0.203000603	44	46	20	0	0	3
SRFA	1	0.023550003	512.262286	0.26969973	26	40	10	0	0	6
SRFA	1	0.464620237	462.043446	0.011252189	20	14	13	0	0	8
SRFA	1	0.185126481	538.241416	0.006671727	27	38	11	0	0	9
SRFA	1	0.015086876	381.142356	-0.028713681	18	23	8	1	0	7
SRFA	1	0.198244552	616.179106	-0.162464126	30	32	14	0	0	7
SRFA	1	0.145302345	474.101046	0.190387684	19	22	14	0	0	8
SRFA	1	0.015182952	406.074786	0.110942618	15	18	13	0	0	7
SRFA	1	0.029734692	475.038686	-0.007944616	20	13	13	1	0	4
SRFA	1	0.032201797	375.059046	0.039423126	17	13	9	1	0	7
SRFA	1	0.04354172	462.100956	0.000569	18	22	14	0	0	8
SRFA	1	0.040642523	532.179246	0.074961585	23	32	14	0	0	7
SRFA	1	0.398416592	532.121686	-0.009717702	25	24	13	0	0	9
SRFA	1	0.019095674	457.122136	0.241720957	19	23	12	1	0	5
SRFA	1	0.183350325	638.184656	-0.046163755	29	34	16	0	0	7
SRFA	1	0.014678181	485.023116	0.15731209	21	11	13	1	0	4
SRFA	1	0.047422582	666.288656	-0.151023132	33	46	14	0	0	5
SRFA	1	0.028928253	728.216266	-0.156001734	32	40	19	0	0	4
SRFA	1	0.018701415	850.107146	0.049691383	48	22	14	2	0	1
SRFA	1	0.219972601	472.027796	0.011170952	21	12	13	0	0	8
SRFA	1	0.022167608	358.178036	0.033153903	21	26	5	0	0	8
SRFA	1	0.033228015	256.058356	0.207425373	11	12	7	0	0	8
SRFA	1	0.098015165	540.017586	-0.062973875	24	12	15	0	0	8
SRFA	1	0.643112017	494.178836	0.048336752	24	30	11	0	0	9
SRFA	1	0.336227221	488.168286	0.079073142	25	28	10	0	0	9
SRFA	1	0.211020135	634.153336	-0.07776195	29	30	16	0	0	7
SRFA	1	0.047490283	804.081046	0.046897014	37	24	21	0	0	4
SRFA	1	0.036351472	478.256696	0.057523502	26	38	8	0	0	8
SRFA	1	0.033227268	572.246776	-0.202295591	27	40	13	0	0	6
SRFA	1	0.060550609	426.022356	0.104752719	20	10	11	0	0	7
SRFA	1	0.01094666	952.227346	0.008074752	45	44	23	0	0	3
SRFA	1	0.009539623	348.033036	0.459476496	12	12	12	0	0	5
SRFA	1	0.014757332	410.096286	0.34370221	17	18	10	2	0	6
SRFA	1	0.031705986	700.149586	-0.165580331	51	24	2	0	1	1
SRFA	1	0.858958838	440.131856	-0.013384625	20	24	11	0	0	9
SRFA	1	0.12036447	306.110356	0.057270196	16	18	6	0	0	9
SRFA	1	0.114128011	586.189756	-0.025283622	26	34	15	0	0	7
SRFA	1	0.175815598	688.163816	-0.194760313	32	32	17	0	0	7
SRFA	1	0.076629604	750.164236	-0.143996467	33	34	20	0	0	6
SRFA	1	0.118914872	572.101446	0.168272604	23	24	17	0	0	8
SRFA	1	0.091635338	640.236746	0.038980893	30	40	15	0	0	8
SRFA	1	0.262520709	674.111836	-0.116367932	30	26	18	0	0	7
SRFA	1	0.06492529	740.231556	-0.107646046	37	40	16	0	0	5
SRFA	1	0.094088505	748.221386	-0.105534273	35	40	18	0	0	5
SRFA	1	0.149587422	510.079856	0.058208533	25	18	12	0	0	9
SRFA	1	0.017665987	880.242686	0.104072435	43	44	20	0	0	3
SRFA	1	0.105008283	334.032506	0.071570879	15	10	9	0	0	9
SRFA	1	0.135298522	514.205036	0.017695276	24	34	12	0	0	9
SRFA	1	0.128106283	734.133026	-0.024345724	32	30	20	0	0	4
SRFA	1	0.059991079	606.028076	-0.179399279	28	14	16	0	0	7
SRFA	1	0.070110393	754.210786	-0.151481525	37	38	17	0	0	5
SRFA	1	0.562125653	464.095476	-0.000825	21	20	12	0	0	9
SRFA	1	0.054081178	578.017976	-0.06574363	23	14	18	0	0	6
SRFA	1	0.014751856	594.303896	-0.196372598	31	46	11	0	0	4
SRFA	1	0.013750777	406.111176	0.121993688	16	22	12	0	0	7
SRFA	1	0.360169492	390.131496	0.072034686	20	22	8	0	0	9
SRFA	1	0.021017188	748.017946	0.252342876	25	20	23	2	1	1
SRFA	1	0.451159679	548.189336	-0.074476093	27	32	12	0	0	8
SRFA	1	0.255145278	484.048936	0.032734294	19	16	15	0	0	8
SRFA	1	0.041217981	534.043326	-0.214965705	26	14	13	0	0	7
SRFA	1	0.279485791	598.059416	-0.11515411	27	18	16	0	0	8
SRFA	1	0.089484835	656.028526	-0.080354737	28	16	19	0	0	7
SRFA	1	0.21541672	600.038636	-0.18904616	26	16	17	0	0	8
SRFA	1	0.089070664	758.060266	-0.009045455	32	22	22	0	0	6
SRFA	1	0.008001914	378.116366	0.407766005	15	22	11	0	0	6
SRFA	1	0.13191347	512.225776	0.026677689	25	36	11	0	0	9
SRFA	1	0.025918544	387.059056	0.06403674	18	13	9	1	0	7
SRFA	1	0.021988897	515.142846	0.165123132	25	25	11	1	0	2
SRFA	1	0.034934728	440.183516	0.028444954	25	28	7	0	0	8
SRFA	1	0.069405505	816.138476	-0.057866405	36	32	22	0	0	6
SRFA	1	0.014137071	345.048476	0.027532363	16	11	8	1	0	7
SRFA	1	0.041829282	409.064526	0.0377251	17	15	11	1	0	6
SRFA	1	0.241565248	472.137006	0.124432102	24	24	10	0	0	9
SRFA	1	0.053800915	266.079086	0.179191085	13	14	6	0	0	8
SRFA	1	0.21908054	642.122006	-0.123286539	30	26	16	0	0	7
SRFA	1	0.154127374	680.101226	-0.181930271	32	24	17	0	0	6
SRFA	1	0.023072114	455.049006	0.319758967	21	13	11	1	0	8
SRFA	1	0.054033389	576.053826	-0.311628865	28	16	14	0	0	7
SRFA	1	0.024497818	682.007826	-0.025338419	29	14	20	0	0	3
SRFA	1	0.010113091	313.079726	-0.129832744	13	15	8	1	0	8
SRFA	1	0.333845737	328.079476	0.133153712	14	16	9	0	0	9
SRFA	1	0.091738881	412.043086	0.095118694	20	12	10	0	0	9
SRFA	1	0.056984357	748.294226	-0.013335663	37	48	16	0	0	5
SRFA	1	0.22510195	542.090816	0.05715463	22	22	16	0	0	7
SRFA	1	0.185230024	632.210476	-0.047855898	31	36	14	0	0	7
SRFA	1	0.124808844	640.091196	0.026541531	26	24	19	0	0	7
SRFA	1	0.306167962	634.080516	-0.155022899	27	22	18	0	0	7
SRFA	1	0.013962591	328.006586	-0.229565512	12	8	11	0	0	6
SRFA	1	0.446094049	352.152246	0.121166344	18	24	7	0	0	9
SRFA	1	0.250573468	582.122066	-0.032922648	25	26	16	0	0	7
SRFA	1	0.067394386	278.115466	0.151631265	15	18	5	0	0	8
SRFA	1	0.196715305	622.226066	-0.14517071	30	38	14	0	0	7
SRFA	1	0.043515834	476.116626	0.042403476	19	24	14	0	0	8
SRFA	1	0.030586928	862.107046	-0.066995161	49	22	14	2	0	1
SRFA	1	0.059811871	452.074346	-0.002112484	23	16	10	0	0	8
SRFA	1	0.140977444	460.085336	0.065937768	18	20	14	0	0	8
SRFA	1	0.029242864	730.028966	-0.009190046	30	18	22	0	0	2
SRFA	1	0.179097107	716.122476	-0.004411257	32	28	19	0	0	6
SRFA	1	0.030190678	416.022736	0.073632995	15	12	14	0	0	7
