	peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
0	1971	361.006966037	0.0005007476782622383	-0.08208151862770052	12.0	N1O10	H7_C15_N_O10	0	15	7	10	1	0
1	2172	375.022616037	0.0004161419801668503	-0.07921122287140428	12.0	N1O10	H9_C16_N_O10	0	16	9	10	1	0
2	2289	385.00701603699997	0.0007565323469227136	0.05290293197668871	14.0	N1O10	H7_C17_N_O10	0	17	7	10	1	0
3	2311	387.02264603699996	0.0009149220840547773	0.0007596455148832166	13.0	N1O10	H9_C17_N_O10	0	17	9	10	1	0
4	2453	399.02260603699995	0.0011648040295923186	-0.09950814664318668	14.0	N1O10	H9_C18_N_O10	0	18	9	10	1	0
5	2482	401.038256037	0.000685699669447505	-0.09919253190906156	13.0	N1O10	H11_C18_N_O10	0	18	11	10	1	0
6	2577	409.00697603699996	0.0010024791437116324	-0.047999181251431385	16.0	N1O10	H7_C19_N_O10	0	19	7	10	1	0
7	2606	411.022636037	0.004429993703762002	-0.023614271242963555	15.0	N1O10	H9_C19_N_O10	0	19	9	10	1	0
8	2619	412.025986037	0.0009788682512198964	-0.03530359851431101	15.0	N1O10	H9_C18_13C_N_O10	0	19	9	10	1	0
9	2635	413.03829603699995	0.0010742956083739966	0.0005326382713246505	14.0	N1O10	H11_C19_N_O10	0	19	11	10	1	0
10	2665	415.05396603699995	0.0005007476782622383	0.04853826645597255	13.0	N1O10	H13_C19_N_O10	0	19	13	10	1	0
11	2763	423.022636037	0.0017275303006453644	-0.022944398685858174	16.0	N1O10	H9_C20_N_O10	0	20	9	10	1	0
12	2793	425.038306037	0.0016665354950417125	0.024044891696651482	15.0	N1O10	H11_C20_N_O10	0	20	11	10	1	0
13	2827	427.05394603699995	0.0006404454588383443	0.00034187716123143525	14.0	N1O10	H13_C20_N_O10	0	20	13	10	1	0
14	2855	429.069596037	0.0005066504013851724	0.0001678050252080955	13.0	N1O10	H15_C20_N_O10	0	20	15	10	1	0
15	2900	433.00697603699996	0.0004899260192035258	-0.04533876127986183	18.0	N1O10	H7_C21_N_O10	0	21	7	10	1	0
16	2925	435.02262603699995	0.004111246655123564	-0.045298793234382184	17.0	N1O10	H9_C21_N_O10	0	21	9	10	1	0
17	2939	436.02597603699996	0.0008686840862584608	-0.05629481098699372	17.0	N1O10	H9_C20_13C_N_O10	0	21	9	10	1	0
18	2955	437.038286037	0.002868723437745947	-0.0223779020814035	16.0	N1O10	H11_C21_N_O10	0	21	11	10	1	0
19	2969	438.041636037	0.0006256886510310089	-0.0333758227505722	16.0	N1O10	H11_C20_13C_N_O10	0	21	11	10	1	0
20	2986	439.053956037	0.0009080355737446877	0.023108777010225172	15.0	N1O10	H13_C21_N_O10	0	21	13	10	1	0
21	3015	441.069556037	0.0004279474264127184	-0.09052540451231708	14.0	N1O10	H15_C21_N_O10	0	21	15	10	1	0
22	3060	445.00697603699996	0.0003797418542420904	-0.04411616216421762	19.0	N1O10	H7_C22_N_O10	0	22	7	10	1	0
23	3083	447.02262603699995	0.0019656067999370376	-0.044082779799823765	18.0	N1O10	H9_C22_N_O10	0	22	9	10	1	0
24	3106	449.038286037	0.0025657169841019987	-0.021779879967639432	17.0	N1O10	H11_C22_N_O10	0	22	11	10	1	0
25	3134	451.05396603699995	0.001649811112860066	0.04466427858758592	16.0	N1O10	H13_C22_N_O10	0	22	13	10	1	0
26	3148	452.057286037	0.0003925310876751141	-0.03250472984727802	16.0	N1O10	H13_C21_13C_N_O10	0	22	13	10	1	0
