peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
94	317.038076	0.039963545	-0.693229037	6	N1O10	H11_C11_N_O10	0	11	11	10	1	0
110	319.053746	0.110208945	-0.62639603	5	N1O10	H13_C11_N_O10	0	11	13	10	1	0
129	321.069386	0.182494625	-0.653839977	4	N1O10	H15_C11_N_O10	0	11	15	10	1	0
147	323.085096	0.072195193	-0.46428016	3	N1O10	H17_C11_N_O10	0	11	17	10	1	0
169	325.100816	0.041253919	-0.246311286	2	N1O10	H19_C11_N_O10	0	11	19	10	1	0
190	327.116446	0.026489748	-0.306160088	1	N1O10	H21_C11_N_O10	0	11	21	10	1	0
204	329.038196	0.03160005	-0.303247469	7	N1O10	H11_C12_N_O10	0	12	11	10	1	0
211	329.131976	0.023276397	-0.669105453	0	N1O10	H23_C11_N_O10	0	11	23	10	1	0
224	331.053776	0.284569038	-0.513070722	6	N1O10	H13_C12_N_O10	0	12	13	10	1	0
235	331.147746	0.027812647	-0.302879911	-1	N1O10	H25_C11_N_O10	0	11	25	10	1	0
257	333.069496	0.210229556	-0.30002147	5	N1O10	H15_C12_N_O10	0	12	15	10	1	0
286	335.085136	0.113762961	-0.328280751	4	N1O10	H17_C12_N_O10	0	12	17	10	1	0
317	337.100806	0.071119899	-0.267207905	3	N1O10	H19_C12_N_O10	0	12	19	10	1	0
351	339.116486	0.047735326	-0.17737268	2	N1O10	H21_C12_N_O10	0	12	21	10	1	0
375	341.038256	0.031908726	-0.116643806	8	N1O10	H11_C13_N_O10	0	13	11	10	1	0
388	341.132186	0.031128023	-0.029970787	1	N1O10	H23_C12_N_O10	0	12	23	10	1	0
411	343.053886	0.128617874	-0.174474048	7	N1O10	H13_C13_N_O10	0	13	13	10	1	0
422	343.147856	0.034362307	0.028273526	0	N1O10	H25_C12_N_O10	0	12	25	10	1	0
445	345.069536	0.238999993	-0.173669344	6	N1O10	H15_C13_N_O10	0	13	15	10	1	0
456	345.163296	0.020183284	-0.580513636	-1	N1O10	H27_C12_N_O10	0	12	27	10	1	0
484	347.085206	0.180740118	-0.115251239	5	N1O10	H17_C13_N_O10	0	13	17	10	1	0
524	349.100856	0.108854365	-0.114797771	4	N1O10	H19_C13_N_O10	0	13	19	10	1	0
563	351.116516	0.04820892	-0.085868931	3	N1O10	H21_C13_N_O10	0	13	21	10	1	0
606	353.132136	0.051191659	-0.170542394	2	N1O10	H23_C13_N_O10	0	13	23	10	1	0
637	355.053946	0.189744002	4.11E-04	8	N1O10	H13_C14_N_O10	0	14	13	10	1	0
652	355.147846	0.042074987	-8.39E-04	1	N1O10	H25_C13_N_O10	0	13	25	10	1	0
678	357.069566	0.397072368	-0.0838156	7	N1O10	H15_C14_N_O10	0	14	15	10	1	0
688	357.163516	0.025974086	0.054955221	0	N1O10	H27_C13_N_O10	0	13	27	10	1	0
722	359.085206	0.193078878	-0.111399744	6	N1O10	H17_C14_N_O10	0	14	17	10	1	0
728	359.179076	0.029815336	-0.196130578	-1	N1O10	H29_C13_N_O10	0	13	29	10	1	0
767	361.100876	0.109437704	-0.055596653	5	N1O10	H19_C14_N_O10	0	14	19	10	1	0
