peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
2541	401.084066	0.014047695	0.004936621	25	N1O1	H11_C30_N_O	0	30	11	1	1	0
1436	339.022776	0.014346251	0.384322261	9	N1O10	H9_C13_N_O10	0	13	9	10	1	0
1478	341.038296	0.018981146	6.45E-04	8	N1O10	H11_C13_N_O10	0	13	11	10	1	0
1623	349.006966	0.014063716	-0.084903749	11	N1O10	H7_C14_N_O10	0	14	7	10	1	0
1654	351.022776	0.02939795	0.371183891	10	N1O10	H9_C14_N_O10	0	14	9	10	1	0
1700	353.038276	0.032591325	-0.056027919	9	N1O10	H11_C14_N_O10	0	14	11	10	1	0
1842	361.100866	0.013530176	-0.083289748	5	N1O10	H19_C14_N_O10	0	14	19	10	1	0
1876	363.022636	0.024054424	-0.026736625	11	N1O10	H9_C15_N_O10	0	15	9	10	1	0
1912	365.038186	0.038077924	-0.300735661	10	N1O10	H11_C15_N_O10	0	15	11	10	1	0
1955	367.053866	0.050465482	-0.2175539	9	N1O10	H13_C15_N_O10	0	15	13	10	1	0
1994	369.069606	0.052492796	0.027290245	8	N1O10	H15_C15_N_O10	0	15	15	10	1	0
2031	371.085286	0.048986007	0.107786543	7	N1O10	H17_C15_N_O10	0	15	17	10	1	0
2055	373.007126	0.018858299	0.349505387	13	N1O10	H7_C16_N_O10	0	16	7	10	1	0
2066	373.100836	0.01881641	-0.161018133	6	N1O10	H19_C15_N_O10	0	15	19	10	1	0
2092	375.022736	0.042993517	0.240769402	12	N1O10	H9_C16_N_O10	0	16	9	10	1	0
2127	377.038326	0.072484247	0.080151003	11	N1O10	H11_C16_N_O10	0	16	11	10	1	0
2163	379.053956	0.10115266	0.026766638	10	N1O10	H13_C16_N_O10	0	16	13	10	1	0
2198	381.069486	0.077838898	-0.288472323	9	N1O10	H15_C16_N_O10	0	16	15	10	1	0
2240	383.085236	0.062637166	-0.026109072	8	N1O10	H17_C16_N_O10	0	16	17	10	1	0
2278	385.006916	0.013937258	-0.206832648	14	N1O10	H7_C17_N_O10	0	17	7	10	1	0
2468	397.006986	0.018056716	-0.024261538	15	N1O10	H7_C18_N_O10	0	18	7	10	1	0
2479	397.100986	0.114601302	0.226451213	8	N1O10	H19_C17_N_O10	0	17	19	10	1	0
2506	399.022716	0.064215735	0.176165409	14	N1O10	H9_C18_N_O10	0	18	9	10	1	0
2518	399.116486	0.056551383	-0.150707881	7	N1O10	H21_C17_N_O10	0	17	21	10	1	0
2535	401.038356	0.090148925	0.150160201	13	N1O10	H11_C18_N_O10	0	18	11	10	1	0
2546	401.132326	0.030636927	0.323524163	6	N1O10	H23_C17_N_O10	0	17	23	10	1	0
2684	411.022776	0.048882256	0.316999465	15	N1O10	H9_C19_N_O10	0	19	9	10	1	0
2695	411.116466	0.099039553	-0.19495692	8	N1O10	H21_C18_N_O10	0	18	21	10	1	0
2713	413.038246	0.079091767	-0.120521527	14	N1O10	H11_C19_N_O10	0	19	11	10	1	0
2728	413.132276	0.058944163	0.193100381	7	N1O10	H23_C18_N_O10	0	18	23	10	1	0
2747	415.054016	0.11761527	0.169004509	13	N1O10	H13_C19_N_O10	0	19	13	10	1	0
2760	415.147786	0.024196608	-0.145244662	6	N1O10	H25_C18_N_O10	0	18	25	10	1	0
2853	421.100876	0.169004092	-0.047675037	10	N1O10	H19_C19_N_O10	0	19	19	10	1	0
2873	423.116606	0.156867851	0.141450369	9	N1O10	H21_C19_N_O10	0	19	21	10	1	0
2895	425.132156	0.068839213	-0.094615285	8	N1O10	H23_C19_N_O10	0	19	23	10	1	0
2957	429.069566	0.139780795	-0.069750927	13	N1O10	H15_C20_N_O10	0	20	15	10	1	0
2974	431.085256	0.169260315	0.023192628	12	N1O10	H17_C20_N_O10	0	20	17	10	1	0
3052	437.038436	0.048548907	0.320841346	16	N1O10	H11_C21_N_O10	0	21	11	10	1	0
3069	439.053946	0.083062816	3.33E-04	15	N1O10	H13_C21_N_O10	0	21	13	10	1	0
3073	439.147826	0.076979749	-0.046221338	8	N1O10	H25_C20_N_O10	0	20	25	10	1	0
3091	441.163436	0.03422559	-0.136847243	7	N1O10	H27_C20_N_O10	0	20	27	10	1	0
3114	443.178996	0.013929606	-0.339470059	6	N1O10	H29_C20_N_O10	0	20	29	10	1	0
3137	445.100936	0.144393019	0.089696509	12	N1O10	H19_C21_N_O10	0	21	19	10	1	0
3155	447.116576	0.14143211	0.066761113	11	N1O10	H21_C21_N_O10	0	21	21	10	1	0
3191	451.053746	0.068420217	-0.443082453	16	N1O10	H13_C22_N_O10	0	22	13	10	1	0
3213	453.069636	0.106206376	0.088445565	15	N1O10	H15_C22_N_O10	0	22	15	10	1	0
3224	453.163686	0.070249925	0.418453653	8	N1O10	H27_C21_N_O10	0	21	27	10	1	0
3284	459.116616	0.15886461	0.152139996	12	N1O10	H21_C22_N_O10	0	22	21	10	1	0
3328	463.053776	0.044850891	-0.366812687	17	N1O10	H13_C23_N_O10	0	23	13	10	1	0
3356	465.163436	0.060036454	-0.129786641	9	N1O10	H27_C22_N_O10	0	22	27	10	1	0
3452	475.054036	0.050857161	0.189759466	18	N1O10	H13_C24_N_O10	0	24	13	10	1	0
3515	481.100886	0.076028752	-0.020943632	15	N1O10	H19_C24_N_O10	0	24	19	10	1	0
3563	485.038356	0.022426536	0.12415513	20	N1O10	H11_C25_N_O10	0	25	11	10	1	0
3567	485.132296	0.09423382	0.20566761	13	N1O10	H23_C24_N_O10	0	24	23	10	1	0
3643	495.116396	0.036624023	-0.303262023	15	N1O10	H21_C25_N_O10	0	25	21	10	1	0
3684	499.147986	0.053079959	0.279880925	13	N1O10	H25_C25_N_O10	0	25	25	10	1	0
3762	509.225946	0.015652035	-0.295876518	8	N1O10	H35_C25_N_O10	0	25	35	10	1	0
3841	521.226066	0.022431834	-0.058838193	9	N1O10	H35_C26_N_O10	0	26	35	10	1	0
3924	533.226046	0.021771979	-0.095021615	10	N1O10	H35_C27_N_O10	0	27	35	10	1	0
3972	541.194836	0.019365676	0.072949698	13	N1O10	H31_C28_N_O10	0	28	31	10	1	0
3993	545.225946	0.017073416	-0.276340481	11	N1O10	H35_C28_N_O10	0	28	35	10	1	0
4118	571.057046	0.080109777	-0.475962956	21	N1O10S1	H17_C29_N_O10_S	0	29	17	10	1	1
4122	571.150936	0.038402537	-0.494170599	14	N1O10S1	H29_C28_N_O10_S	0	28	29	10	1	1
1990	369.033156	0.016625259	-0.147466424	9	N1O11	H11_C14_N_O11	0	14	11	11	1	0
2159	379.017596	0.013765844	0.094069511	11	N1O11	H9_C15_N_O11	0	15	9	11	1	0
2283	385.064446	0.018942888	-0.167681022	8	N1O11	H15_C15_N_O11	0	15	15	11	1	0
2474	397.064576	0.065986744	0.164789316	9	N1O11	H15_C16_N_O11	0	16	15	11	1	0
2514	399.080216	0.051743552	0.138713967	8	N1O11	H17_C16_N_O11	0	16	17	11	1	0
2533	401.002076	0.011935749	0.413284643	14	N1O11	H7_C17_N_O11	0	17	7	11	1	0
2564	403.017496	0.02457033	-0.159660562	13	N1O11	H9_C17_N_O11	0	17	9	11	1	0
2691	411.080196	0.101733736	0.086012414	9	N1O11	H17_C17_N_O11	0	17	17	11	1	0
2723	413.095846	0.069502	0.085413592	8	N1O11	H19_C17_N_O11	0	17	19	11	1	0
2744	415.017686	0.032461999	0.30276782	14	N1O11	H9_C18_N_O11	0	18	9	11	1	0
2848	421.064546	0.14397339	0.084148619	11	N1O11	H15_C18_N_O11	0	18	15	11	1	0
2870	423.080226	0.166525155	0.154481339	10	N1O11	H17_C18_N_O11	0	18	17	11	1	0
2890	425.095816	0.09713104	0.012430139	9	N1O11	H19_C18_N_O11	0	18	19	11	1	0
2954	429.033176	0.080721524	-0.080226896	14	N1O11	H11_C19_N_O11	0	19	11	11	1	0
3067	439.017536	0.035554397	-0.055455643	16	N1O11	H9_C20_N_O11	0	20	9	11	1	0
3133	445.064536	0.161779258	0.057142275	13	N1O11	H15_C20_N_O11	0	20	15	11	1	0
3152	447.080186	0.187989744	0.056719132	12	N1O11	H17_C20_N_O11	0	20	17	11	1	0
3209	453.033136	0.058903589	-0.164270545	16	N1O11	H11_C21_N_O11	0	21	11	11	1	0
3219	453.127156	0.137512582	0.099610009	9	N1O11	H23_C20_N_O11	0	20	23	11	1	0
3279	459.080256	0.199480182	0.207715315	13	N1O11	H17_C21_N_O11	0	21	17	11	1	0
3718	503.048846	0.028400268	-0.028812311	19	N1O11	H13_C25_N_O11	0	25	13	11	1	0
3789	513.127196	0.077342738	0.165915977	14	N1O11	H23_C25_N_O11	0	25	23	11	1	0
3840	521.095806	0.050479674	-0.009050159	17	N1O11	H19_C26_N_O11	0	26	19	11	1	0
2717	413.059406	0.019719222	-0.046501786	9	N1O12	H15_C16_N_O12	0	16	15	12	1	0
2970	431.012536	0.021413752	0.141559688	14	N1O12	H9_C18_N_O12	0	18	9	12	1	0
2977	431.106416	0.016741751	0.094106695	7	N1O12	H21_C17_N_O12	0	17	21	12	1	0
3130	445.028216	0.052871933	0.204346593	14	N1O12	H11_C19_N_O12	0	19	11	12	1	0
3149	447.043836	0.08338651	0.136152196	13	N1O12	H13_C19_N_O12	0	19	13	12	1	0
3214	453.090746	0.156104249	0.045562617	10	N1O12	H19_C19_N_O12	0	19	19	12	1	0
3277	459.043856	0.09704672	0.176161818	14	N1O12	H13_C20_N_O12	0	20	13	12	1	0
