peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
885	323.085276	0.011439409	0.092848552	3	N1O10	H17_C11_N_O10	0	11	17	10	1	0
927	325.100916	0.014271445	0.061285586	2	N1O10	H19_C11_N_O10	0	11	19	10	1	0
998	329.038396	0.016488759	0.304584514	7	N1O10	H11_C12_N_O10	0	12	11	10	1	0
1041	331.053916	0.011559186	-0.090178664	6	N1O10	H13_C12_N_O10	0	12	13	10	1	0
1088	333.069586	0.013563977	-0.029807585	5	N1O10	H15_C12_N_O10	0	12	15	10	1	0
1135	335.085346	0.010468258	0.298425464	4	N1O10	H17_C12_N_O10	0	12	17	10	1	0
1170	337.006936	0.015085124	-0.176945913	10	N1O10	H7_C13_N_O10	0	13	7	10	1	0
1184	337.100886	0.023809123	-0.029890162	3	N1O10	H19_C12_N_O10	0	12	19	10	1	0
1215	339.022646	0.03417488	8.67E-04	9	N1O10	H9_C13_N_O10	0	13	9	10	1	0
1230	339.116586	0.021013423	0.117511209	2	N1O10	H21_C12_N_O10	0	12	21	10	1	0
1258	341.038316	0.034735554	0.059289526	8	N1O10	H11_C13_N_O10	0	13	11	10	1	0
1307	343.053976	0.037756928	0.087875384	7	N1O10	H13_C13_N_O10	0	13	13	10	1	0
1354	345.069596	0.023465391	2.09E-04	6	N1O10	H15_C13_N_O10	0	13	15	10	1	0
1402	347.085266	0.023988109	0.057616966	5	N1O10	H17_C13_N_O10	0	13	17	10	1	0
1442	349.007006	0.013786625	0.02970714	11	N1O10	H7_C14_N_O10	0	14	7	10	1	0
1454	349.100936	0.020068056	0.11436234	4	N1O10	H19_C13_N_O10	0	13	19	10	1	0
1492	351.022656	0.045199486	0.029325742	10	N1O10	H9_C14_N_O10	0	14	9	10	1	0
1506	351.116506	0.024486213	-0.114349509	3	N1O10	H21_C13_N_O10	0	13	21	10	1	0
1543	353.038316	0.095600118	0.057274237	9	N1O10	H11_C14_N_O10	0	14	11	10	1	0
1557	353.132186	0.021991941	-0.028952331	2	N1O10	H23_C13_N_O10	0	13	23	10	1	0
1591	355.053966	0.090930053	0.05674067	8	N1O10	H13_C14_N_O10	0	14	13	10	1	0
1642	357.069616	0.079533333	0.056213128	7	N1O10	H15_C14_N_O10	0	14	15	10	1	0
1694	359.085246	0.044105953	-5.57E-06	6	N1O10	H17_C14_N_O10	0	14	17	10	1	0
1736	361.006976	0.028962687	-0.054381221	12	N1O10	H7_C15_N_O10	0	15	7	10	1	0
1748	361.100866	0.023470334	-0.083289748	5	N1O10	H19_C14_N_O10	0	14	19	10	1	0
1791	363.022656	0.097649238	0.028356357	11	N1O10	H9_C15_N_O10	0	15	9	10	1	0
1806	363.116526	0.02947832	-0.055491829	4	N1O10	H21_C14_N_O10	0	14	21	10	1	0
1851	365.038306	0.139391331	0.027997062	10	N1O10	H11_C15_N_O10	0	15	11	10	1	0
1867	365.132136	0.02415109	-0.16493755	3	N1O10	H23_C14_N_O10	0	14	23	10	1	0
1908	367.053966	0.185935177	0.054885662	9	N1O10	H13_C15_N_O10	0	15	13	10	1	0
1922	367.147876	0.019632247	0.080899283	2	N1O10	H25_C14_N_O10	0	14	25	10	1	0
1963	369.069616	0.154611192	0.054385404	8	N1O10	H15_C15_N_O10	0	15	15	10	1	0
2019	371.085256	0.103351943	0.026942596	7	N1O10	H17_C15_N_O10	0	15	17	10	1	0
2067	373.007026	0.046338924	0.081414016	13	N1O10	H7_C16_N_O10	0	16	7	10	1	0
2077	373.100926	0.055623335	0.0802035	6	N1O10	H19_C15_N_O10	0	15	19	10	1	0
2120	375.022656	0.096212671	0.027449008	12	N1O10	H9_C16_N_O10	0	16	9	10	1	0
2136	375.116536	0.038128294	-0.027058258	5	N1O10	H21_C15_N_O10	0	15	21	10	1	0
2182	377.038306	0.180114489	0.027105999	11	N1O10	H11_C16_N_O10	0	16	11	10	1	0
2196	377.132256	0.021671924	0.158501425	4	N1O10	H23_C15_N_O10	0	15	23	10	1	0
2241	379.053956	0.237956183	0.026766638	10	N1O10	H13_C16_N_O10	0	16	13	10	1	0
2255	379.147816	0.019221016	-0.079910786	3	N1O10	H25_C15_N_O10	0	15	25	10	1	0
2295	381.069606	0.238861133	0.026430867	9	N1O10	H15_C16_N_O10	0	16	15	10	1	0
2309	381.163366	0.012189399	-0.342037068	2	N1O10	H27_C15_N_O10	0	15	27	10	1	0
2354	383.085256	0.17493549	0.026098629	8	N1O10	H17_C16_N_O10	0	16	17	10	1	0
2400	385.007046	0.036705315	0.13082358	14	N1O10	H7_C17_N_O10	0	17	7	10	1	0
2414	385.100906	0.099503396	0.025769869	7	N1O10	H19_C16_N_O10	0	16	19	10	1	0
2458	387.022656	0.098177285	0.026597926	13	N1O10	H9_C17_N_O10	0	17	9	10	1	0
2473	387.116546	0.054286133	-3.87E-04	6	N1O10	H21_C16_N_O10	0	16	21	10	1	0
2526	389.038316	0.212092372	0.051974315	12	N1O10	H11_C17_N_O10	0	17	11	10	1	0
2542	389.132256	0.027182779	0.153613583	5	N1O10	H23_C16_N_O10	0	16	23	10	1	0
2591	391.053966	0.291131652	0.051517186	11	N1O10	H13_C17_N_O10	0	17	13	10	1	0
2607	391.147856	0.02268654	0.02480392	4	N1O10	H25_C16_N_O10	0	16	25	10	1	0
2660	393.069606	0.304998305	0.02562396	10	N1O10	H15_C17_N_O10	0	17	15	10	1	0
2673	393.163526	0.018593249	0.075357957	3	N1O10	H27_C16_N_O10	0	16	27	10	1	0
2720	395.085246	0.271620699	-5.06E-06	9	N1O10	H17_C17_N_O10	0	17	17	10	1	0
2767	397.007016	0.032661042	0.051303879	15	N1O10	H7_C18_N_O10	0	18	7	10	1	0
2783	397.100886	0.174021887	-0.025373905	8	N1O10	H19_C17_N_O10	0	17	19	10	1	0
2832	399.022646	0.102868872	7.37E-04	14	N1O10	H9_C18_N_O10	0	18	9	10	1	0
2849	399.116546	0.096164821	-3.76E-04	7	N1O10	H21_C17_N_O10	0	17	21	10	1	0
2896	401.038326	0.172050697	0.075354394	13	N1O10	H11_C18_N_O10	0	18	11	10	1	0
2911	401.132236	0.054959514	0.099159321	6	N1O10	H23_C17_N_O10	0	17	23	10	1	0
2961	403.053936	0.256113129	-0.024448341	12	N1O10	H13_C18_N_O10	0	18	13	10	1	0
2976	403.147886	0.024996344	0.09847999	5	N1O10	H25_C17_N_O10	0	17	25	10	1	0
3031	405.069596	0.273575833	1.78E-04	11	N1O10	H15_C18_N_O10	0	18	15	10	1	0
3046	405.163466	0.017435933	-0.074962336	4	N1O10	H27_C17_N_O10	0	17	27	10	1	0
3104	407.085256	0.282118762	0.024559966	10	N1O10	H17_C18_N_O10	0	18	17	10	1	0
3116	407.179116	0.017843462	-0.07477299	3	N1O10	H29_C17_N_O10	0	17	29	10	1	0
3154	409.007096	0.020461191	0.245394275	16	N1O10	H7_C19_N_O10	0	19	7	10	1	0
3173	409.100886	0.209255516	-0.024629621	9	N1O10	H19_C18_N_O10	0	18	19	10	1	0
3219	411.022636	0.067071709	-0.023614271	15	N1O10	H9_C19_N_O10	0	19	9	10	1	0
3238	411.116566	0.144598087	0.048283143	8	N1O10	H21_C18_N_O10	0	18	21	10	1	0
3288	413.038316	0.162862318	0.048954296	14	N1O10	H11_C19_N_O10	0	19	11	10	1	0
3305	413.132196	0.082229819	-5.42E-04	7	N1O10	H23_C18_N_O10	0	18	23	10	1	0
3357	415.053956	0.19741988	0.024445014	13	N1O10	H13_C19_N_O10	0	19	13	10	1	0
3374	415.147876	0.043379307	0.071545591	6	N1O10	H25_C18_N_O10	0	18	25	10	1	0
3429	417.069606	0.242740232	0.024149446	12	N1O10	H15_C19_N_O10	0	19	15	10	1	0
3444	417.163586	0.020345994	0.214850967	5	N1O10	H27_C18_N_O10	0	18	27	10	1	0
3500	419.085246	0.236445822	-4.77E-06	11	N1O10	H17_C19_N_O10	0	19	17	10	1	0
3551	421.006986	0.0157318	-0.02287848	17	N1O10	H7_C20_N_O10	0	20	7	10	1	0
3568	421.100896	0.207555019	-1.80E-04	10	N1O10	H19_C19_N_O10	0	19	19	10	1	0
3617	423.022636	0.063051165	-0.022944399	16	N1O10	H9_C20_N_O10	0	20	9	10	1	0
3635	423.116536	0.172123052	-0.023988663	9	N1O10	H21_C19_N_O10	0	19	21	10	1	0
3687	425.038286	0.111284649	-0.023009692	15	N1O10	H11_C20_N_O10	0	20	11	10	1	0
3707	425.132196	0.125006301	-5.27E-04	8	N1O10	H23_C19_N_O10	0	19	23	10	1	0
3759	427.053926	0.171039115	-0.046490616	14	N1O10	H13_C20_N_O10	0	20	13	10	1	0
3777	427.147856	0.058868454	0.022713447	7	N1O10	H25_C19_N_O10	0	19	25	10	1	0
3828	429.069606	0.202592753	0.023474047	13	N1O10	H15_C20_N_O10	0	20	15	10	1	0
