peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
767	289.052866	0.018937118	0.353319451	18	N1O1	H7_C21_N_O	0	21	7	1	1	0
996	303.068476	0.01462442	0.204752407	18	N1O1	H9_C22_N_O	0	22	9	1	1	0
1237	317.084166	0.012687044	0.321618078	18	N1O1	H11_C23_N_O	0	23	11	1	1	0
1456	329.038276	0.014454403	-0.060114587	7	N1O10	H11_C12_N_O10	0	12	11	10	1	0
1587	335.085206	0.013143245	-0.119378592	4	N1O10	H17_C12_N_O10	0	12	17	10	1	0
1619	337.007056	0.029033017	0.179129781	10	N1O10	H7_C13_N_O10	0	13	7	10	1	0
1632	337.100796	0.024083554	-0.29687263	3	N1O10	H19_C12_N_O10	0	12	19	10	1	0
1656	339.022526	0.03266298	-0.353091582	9	N1O10	H9_C13_N_O10	0	13	9	10	1	0
1702	341.038346	0.039925472	0.147256168	8	N1O10	H11_C13_N_O10	0	13	11	10	1	0
1747	343.053836	0.029935248	-0.320223791	7	N1O10	H13_C13_N_O10	0	13	13	10	1	0
1795	345.069536	0.016795267	-0.173669344	6	N1O10	H15_C13_N_O10	0	13	15	10	1	0
1843	347.085256	0.017903174	0.028805603	5	N1O10	H17_C13_N_O10	0	13	17	10	1	0
1883	349.006926	0.025399169	-0.199514665	11	N1O10	H7_C14_N_O10	0	14	7	10	1	0
1895	349.100946	0.021285524	0.143007347	4	N1O10	H19_C13_N_O10	0	13	19	10	1	0
1927	351.022706	0.054070666	0.171766666	10	N1O10	H9_C14_N_O10	0	14	9	10	1	0
1973	353.038176	0.080444162	-0.339283421	9	N1O10	H11_C14_N_O10	0	14	11	10	1	0
2016	355.054036	0.075815514	0.253893748	8	N1O10	H13_C14_N_O10	0	14	13	10	1	0
2059	357.069496	0.068840626	-0.279855885	7	N1O10	H15_C14_N_O10	0	14	15	10	1	0
2105	359.085206	0.036569035	-0.111399744	6	N1O10	H17_C14_N_O10	0	14	17	10	1	0
2144	361.006976	0.041149397	-0.054381221	12	N1O10	H7_C15_N_O10	0	15	7	10	1	0
2155	361.100716	0.025914164	-0.498686355	5	N1O10	H19_C14_N_O10	0	14	19	10	1	0
2190	363.022686	0.114742827	0.110995818	11	N1O10	H9_C15_N_O10	0	15	9	10	1	0
2238	365.038376	0.129288857	0.219757717	10	N1O10	H11_C15_N_O10	0	15	11	10	1	0
2288	367.053856	0.147853022	-0.244797864	9	N1O10	H13_C15_N_O10	0	15	13	10	1	0
2299	367.147916	0.013831521	0.18984719	2	N1O10	H25_C14_N_O10	0	14	25	10	1	0
2333	369.069666	0.124180804	0.189861174	8	N1O10	H15_C15_N_O10	0	15	15	10	1	0
2366	370.991246	0.01486559	-0.268356736	14	N1O10	H5_C16_N_O10	0	16	5	10	1	0
2372	371.085136	0.084726294	-0.296433323	7	N1O10	H17_C15_N_O10	0	15	17	10	1	0
2411	373.006826	0.054464149	-0.454769157	13	N1O10	H7_C16_N_O10	0	16	7	10	1	0
2422	373.100926	0.05374176	0.0802035	6	N1O10	H19_C15_N_O10	0	15	19	10	1	0
2460	375.022606	0.098743754	-0.105876284	12	N1O10	H9_C16_N_O10	0	16	9	10	1	0
2477	375.116676	0.025754749	0.346158964	5	N1O10	H21_C15_N_O10	0	15	21	10	1	0
2522	377.038276	0.177031312	-0.052461517	11	N1O10	H11_C16_N_O10	0	16	11	10	1	0
2534	377.132326	0.017572299	0.344112639	4	N1O10	H23_C15_N_O10	0	15	23	10	1	0
2569	379.054006	0.235422171	0.15867396	10	N1O10	H13_C16_N_O10	0	16	13	10	1	0
2584	379.147896	0.014066845	0.131088687	3	N1O10	H25_C15_N_O10	0	15	25	10	1	0
2617	381.069566	0.21525445	-0.078536841	9	N1O10	H15_C16_N_O10	0	16	15	10	1	0
2661	383.085116	0.154071737	-0.339355393	8	N1O10	H17_C16_N_O10	0	16	17	10	1	0
2696	385.006896	0.035729074	-0.25877978	14	N1O10	H7_C17_N_O10	0	17	7	10	1	0
2709	385.101026	0.102242867	0.337376406	7	N1O10	H19_C16_N_O10	0	16	19	10	1	0
2746	387.022706	0.110007264	0.155789309	13	N1O10	H9_C17_N_O10	0	17	9	10	1	0
2760	387.116436	0.046701519	-0.284539714	6	N1O10	H21_C16_N_O10	0	16	21	10	1	0
2798	389.038266	0.186334673	-0.07654774	12	N1O10	H11_C17_N_O10	0	17	11	10	1	0
2850	391.054126	0.285291174	0.460667688	11	N1O10	H13_C17_N_O10	0	17	13	10	1	0
2863	391.147896	0.018589441	0.127067026	4	N1O10	H25_C16_N_O10	0	16	25	10	1	0
2899	393.069706	0.294053102	0.280031756	10	N1O10	H15_C17_N_O10	0	17	15	10	1	0
2942	395.085166	0.248363962	-0.202493049	9	N1O10	H17_C17_N_O10	0	17	17	10	1	0
2975	397.007096	0.040686847	0.252811602	15	N1O10	H7_C18_N_O10	0	18	7	10	1	0
2986	397.100746	0.161756214	-0.377929282	8	N1O10	H19_C17_N_O10	0	17	19	10	1	0
3019	399.022736	0.114491227	0.226287857	14	N1O10	H9_C18_N_O10	0	18	9	10	1	0
3035	399.116606	0.09671676	0.149956176	7	N1O10	H21_C17_N_O10	0	17	21	10	1	0
3070	401.038446	0.207147791	0.374577553	13	N1O10	H11_C18_N_O10	0	18	11	10	1	0
3084	401.132226	0.04464723	0.074229888	6	N1O10	H23_C17_N_O10	0	17	23	10	1	0
3125	403.053816	0.257953522	-0.32217534	12	N1O10	H13_C18_N_O10	0	18	13	10	1	0
3140	403.147976	0.023833233	0.321723059	5	N1O10	H25_C17_N_O10	0	17	25	10	1	0
3184	405.069516	0.273015685	-0.197319218	11	N1O10	H15_C18_N_O10	0	18	15	10	1	0
3194	405.163486	0.015386439	-0.025599543	4	N1O10	H27_C17_N_O10	0	17	27	10	1	0
3229	407.085436	0.296820864	0.466727579	10	N1O10	H17_C18_N_O10	0	18	17	10	1	0
3262	409.006876	0.017427582	-0.29249386	16	N1O10	H7_C19_N_O10	0	19	7	10	1	0
