peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
307	293.084156	0.008281694	0.313834775	16	N1O1	H11_C21_N_O	0	21	11	1	1	0
804	337.006846	0.009186664	-0.44400285	10	N1O10	H7_C13_N_O10	0	13	7	10	1	0
831	339.022576	0.017541967	-0.205608726	9	N1O10	H9_C13_N_O10	0	13	9	10	1	0
864	341.038346	0.023582153	0.147256168	8	N1O10	H11_C13_N_O10	0	13	11	10	1	0
895	343.054016	0.014517562	0.204475088	7	N1O10	H13_C13_N_O10	0	13	13	10	1	0
926	345.069716	0.011711807	0.347964468	6	N1O10	H15_C13_N_O10	0	13	15	10	1	0
988	349.007166	0.009917349	0.488150435	11	N1O10	H7_C14_N_O10	0	14	7	10	1	0
1019	351.022636	0.023896188	-0.027650638	10	N1O10	H9_C14_N_O10	0	14	9	10	1	0
1049	353.038246	0.048351706	-0.141004553	9	N1O10	H11_C14_N_O10	0	14	11	10	1	0
1080	355.053976	0.063357898	0.0849054	8	N1O10	H13_C14_N_O10	0	14	13	10	1	0
1114	357.069636	0.039790164	0.112224608	7	N1O10	H15_C14_N_O10	0	14	15	10	1	0
1150	359.085376	0.017855332	0.362025325	6	N1O10	H17_C14_N_O10	0	14	17	10	1	0
1178	361.007116	0.014560535	0.33342279	12	N1O10	H7_C15_N_O10	0	15	7	10	1	0
1218	363.022696	0.052004952	0.138542302	11	N1O10	H9_C15_N_O10	0	15	9	10	1	0
1227	363.116436	0.010327954	-0.303346225	4	N1O10	H21_C14_N_O10	0	14	21	10	1	0
1255	365.038326	0.079457099	0.082785828	10	N1O10	H11_C15_N_O10	0	15	11	10	1	0
1289	367.053986	0.073501478	0.109373557	9	N1O10	H13_C15_N_O10	0	15	13	10	1	0
1327	369.069646	0.066368635	0.13567087	8	N1O10	H15_C15_N_O10	0	15	15	10	1	0
1372	371.085306	0.039450125	0.1616825	7	N1O10	H17_C15_N_O10	0	15	17	10	1	0
1400	373.007146	0.013390596	0.403123644	13	N1O10	H7_C16_N_O10	0	16	7	10	1	0
1411	373.100876	0.024360153	-0.053808504	6	N1O10	H19_C15_N_O10	0	15	19	10	1	0
1446	375.022716	0.042383087	0.187439312	12	N1O10	H9_C16_N_O10	0	16	9	10	1	0
1456	375.116496	0.014018362	-0.133691801	5	N1O10	H21_C15_N_O10	0	15	21	10	1	0
1491	377.038336	0.089001433	0.106673503	11	N1O10	H11_C16_N_O10	0	16	11	10	1	0
1503	377.132176	0.010030556	-0.053625761	4	N1O10	H23_C15_N_O10	0	15	23	10	1	0
1535	379.054006	0.124120169	0.15867396	10	N1O10	H13_C16_N_O10	0	16	13	10	1	0
1575	381.069626	0.110782108	0.078914713	9	N1O10	H15_C16_N_O10	0	16	15	10	1	0
