peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
1164	421.007156	0.001820937	0.380915141	17	N1O10	H7_C20_N_O10	0	20	7	10	1	0
1180	423.022856	0.001426783	0.497122075	16	N1O10	H9_C20_N_O10	0	20	9	10	1	0
1275	435.022576	0.002878415	-0.160235362	17	N1O10	H9_C21_N_O10	0	21	9	10	1	0
1341	445.007016	0.001657109	0.045770065	19	N1O10	H7_C22_N_O10	0	22	7	10	1	0
1359	447.022706	0.001997571	0.134879055	18	N1O10	H9_C22_N_O10	0	22	9	10	1	0
1373	449.038306	0.002542949	0.022759751	17	N1O10	H11_C22_N_O10	0	22	11	10	1	0
1436	459.022696	0.004414902	0.109567567	19	N1O10	H9_C23_N_O10	0	23	9	10	1	0
1464	463.053996	0.001686169	0.108294066	17	N1O10	H13_C23_N_O10	0	23	13	10	1	0
1510	471.022546	0.002591483	-0.211679888	20	N1O10	H9_C24_N_O10	0	24	9	10	1	0
1520	473.038276	0.002048025	-0.041814798	19	N1O10	H11_C24_N_O10	0	24	11	10	1	0
1547	477.069536	0.002906594	-0.125616908	17	N1O10	H15_C24_N_O10	0	24	15	10	1	0
1579	483.022676	0.002652507	0.062717552	21	N1O10	H9_C25_N_O10	0	25	9	10	1	0
1590	485.038296	0.003336534	4.54E-04	20	N1O10	H11_C25_N_O10	0	25	11	10	1	0
1640	495.022826	0.002037852	0.364213508	22	N1O10	H9_C26_N_O10	0	26	9	10	1	0
1649	497.038226	0.002406426	-0.140391616	21	N1O10	H11_C26_N_O10	0	26	11	10	1	0
1659	499.054056	0.002004201	0.220709558	20	N1O10	H13_C26_N_O10	0	26	13	10	1	0
1696	507.022786	0.001670035	0.276701568	23	N1O10	H9_C27_N_O10	0	27	9	10	1	0
1708	509.038296	0.003000772	4.32E-04	22	N1O10	H11_C27_N_O10	0	27	11	10	1	0
1715	511.053886	0.002548453	-0.117118765	21	N1O10	H13_C27_N_O10	0	27	13	10	1	0
1744	519.022866	0.002428778	0.424439874	24	N1O10	H9_C28_N_O10	0	28	9	10	1	0
1752	521.038326	0.003286531	0.057999572	23	N1O10	H11_C28_N_O10	0	28	11	10	1	0
1791	533.038246	0.002629333	-0.093389171	24	N1O10	H11_C29_N_O10	0	29	11	10	1	0
1798	535.054076	0.002976361	0.243238966	23	N1O10	H13_C29_N_O10	0	29	13	10	1	0
1805	537.069816	0.002330376	0.409764231	22	N1O10	H15_C29_N_O10	0	29	15	10	1	0
1833	547.053986	0.002507048	0.07338581	24	N1O10	H13_C30_N_O10	0	30	13	10	1	0
1839	549.069826	0.001895484	0.419021387	23	N1O10	H15_C30_N_O10	0	30	15	10	1	0
1882	569.038186	0.001916162	-0.192922026	27	N1O10	H11_C32_N_O10	0	32	11	10	1	0
1888	571.053766	0.002876102	-0.31495108	26	N1O10	H13_C32_N_O10	0	32	13	10	1	0
