peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
13	169.052826	0.012841306	0.367506427	8	N1O1	H7_C11_N_O	0	11	7	1	1	0
19	171.068486	0.005623857	0.421199729	7	N1O1	H9_C11_N_O	0	11	9	1	1	0
24	173.084076	0.005245986	0.069214917	6	N1O1	H11_C11_N_O	0	11	11	1	1	0
49	183.068496	0.007576571	0.448214749	8	N1O1	H9_C12_N_O	0	12	9	1	1	0
81	193.052786	0.015362823	0.114621501	10	N1O1	H7_C13_N_O	0	13	7	1	1	0
90	195.068416	0.008895232	0.010529639	9	N1O1	H9_C13_N_O	0	13	9	1	1	0
108	199.099756	0.004787281	0.210477405	7	N1O1	H13_C13_N_O	0	13	13	1	1	0
128	205.052786	0.009515939	0.107913676	11	N1O1	H7_C14_N_O	0	14	7	1	1	0
141	207.068456	0.00788165	0.203092257	10	N1O1	H9_C14_N_O	0	14	9	1	1	0
151	209.084046	0.005472523	-0.086185438	9	N1O1	H11_C14_N_O	0	14	11	1	1	0
183	215.037186	0.006668086	0.335765182	13	N1O1	H5_C15_N_O	0	15	5	1	1	0
194	217.052786	0.016221252	0.101947551	12	N1O1	H7_C15_N_O	0	15	7	1	1	0
210	219.068466	0.01995896	0.237615212	11	N1O1	H9_C15_N_O	0	15	9	1	1	0
226	221.084056	0.007414243	-0.036275795	10	N1O1	H11_C15_N_O	0	15	11	1	1	0
276	229.052786	0.010425703	0.096606553	13	N1O1	H7_C16_N_O	0	16	7	1	1	0
308	233.084006	0.007854486	-0.248923129	11	N1O1	H11_C16_N_O	0	16	11	1	1	0
355	239.037116	0.007585635	0.009211959	15	N1O1	H5_C17_N_O	0	17	5	1	1	0
376	241.052746	0.025130787	-0.07414145	14	N1O1	H7_C17_N_O	0	17	7	1	1	0
396	243.068436	0.02705813	0.090731649	13	N1O1	H9_C17_N_O	0	17	9	1	1	0
414	245.084096	0.012632848	0.130485823	12	N1O1	H11_C17_N_O	0	17	11	1	1	0
434	247.099746	0.00488862	0.129121946	11	N1O1	H13_C17_N_O	0	17	13	1	1	0
482	253.052706	0.012621649	-0.22869544	15	N1O1	H7_C18_N_O	0	18	7	1	1	0
501	255.068326	0.010859162	-0.344793889	14	N1O1	H9_C18_N_O	0	18	9	1	1	0
518	257.084076	0.011062775	0.046599541	13	N1O1	H11_C18_N_O	0	18	11	1	1	0
590	265.052786	0.032798378	0.083485257	16	N1O1	H7_C19_N_O	0	19	7	1	1	0
611	267.068436	0.036666884	0.082578085	15	N1O1	H9_C19_N_O	0	19	9	1	1	0
632	269.084046	0.019003575	-0.066967924	14	N1O1	H11_C19_N_O	0	19	11	1	1	0
653	271.099676	0.007700677	-0.140516582	13	N1O1	H13_C19_N_O	0	19	13	1	1	0
712	277.052776	0.016405482	0.043775053	17	N1O1	H7_C20_N_O	0	20	7	1	1	0
736	279.068436	0.020567738	0.07902721	16	N1O1	H9_C20_N_O	0	20	9	1	1	0
762	281.084036	0.011650574	-0.09968549	15	N1O1	H11_C20_N_O	0	20	11	1	1	0
788	283.099756	0.007899237	0.14802556	14	N1O1	H13_C20_N_O	0	20	13	1	1	0
