peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
28	159.068436	0.006348922	0.138644728	6	N1O1	H9_C10_N_O	0	10	9	1	1	0
79	171.068416	0.004083717	0.012006892	7	N1O1	H9_C11_N_O	0	11	9	1	1	0
131	183.068386	0.004225296	-0.152653337	8	N1O1	H9_C12_N_O	0	12	9	1	1	0
142	185.084106	0.003341881	0.226815802	7	N1O1	H11_C12_N_O	0	12	11	1	1	0
191	195.068326	0.004523762	-0.450847156	9	N1O1	H9_C13_N_O	0	13	9	1	1	0
220	199.099646	0.003160464	-0.342009649	7	N1O1	H13_C13_N_O	0	13	13	1	1	0
258	205.052716	0.003274536	-0.233461916	11	N1O1	H7_C14_N_O	0	14	7	1	1	0
273	207.068346	0.003911328	-0.328133205	10	N1O1	H9_C14_N_O	0	14	9	1	1	0
292	209.084026	0.004912493	-0.181840769	9	N1O1	H11_C14_N_O	0	14	11	1	1	0
381	219.068436	0.009473461	0.100671737	11	N1O1	H9_C15_N_O	0	15	9	1	1	0
402	221.084076	0.00347049	0.05418753	10	N1O1	H11_C15_N_O	0	15	11	1	1	0
498	231.068476	0.003670293	0.268552427	12	N1O1	H9_C16_N_O	0	16	9	1	1	0
520	233.083966	0.005092394	-0.420535147	11	N1O1	H11_C16_N_O	0	16	11	1	1	0
635	243.068396	0.007302101	-0.073831071	13	N1O1	H9_C17_N_O	0	17	9	1	1	0
664	245.084096	0.005263635	0.130485823	12	N1O1	H11_C17_N_O	0	17	11	1	1	0
690	247.099626	0.003226282	-0.356512073	11	N1O1	H13_C17_N_O	0	17	13	1	1	0
718	249.115486	0.003808971	0.489058316	10	N1O1	H15_C17_N_O	0	17	15	1	1	0
821	257.084096	0.00444653	0.124395093	13	N1O1	H11_C18_N_O	0	18	11	1	1	0
853	259.099796	0.003868333	0.316117578	12	N1O1	H13_C18_N_O	0	18	13	1	1	0
930	265.052786	0.004273361	0.083485257	16	N1O1	H7_C19_N_O	0	19	7	1	1	0
960	267.068436	0.010083084	0.082578085	15	N1O1	H9_C19_N_O	0	19	9	1	1	0
1149	279.068396	0.004904586	-0.064306816	16	N1O1	H9_C20_N_O	0	20	9	1	1	0
1182	281.084046	0.005603307	-0.064108939	15	N1O1	H11_C20_N_O	0	20	11	1	1	0
