peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
1418	355.099866	0.001919045	0.427783884	20	N1O1	H13_C26_N_O	0	26	13	1	1	0
1443	357.069486	0.002697864	-0.307861647	7	N1O10	H15_C14_N_O10	0	14	15	10	1	0
1556	365.038266	0.002017193	-0.081580488	10	N1O10	H11_C15_N_O10	0	15	11	10	1	0
1585	367.054036	0.002565395	0.245593267	9	N1O10	H13_C15_N_O10	0	15	13	10	1	0
1617	369.069636	0.002135582	0.108575716	8	N1O10	H15_C15_N_O10	0	15	15	10	1	0
1707	375.022576	0.001877614	-0.185871477	12	N1O10	H9_C16_N_O10	0	16	9	10	1	0
1771	379.053966	0.003067724	0.053148105	10	N1O10	H13_C16_N_O10	0	16	13	10	1	0
1802	381.069576	0.003170047	-0.052294912	9	N1O10	H15_C16_N_O10	0	16	15	10	1	0
1870	385.100876	0.002447898	-0.052131795	7	N1O10	H19_C16_N_O10	0	16	19	10	1	0
1929	389.038396	0.002346643	0.257609534	12	N1O10	H11_C17_N_O10	0	17	11	10	1	0
1966	391.053936	0.003471805	-0.02519857	11	N1O10	H13_C17_N_O10	0	17	13	10	1	0
2000	393.069546	0.00419058	-0.127020779	10	N1O10	H15_C17_N_O10	0	17	15	10	1	0
2031	395.085196	0.003334953	-0.126560045	9	N1O10	H17_C17_N_O10	0	17	17	10	1	0
2064	397.100976	0.002846598	0.201268707	8	N1O10	H19_C17_N_O10	0	17	19	10	1	0
2126	401.038376	0.003755811	0.200030732	13	N1O10	H11_C18_N_O10	0	18	11	10	1	0
2166	403.053926	0.004619745	-0.049258917	12	N1O10	H13_C18_N_O10	0	18	13	10	1	0
2205	405.069656	0.004196985	0.14830042	11	N1O10	H15_C18_N_O10	0	18	15	10	1	0
2242	407.085326	0.004730927	0.196514084	10	N1O10	H17_C18_N_O10	0	18	17	10	1	0
2281	409.100856	0.004791296	-0.097961174	9	N1O10	H19_C18_N_O10	0	18	19	10	1	0
2305	411.022576	0.002128613	-0.169591658	15	N1O10	H9_C19_N_O10	0	19	9	10	1	0
2317	411.116666	0.002233577	0.291523088	8	N1O10	H21_C18_N_O10	0	18	21	10	1	0
2344	413.038266	0.003572796	-0.072099857	14	N1O10	H11_C19_N_O10	0	19	11	10	1	0
2380	415.053926	0.005758027	-0.047834748	13	N1O10	H13_C19_N_O10	0	19	13	10	1	0
2421	417.069596	0.00613948	1.73E-04	12	N1O10	H15_C19_N_O10	0	19	15	10	1	0
2458	419.085236	0.005720905	-0.023866267	11	N1O10	H17_C19_N_O10	0	19	17	10	1	0
2492	421.100856	0.005517367	-0.0951696	10	N1O10	H19_C19_N_O10	0	19	19	10	1	0
2529	423.116586	0.003703049	0.09418208	9	N1O10	H21_C19_N_O10	0	19	21	10	1	0
2553	425.038366	0.003148202	0.165208616	15	N1O10	H11_C20_N_O10	0	20	11	10	1	0
2566	425.132166	0.003042286	-0.071093186	8	N1O10	H23_C19_N_O10	0	19	23	10	1	0
2590	427.053916	0.004477651	-0.069906864	14	N1O10	H13_C20_N_O10	0	20	13	10	1	0
2602	427.147896	0.002095273	0.116357825	7	N1O10	H25_C19_N_O10	0	19	25	10	1	0
2630	429.069566	0.0066628	-0.069750927	13	N1O10	H15_C20_N_O10	0	20	15	10	1	0
2668	431.085196	0.007649381	-0.115990993	12	N1O10	H17_C20_N_O10	0	20	17	10	1	0
2706	433.100856	0.00496167	-0.092532719	11	N1O10	H19_C20_N_O10	0	20	19	10	1	0
2739	435.116546	0.003874572	-3.45E-04	10	N1O10	H21_C20_N_O10	0	20	21	10	1	0
2760	437.038396	0.002476972	0.229316236	16	N1O10	H11_C21_N_O10	0	21	11	10	1	0
2770	437.132076	0.003645247	-0.275029005	9	N1O10	H23_C20_N_O10	0	20	23	10	1	0
2794	439.053966	0.004083557	0.04588502	15	N1O10	H13_C21_N_O10	0	21	13	10	1	0
2805	439.147856	0.002756153	0.022092787	8	N1O10	H25_C20_N_O10	0	20	25	10	1	0
2835	441.069556	0.007744669	-0.090525405	14	N1O10	H15_C21_N_O10	0	21	15	10	1	0
2872	443.085146	0.00596642	-0.225694769	13	N1O10	H17_C21_N_O10	0	21	17	10	1	0
2913	445.100796	0.00615334	-0.22483896	12	N1O10	H19_C21_N_O10	0	21	19	10	1	0
2954	447.116566	0.00427196	0.044395582	11	N1O10	H21_C21_N_O10	0	21	21	10	1	0
2977	449.038186	0.00258822	-0.244478094	17	N1O10	H11_C22_N_O10	0	22	11	10	1	0
2988	449.132136	0.004894865	-0.134089715	10	N1O10	H23_C21_N_O10	0	21	23	10	1	0
3012	451.053946	0.004462661	3.24E-04	16	N1O10	H13_C22_N_O10	0	22	13	10	1	0
3025	451.147936	0.002721833	0.198830567	9	N1O10	H25_C21_N_O10	0	21	25	10	1	0
3051	453.069596	0.005575779	1.59E-04	15	N1O10	H15_C22_N_O10	0	22	15	10	1	0
3090	455.085206	0.006769298	-0.087900023	14	N1O10	H17_C22_N_O10	0	22	17	10	1	0
3128	457.100936	0.006259704	0.087341759	13	N1O10	H19_C22_N_O10	0	22	19	10	1	0
