	peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
0	1129	426.087526037	0.008463867669325591	0.25145068434164203	27.0	N1O1	H11_C31_13C_N_O	0	32	11	1	1	0
1	451	323.040436037	0.006791933058371632	-0.1539931054928953	17.0	N1O1S1	H9_C21_N_O_S	0	21	9	1	1	1
2	518	335.040416037	0.008053992888120004	-0.20817189990524174	18.0	N1O1S1	H9_C22_N_O_S	0	22	9	1	1	1
3	529	337.055976037	0.008720722325269674	-0.4741645641295337	17.0	N1O1S1	H11_C22_N_O_S	0	22	11	1	1	1
4	583	345.024666037	0.011940707173933623	-0.4917677391557352	20.0	N1O1S1	H7_C23_N_O_S	0	23	7	1	1	1
5	595	347.04031603699997	0.01060494810868553	-0.4891247272500329	19.0	N1O1S1	H9_C23_N_O_S	0	23	9	1	1	1
6	608	349.05603603699996	0.007546361543678074	-0.28597127578453585	18.0	N1O1S1	H11_C23_N_O_S	0	23	11	1	1	1
7	683	359.04047603699996	0.014024043818383031	-0.02714457166499451	20.0	N1O1S1	H9_C24_N_O_S	0	24	9	1	1	1
8	699	361.05598603699997	0.017624795633776922	-0.4149494973831833	19.0	N1O1S1	H11_C24_N_O_S	0	24	11	1	1	1
9	766	371.040306037	0.010796522041752049	-0.4844379358075305	21.0	N1O1S1	H9_C25_N_O_S	0	25	9	1	1	1
10	802	377.087296037	0.0074598948515356795	-0.37118195562656414	18.0	N1O1S1	H15_C25_N_O_S	0	25	15	1	1	1
11	842	383.04034603699995	0.012368412315206198	-0.3648336301674167	22.0	N1O1S1	H9_C26_N_O_S	0	26	9	1	1	1
12	877	387.07161603699996	0.013439546983694109	-0.4389213595464959	20.0	N1O1S1	H13_C26_N_O_S	0	26	13	1	1	1
13	929	395.04050603699994	0.007227774232676166	0.05127069183832909	23.0	N1O1S1	H9_C27_N_O_S	0	27	9	1	1	1
14	961	399.07168603699995	0.010490264499236571	-0.2503159293284474	21.0	N1O1S1	H13_C27_N_O_S	0	27	13	1	1	1
15	1004	405.11857603699997	0.008238073351617978	-0.3952324316262433	18.0	N1O1S1	H19_C27_N_O_S	0	27	19	1	1	1
