peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
410	307.099856	0.012179641	0.462084228	16	N1O1	H13_C22_N_O	0	22	13	1	1	0
841	343.054006	0.014316366	0.175325164	7	N1O10	H13_C13_N_O10	0	13	13	10	1	0
958	351.022656	0.011453912	0.029325742	10	N1O10	H9_C14_N_O10	0	14	9	10	1	0
992	353.038316	0.018749686	0.057274237	9	N1O10	H11_C14_N_O10	0	14	11	10	1	0
1029	355.053996	0.022470051	0.141234856	8	N1O10	H13_C14_N_O10	0	14	13	10	1	0
1061	357.069626	0.021011458	0.084218869	7	N1O10	H15_C14_N_O10	0	14	15	10	1	0
1096	359.085136	0.015195373	-0.306339609	6	N1O10	H17_C14_N_O10	0	14	17	10	1	0
1156	363.022666	0.02157419	0.055902846	11	N1O10	H9_C15_N_O10	0	15	9	10	1	0
1189	365.038306	0.034699213	0.027997062	10	N1O10	H11_C15_N_O10	0	15	11	10	1	0
1224	367.053976	0.040750091	0.08212961	9	N1O10	H13_C15_N_O10	0	15	13	10	1	0
1263	369.069606	0.036504348	0.027290245	8	N1O10	H15_C15_N_O10	0	15	15	10	1	0
1300	371.085206	0.027041756	-0.107797345	7	N1O10	H17_C15_N_O10	0	15	17	10	1	0
1331	373.100886	0.013120327	-0.0270061	6	N1O10	H19_C15_N_O10	0	15	19	10	1	0
1360	375.022676	0.023609509	0.080779115	12	N1O10	H9_C16_N_O10	0	16	9	10	1	0
1396	377.038276	0.040904541	-0.052461517	11	N1O10	H11_C16_N_O10	0	16	11	10	1	0
1433	379.053926	0.060020967	-0.052377772	10	N1O10	H13_C16_N_O10	0	16	13	10	1	0
1472	381.069596	0.061387272	1.89E-04	9	N1O10	H15_C16_N_O10	0	16	15	10	1	0
1513	383.085276	0.039505175	0.078306325	8	N1O10	H17_C16_N_O10	0	16	17	10	1	0
1555	385.100896	0.019406661	-1.97E-04	7	N1O10	H19_C16_N_O10	0	16	19	10	1	0
1585	387.022656	0.035661819	0.026597926	13	N1O10	H9_C17_N_O10	0	17	9	10	1	0
1596	387.116536	0.014019318	-0.026219495	6	N1O10	H21_C16_N_O10	0	16	21	10	1	0
1625	389.038306	0.053138693	0.026269907	12	N1O10	H11_C17_N_O10	0	17	11	10	1	0
1667	391.053956	0.077856187	0.025945269	11	N1O10	H13_C17_N_O10	0	17	13	10	1	0
1707	393.069596	0.075991234	1.83E-04	10	N1O10	H15_C17_N_O10	0	17	15	10	1	0
1749	395.085276	0.051700974	0.075927912	9	N1O10	H17_C17_N_O10	0	17	17	10	1	0
1791	397.100886	0.03875701	-0.025373905	8	N1O10	H19_C17_N_O10	0	17	19	10	1	0
1824	399.022676	0.039240664	0.075920497	14	N1O10	H9_C18_N_O10	0	18	9	10	1	0
1836	399.116556	0.027346154	0.024679507	7	N1O10	H21_C17_N_O10	0	17	21	10	1	0
1867	401.038276	0.075513341	-0.049321975	13	N1O10	H11_C18_N_O10	0	18	11	10	1	0
1911	403.053946	0.094941279	3.62E-04	12	N1O10	H13_C18_N_O10	0	18	13	10	1	0
1955	405.069596	0.088507047	1.78E-04	11	N1O10	H15_C18_N_O10	0	18	15	10	1	0
2001	407.085256	0.076248617	0.024559966	10	N1O10	H17_C18_N_O10	0	18	17	10	1	0
2041	409.100896	0.051367743	-1.86E-04	9	N1O10	H19_C18_N_O10	0	18	19	10	1	0
2072	411.022596	0.027206415	-0.120932524	15	N1O10	H9_C19_N_O10	0	19	9	10	1	0
2086	411.116606	0.029326788	0.145579135	8	N1O10	H21_C18_N_O10	0	18	21	10	1	0
2119	413.038306	0.073524923	0.024743468	14	N1O10	H11_C19_N_O10	0	19	11	10	1	0
2132	413.132056	0.017301282	-0.339416896	7	N1O10	H23_C18_N_O10	0	18	23	10	1	0
2168	415.053966	0.091470498	0.048538266	13	N1O10	H13_C19_N_O10	0	19	13	10	1	0
2217	417.069616	0.09433777	0.048126258	12	N1O10	H15_C19_N_O10	0	19	15	10	1	0
2265	419.085226	0.088575084	-0.047727762	11	N1O10	H17_C19_N_O10	0	19	17	10	1	0
2310	421.100906	0.056778715	0.023566798	10	N1O10	H19_C19_N_O10	0	19	19	10	1	0
2341	423.022576	0.023661079	-0.164780803	16	N1O10	H9_C20_N_O10	0	20	9	10	1	0
2356	423.116546	0.037028332	-3.55E-04	9	N1O10	H21_C19_N_O10	0	19	21	10	1	0
2386	425.038256	0.059726691	-0.093591575	15	N1O10	H11_C20_N_O10	0	20	11	10	1	0
2400	425.132196	0.024127503	-5.27E-04	8	N1O10	H23_C19_N_O10	0	19	23	10	1	0
2437	427.053936	0.090520299	-0.023074369	14	N1O10	H13_C20_N_O10	0	20	13	10	1	0
2487	429.069596	0.101152342	1.68E-04	13	N1O10	H15_C20_N_O10	0	20	15	10	1	0
2539	431.085226	0.089626575	-0.046399178	12	N1O10	H17_C20_N_O10	0	20	17	10	1	0
2590	433.100886	0.071693466	-0.023264787	11	N1O10	H19_C20_N_O10	0	20	19	10	1	0
2626	435.022586	0.016057283	-0.137248046	17	N1O10	H9_C21_N_O10	0	21	9	10	1	0
2640	435.116516	0.048080178	-0.069291785	10	N1O10	H21_C20_N_O10	0	20	21	10	1	0
2673	437.038236	0.050973094	-0.13678437	16	N1O10	H11_C21_N_O10	0	21	11	10	1	0
