peakNo	mw	relativeAbundance	errorPPM	DBE	class	formula	z	C	H	O	N	S
405	289.052886	0.038432659	0.422510917	18	N1O1	H7_C21_N_O	0	21	7	1	1	0
624	313.052906	0.051333373	0.454006327	20	N1O1	H7_C23_N_O	0	23	7	1	1	0
671	317.084206	0.025041527	0.447767493	18	N1O1	H11_C23_N_O	0	23	11	1	1	0
1083	351.022796	0.018831146	0.428160227	10	N1O10	H9_C14_N_O10	0	14	9	10	1	0
1109	353.038216	0.01925277	-0.225981201	9	N1O10	H11_C14_N_O10	0	14	11	10	1	0
1252	363.022736	0.029223194	0.248728223	11	N1O10	H9_C15_N_O10	0	15	9	10	1	0
1282	365.038356	0.035502845	0.164968966	10	N1O10	H11_C15_N_O10	0	15	11	10	1	0
1423	375.022486	0.040163762	-0.425857131	12	N1O10	H9_C16_N_O10	0	16	9	10	1	0
1457	377.038236	0.043722612	-0.158551559	11	N1O10	H11_C16_N_O10	0	16	11	10	1	0
1486	379.053966	0.055139044	0.053148105	10	N1O10	H13_C16_N_O10	0	16	13	10	1	0
1517	381.069646	0.036346026	0.131398553	9	N1O10	H15_C16_N_O10	0	16	15	10	1	0
1548	383.085326	0.033559116	0.20882554	8	N1O10	H17_C16_N_O10	0	16	17	10	1	0
1599	387.022556	0.041552382	-0.23178494	13	N1O10	H9_C17_N_O10	0	17	9	10	1	0
1629	389.038306	0.052523351	0.026269907	12	N1O10	H11_C17_N_O10	0	17	11	10	1	0
1699	393.069646	0.06572841	0.127387094	10	N1O10	H15_C17_N_O10	0	17	15	10	1	0
1731	395.085166	0.046815624	-0.202493049	9	N1O10	H17_C17_N_O10	0	17	17	10	1	0
1760	397.100926	0.027442532	0.075356158	8	N1O10	H19_C17_N_O10	0	17	19	10	1	0
1779	399.022766	0.046000053	0.301471521	14	N1O10	H9_C18_N_O10	0	18	9	10	1	0
1812	401.038416	0.075897911	0.29977178	13	N1O10	H11_C18_N_O10	0	18	11	10	1	0
1847	403.053806	0.084242763	-0.346985931	12	N1O10	H13_C18_N_O10	0	18	13	10	1	0
1878	405.069546	0.075694786	-0.123257847	11	N1O10	H15_C18_N_O10	0	18	15	10	1	0
1909	407.085376	0.07194272	0.319338418	10	N1O10	H17_C18_N_O10	0	18	17	10	1	0
1938	409.101046	0.038191088	0.366471808	9	N1O10	H19_C18_N_O10	0	18	19	10	1	0
1960	411.022486	0.043155676	-0.388557817	15	N1O10	H9_C19_N_O10	0	19	9	10	1	0
1970	411.116576	0.025437525	0.072607143	8	N1O10	H21_C18_N_O10	0	18	21	10	1	0
1996	413.038326	0.060320886	0.073165123	14	N1O10	H11_C19_N_O10	0	19	11	10	1	0
2032	415.053876	0.099744023	-0.168301042	13	N1O10	H13_C19_N_O10	0	19	13	10	1	0
2065	417.069566	0.095220956	-0.071757813	12	N1O10	H15_C19_N_O10	0	19	15	10	1	0
2100	419.085086	0.064444052	-0.381788819	11	N1O10	H17_C19_N_O10	0	19	17	10	1	0
2131	421.100956	0.052226746	0.142303168	10	N1O10	H19_C19_N_O10	0	19	19	10	1	0
2153	423.022516	0.035849351	-0.306617249	16	N1O10	H9_C20_N_O10	0	20	9	10	1	0
2179	425.038186	0.066386749	-0.258282676	15	N1O10	H11_C20_N_O10	0	20	11	10	1	0
2205	427.053876	0.099945323	-0.163571867	14	N1O10	H13_C20_N_O10	0	20	13	10	1	0
2242	429.069716	0.108997594	0.279842635	13	N1O10	H15_C20_N_O10	0	20	15	10	1	0
2277	431.085296	0.099626148	0.115981687	12	N1O10	H17_C20_N_O10	0	20	17	10	1	0
2308	433.100806	0.061914589	-0.207979294	11	N1O10	H19_C20_N_O10	0	20	19	10	1	0
2326	435.022676	0.028807762	0.069637749	17	N1O10	H9_C21_N_O10	0	21	9	10	1	0
2338	435.116626	0.046271258	0.183514017	10	N1O10	H21_C20_N_O10	0	20	21	10	1	0
2356	437.038216	0.056216903	-0.182546965	16	N1O10	H11_C21_N_O10	0	21	11	10	1	0
2381	439.053976	0.09573721	0.068661262	15	N1O10	H13_C21_N_O10	0	21	13	10	1	0
2415	441.069666	0.114273366	0.158868327	14	N1O10	H15_C21_N_O10	0	21	15	10	1	0
2451	443.085116	0.098129338	-0.293401866	13	N1O10	H17_C21_N_O10	0	21	17	10	1	0
2482	445.101006	0.07339664	0.246964169	12	N1O10	H19_C21_N_O10	0	21	19	10	1	0
2518	447.116676	0.052375896	0.290416366	11	N1O10	H21_C21_N_O10	0	21	21	10	1	0
2543	449.038156	0.049994404	-0.311287578	17	N1O10	H11_C22_N_O10	0	22	11	10	1	0
2558	449.132236	0.045281521	0.088561891	10	N1O10	H23_C21_N_O10	0	21	23	10	1	0
2583	451.054016	0.077201068	0.155515742	16	N1O10	H13_C22_N_O10	0	22	13	10	1	0
2619	453.069656	0.109013734	0.132588884	15	N1O10	H15_C22_N_O10	0	22	15	10	1	0
2649	455.085246	0.093547427	-4.39E-06	14	N1O10	H17_C22_N_O10	0	22	17	10	1	0
2688	457.100926	0.068991117	0.065464755	13	N1O10	H19_C22_N_O10	0	22	19	10	1	0
2724	459.116646	0.053904139	0.217482857	12	N1O10	H21_C22_N_O10	0	22	21	10	1	0
2749	461.038346	0.043367453	0.108928033	18	N1O10	H11_C23_N_O10	0	23	11	10	1	0
2760	461.132176	0.047094343	-0.043857274	11	N1O10	H23_C22_N_O10	0	22	23	10	1	0
2787	463.147676	0.030557771	-0.367696976	10	N1O10	H25_C22_N_O10	0	22	25	10	1	0
2808	465.069586	0.071648576	-0.021347343	16	N1O10	H15_C23_N_O10	0	23	15	10	1	0
2837	467.085456	0.089128384	0.449592248	15	N1O10	H17_C23_N_O10	0	23	17	10	1	0
2871	469.100836	0.088888626	-0.128066282	14	N1O10	H19_C23_N_O10	0	23	19	10	1	0
2910	471.116486	0.052383489	-0.12767543	13	N1O10	H21_C23_N_O10	0	23	21	10	1	0
2946	473.132286	0.04905482	0.189748201	12	N1O10	H23_C23_N_O10	0	23	23	10	1	0
2974	475.053906	0.056548606	-0.083893637	18	N1O10	H13_C24_N_O10	0	24	13	10	1	0
2983	475.147776	0.035701234	-0.147949761	11	N1O10	H25_C23_N_O10	0	23	25	10	1	0
3042	479.085466	0.069669141	0.459204079	16	N1O10	H17_C24_N_O10	0	24	17	10	1	0
3076	481.100846	0.066028269	-0.104086285	15	N1O10	H19_C24_N_O10	0	24	19	10	1	0
3105	483.116556	0.058092804	0.020388455	14	N1O10	H21_C24_N_O10	0	24	21	10	1	0
3140	485.132346	0.043383633	0.308732248	13	N1O10	H23_C24_N_O10	0	24	23	10	1	0
3174	487.147686	0.038116474	-0.329054216	12	N1O10	H25_C24_N_O10	0	24	25	10	1	0
3202	489.163396	0.028812088	-0.205191151	11	N1O10	H27_C24_N_O10	0	24	27	10	1	0
3252	493.100926	0.045971994	0.060685345	16	N1O10	H19_C25_N_O10	0	25	19	10	1	0
