,M/z,Intensity,Relative,Resolution,Frequency,S/N
0,164.39063,0.0329,0.175306,2650076,1965054.99592,6.9
1,164.64292,0.0334,0.1781939,2808728,1962043.817306,7.03
2,168.21237,0.0434,0.2314629,1461964,1920409.269993,9.4
3,175.02481,0.0919,0.490355,2758179,1845661.462823,20.91
4,175.04007,0.1701,0.9071424,2654157,1845500.580899,39.45
5,175.0612,0.1321,0.7044205,2589083,1845277.853343,30.43
6,175.07646,0.0533,0.284512,2551774,1845117.04738,11.76
7,175.09758,0.1323,0.705704,2576307,1844894.411212,30.49
8,175.13397,0.0354,0.1889571,2556363,1844511.127215,7.51
9,176.01151,0.1399,0.7459694,2511797,1835314.915148,32.28
10,176.03532,0.0503,0.2680416,2822866,1835066.683257,11.02
11,176.0479,0.0391,0.2084701,2811088,1834935.560132,8.37
12,176.06902,0.1004,0.5357065,2530620,1834715.408986,22.93
13,176.10541,0.203,1.0825502,2468268,1834336.321446,47.25
14,176.90067,0.049,0.2612271,2499778,1826089.950916,10.72
15,177.01933,0.6051,3.2272346,2568650,1824865.874139,142.64
16,177.04046,0.0607,0.3237688,2401954,1824648.06982,13.5
17,177.05572,0.3595,1.9174169,2589903,1824490.867683,84.38
18,177.07684,0.0355,0.1894573,2653958,1824273.205577,7.53
19,177.0921,0.61,3.2529652,2556095,1824116.004822,143.78
20,177.99077,0.1442,0.7690547,2606460,1814906.072923,33.31
21,178.01458,0.0754,0.4020177,2563988,1814663.330583,16.98
22,178.02268,0.0564,0.3008995,2535449,1814580.773672,12.48
23,178.02716,0.0844,0.4500731,2410274,1814535.10006,19.12
24,178.04828,0.041,0.2187446,2302811,1814319.81344,8.83
25,178.05096,0.0879,0.4689549,2635421,1814292.508277,19.96
26,178.05907,0.0438,0.233448,2516832,1814209.94044,9.48
27,178.06354,0.0455,0.2426328,2337271,1814164.368753,9.89
28,178.09546,0.0725,0.3868595,2648710,1813839.250019,16.31
29,178.09993,0.6999,3.732435,2578726,1813793.727608,165.11
30,178.12106,0.1554,0.8287879,2599584,1813578.574448,35.96
31,178.96295,0.0962,0.5131547,2562472,1805046.930202,21.92
32,178.9986,0.3527,1.8808498,2509572,1804687.468605,82.75
33,179.03498,0.6491,3.461652,2543813,1804320.692726,153.06
34,179.04622,0.0432,0.2303127,2473951,1804207.479239,9.34
35,179.07137,0.3233,1.7239351,2528069,1803954.083217,75.78
36,179.10328,0.0834,0.4445331,2327116,1803632.628528,18.87
37,179.10775,0.1908,1.0176891,2583428,1803587.604024,44.36
38,180.00642,0.0835,0.4452647,2542215,1794583.291249,18.9
39,180.03023,0.2127,1.1342547,2521770,1794345.951019,49.55
40,180.03834,0.0601,0.3204173,2157997,1794265.121496,13.35
41,180.04281,0.0985,0.525184,2519133,1794220.610389,22.46
42,180.06394,0.0523,0.2788315,2548895,1794010.064571,11.5
43,180.06662,0.1655,0.8823866,2569375,1793983.373889,38.35
44,180.07472,0.0378,0.2018478,2684929,1793902.638014,8.08
45,180.07919,0.0926,0.493679,2422717,1793858.100162,21.06
46,180.92619,0.0572,0.305144,2477763,1785460.155027,12.67
47,180.94245,0.0812,0.433034,2447173,1785299.773293,18.36
48,181.01425,0.6287,3.3531668,2461001,1784591.622662,148.24
49,181.05063,0.5353,2.8546169,2529928,1784232.982023,126.06
50,181.07176,0.0678,0.3614537,2416609,1784024.747793,15.18
51,181.08702,0.6972,3.7182539,2506824,1783874.490635,164.48
52,181.1234,0.1553,0.8282872,2426915,1783516.137269,35.94
53,181.15979,0.0358,0.1910505,2488773,1783157.898939,7.6
54,182.0095,0.0693,0.3696592,2561289,1774833.203326,15.54
55,182.0176,0.0485,0.2588804,2566322,1774754.216087,10.62
