,M/z,Intensity,Relative,Resolution,Frequency,S/N
0,168.21221,0.032,0.3970411,2039376,1920410.755544,4.21
1,175.04007,0.0306,0.3806482,2489365,1845500.206306,4.03
2,175.82833,0.0284,0.3524608,2426603,1837226.540006,3.71
3,175.83971,0.0416,0.5164555,2364728,1837107.6394,5.56
4,175.8474,0.0533,0.6621618,2441773,1837027.302491,7.21
5,175.84946,0.0481,0.5970706,2253142,1837005.865202,6.47
6,176.0115,0.0215,0.2670695,2051969,1835314.614291,2.75
7,176.03531,0.0174,0.2157813,2092920,1835066.345767,2.17
8,176.82429,0.0182,0.2265341,2427626,1826878.386127,2.29
9,176.82605,0.1283,1.5936202,2446523,1826860.195695,17.73
10,176.82948,0.0148,0.1840805,2758299,1826824.789288,1.81
11,176.83662,0.1253,1.5573673,2415995,1826750.954634,17.32
12,176.83696,0.1117,1.3883166,2494349,1826747.506699,15.41
13,176.83794,0.0151,0.1877725,2225123,1826737.328656,1.85
14,177.00114,0.0146,0.1819171,2083756,1825053.05725,1.78
15,177.01933,0.0876,1.0887709,2375804,1824865.490667,12.03
16,177.04046,0.0175,0.2169889,2503918,1824647.706821,2.18
17,177.05572,0.0683,0.8480546,2438741,1824490.482217,9.31
18,177.83677,0.0176,0.2181363,2774594,1816477.369623,2.19
19,177.84445,0.0171,0.2118564,2640341,1816398.929251,2.12
20,177.84478,0.8129,10.1009121,2382534,1816395.5172,113.81
21,177.84651,0.0486,0.6038672,2166671,1816377.915832,6.55
22,178.01458,0.0231,0.2871716,1870769,1814662.953036,2.97
23,178.8231,0.0146,0.1815982,2212599,1806458.249597,1.78
24,178.83368,0.0154,0.1914445,2288233,1806351.388903,1.89
25,178.83401,0.1183,1.4703953,2400528,1806348.017349,16.34
26,178.84524,0.0204,0.2540057,2583374,1806234.609989,2.6
27,178.9986,0.0669,0.8318414,2280408,1804687.066032,9.12
28,179.03498,0.2417,3.0035973,2319259,1804320.330683,33.65
29,179.05611,0.0341,0.4232854,2348852,1804107.460311,4.51
30,179.07136,0.0186,0.2315355,2646442,1803953.755098,2.34
31,179.84183,0.9015,11.201169,2391449,1796225.309015,126.23
32,179.84355,0.0148,0.1833553,1895144,1796208.176056,1.8
33,180.03023,0.0258,0.321096,2276906,1794345.582157,3.36
34,180.03834,0.0273,0.3391379,2497504,1794264.796636,3.56
35,180.83106,0.0435,0.5404984,2418905,1786399.119338,5.83
36,180.84229,0.019,0.2358747,2055815,1786288.159702,2.39
37,180.89441,0.0268,0.3328138,2439095,1785773.535319,3.49
38,181.01425,0.5233,6.502358,2365605,1784591.262216,73.16
