,M/z,Intensity,Relative,Resolution,Frequency,S/N
0,160.14382,0.0177,0.2052444,2002514,2017165.417167,2.1
1,162.59277,0.019,0.2195808,2861021,1986782.960761,2.27
2,162.83911,0.0148,0.1716569,2810765,1983777.437888,1.71
3,175.00369,0.0171,0.1973565,2641071,1845883.709763,2.01
4,175.02482,0.0224,0.2593673,2612400,1845660.846282,2.73
5,175.04007,0.0607,0.7021078,2253483,1845500.023712,7.85
6,175.07646,0.0164,0.1898905,2389571,1845116.451333,1.92
7,175.82833,0.0337,0.3892222,2487632,1837226.341502,4.23
8,175.83972,0.0389,0.4503243,2486559,1837107.368469,4.93
9,175.8474,0.0669,0.7742774,2480055,1837027.104626,8.68
10,175.84945,0.0628,0.7269281,2411381,1837005.676527,8.13
11,176.01151,0.0494,0.5712079,2497120,1835314.325313,6.33
12,176.03531,0.0233,0.269257,2304627,1835066.161433,2.84
13,176.82429,0.0287,0.3316112,2387855,1826878.189075,3.56
14,176.82605,0.1547,1.7892897,2499944,1826859.994445,20.42
15,176.83663,0.1189,1.3748252,2442583,1826750.724166,15.63
16,176.83696,0.127,1.4689929,2440659,1826747.293173,16.72
17,177.01933,0.1844,2.132637,2436176,1824865.300181,24.39
18,177.04046,0.0166,0.1925032,2421918,1824647.498431,1.95
19,177.05572,0.197,2.2792025,2447439,1824490.279574,26.09
20,177.0921,0.0375,0.4338917,2148320,1824115.435449,4.74
21,177.83676,0.0167,0.1927004,1961607,1816477.275604,1.96
22,177.84445,0.0282,0.3260104,2340320,1816398.74591,3.5
23,177.84478,1.0808,12.5014772,2423524,1816395.326663,144.32
24,177.8449,0.0223,0.2583934,529702,1816394.081969,2.72
25,177.8465,0.0636,0.7356732,2335867,1816377.7545,8.24
26,177.94681,0.0759,0.8774601,2467079,1815353.904339,9.88
27,177.99077,0.0224,0.2590345,2356949,1814905.466829,2.72
28,178.01458,0.0488,0.5646654,2348124,1814662.754666,6.26
29,178.02269,0.0163,0.1888949,1527276,1814580.107546,1.91
30,178.02716,0.0263,0.3040756,2549980,1814534.539239,3.24
31,178.05096,0.0202,0.2342218,2361262,1814291.968075,2.44
32,178.05907,0.0201,0.2321471,2268502,1814209.310364,2.41
33,178.09993,0.0149,0.1720703,2723424,1813793.08425,1.72
34,178.8231,0.0203,0.2344648,2385550,1806458.022804,2.44
35,178.83401,0.1346,1.557218,2407637,1806347.829259,17.74
36,178.84523,0.0257,0.2973652,2423577,1806234.468782,3.17
37,178.9986,0.1142,1.3211957,2430096,1804686.895349,15.01
38,179.01679,0.0157,0.181287,2357934,1804503.464123,1.82
39,179.03498,0.3946,4.5639710000000004,2384378,1804320.130401,52.51
40,179.04804,0.0169,0.1956668,2949540,1804188.489814,1.99
41,179.05612,0.0207,0.2398207,2482105,1804107.115121,2.5
42,179.07137,0.0488,0.5647575,2428064,1803953.498605,6.26
43,179.10775,0.0199,0.2305105,2119921,1803587.031547,2.39
44,179.84183,1.1083,12.8195467,2407784,1796225.118779,148.0
45,179.84196,0.0165,0.1907703,3440630,1796223.837645,1.93
46,179.84356,0.0244,0.2819217,2223466,1796207.893352,2.99
47,179.94386,0.0482,0.5578424,2439789,1795206.682791,6.18
48,180.00641,0.0246,0.2846819,2354358,1794582.799331,3.02
49,180.02216,0.0205,0.2371484,2401757,1794425.788804,2.47
50,180.03024,0.0546,0.6316165,2326871,1794345.344234,7.03
51,180.03361,0.0188,0.2178068,2187586,1794311.756379,2.25
52,180.03833,0.0333,0.3850203,2310203,1794264.624898,4.18
53,180.06661,0.0188,0.2172003,2562354,1793982.864535,2.24
54,180.83105,0.0411,0.4748898,2273026,1786398.963135,5.22
55,180.84228,0.0234,0.2701243,2764954,1786288.027717,2.85
56,180.85955,0.0148,0.1709607,2507510,1786117.492277,1.7
57,180.89442,0.0596,0.6891177,2539160,1785773.247268,7.7
58,181.01425,1.5453,17.873827,2391312,1784591.066336,206.45
