,M/z,Intensity,Relative,Resolution,Frequency,S/N
0,168.21235,0.0963,0.1768663,1083260,1920409.752084,8.5
1,175.02481,0.2357,0.4328351,2816123,1845661.7350630001,21.87
2,175.04007,0.4708,0.8646168,2807177,1845500.841498,44.43
3,175.0612,0.2578,0.473473,2744924,1845278.088454,23.99
4,175.07645,0.1858,0.3411672,2788995,1845117.31356,17.08
5,175.09758,0.2178,0.4000125,2479436,1844894.656139,20.15
6,176.0115,0.2927,0.5374205,2782304,1835315.160737,27.33
7,176.03532,0.1198,0.2200727,2593005,1835066.867356,10.75
8,176.04789,0.116,0.2130903,2465398,1834935.797641,10.39
9,176.06902,0.1257,0.2307739,2683007,1834715.642584,11.31
10,176.1054,0.429,0.7878494,2646752,1834336.549444,40.42
11,177.01933,1.5554,2.8562133,2711602,1824866.096441,148.49
12,177.04046,0.145,0.2662245,2698889,1824648.302785,13.16
13,177.05572,0.7935,1.4571316,2723940,1824491.077258,75.39
14,177.0921,0.9623,1.7671316,2694282,1824116.228399,91.59
15,177.99077,0.4457,0.8184394,2636323,1814906.282349,42.02
16,178.01458,0.1824,0.3348725,2665478,1814663.51471,16.75
17,178.02269,0.1557,0.2859589,2777250,1814580.909119,14.2
18,178.02716,0.2086,0.3830727,2888672,1814535.335856,19.27
19,178.05096,0.1392,0.2556337,2907887,1814292.772699,12.61
20,178.05907,0.099,0.1817959,2410004,1814210.135701,8.75
21,178.06354,0.1103,0.202563,2657321,1814164.544395,9.84
22,178.09545,0.1365,0.2507011,2710093,1813839.481364,12.35
23,178.09993,0.9592,1.7613517,2677495,1813793.939628,91.28
24,178.12106,0.1703,0.3127116,2895165,1813578.769912,15.59
25,178.99859,0.9813,1.8020366,2717022,1804687.681501,93.41
26,179.03498,1.3272,2.4371953,2657666,1804320.919697,126.6
27,179.04621,0.0987,0.1813224,2795738,1804207.712042,8.73
28,179.05611,0.0994,0.1825838,2516008,1804107.961516,8.79
29,179.07136,0.6674,1.2255248,2672997,1803954.29817,63.29
30,179.10328,0.1269,0.2329654,2713385,1803632.84494,11.43
31,179.10775,0.2649,0.4864842,2580605,1803587.851467,24.67
32,180.00194,0.1045,0.1919412,2093174,1794628.149994,9.28
33,180.00642,0.2042,0.3750669,2674080,1794583.500636,18.85
34,180.03023,0.4128,0.7579917,2779862,1794346.180234,38.86
35,180.03833,0.1454,0.2670085,2344288,1794265.394308,13.21
36,180.04281,0.2237,0.4108469,2597053,1794220.816819,20.72
37,180.06661,0.2942,0.540224,2639254,1793983.605053,27.48
38,180.07919,0.1436,0.2637873,2725433,1793858.273774,13.04
39,180.94245,0.0937,0.1721374,1602320,1785299.968089,8.25
40,181.01424,1.2596,2.312989,2658040,1784591.845367,120.11
41,181.05063,1.2014,2.2061579,2668562,1784233.196142,114.52
42,181.08701,1.1556,2.1221507,2674840,1783874.695386,110.14
43,181.1234,0.2376,0.4362566,2838759,1783516.362074,22.05
44,182.00949,0.1651,0.3031768,2705793,1774833.456547,15.1
