,M/z,Intensity,Relative,Resolution,Frequency,S/N
0,168.21236,0.0701,0.2297425,2936768,1920409.330363,10.15
1,175.02481,0.2057,0.6743518,2784271,1845661.40574,31.3
2,175.04006,0.2204,0.7224251,2251179,1845500.53122,33.59
3,175.06119,0.1489,0.4882652,2278036,1845277.814186,22.45
4,175.07646,0.0737,0.2416552,2153245,1845116.926287,10.72
5,175.09757,0.1355,0.444165,2368895,1844894.413075,20.35
6,176.0115,0.2025,0.6638375,2345171,1835314.863916,30.8
7,176.03532,0.0912,0.2990943,2666030,1835066.573169,13.45
8,176.06901,0.1097,0.3596774,2276674,1834715.392708,16.33
9,176.1054,0.1813,0.5944874,2422444,1834336.28077,27.5
10,176.82606,0.061,0.1999587,2541803,1826860.393716,8.74
11,176.96129,0.1011,0.3315317,2249292,1825464.340834,15.0
12,176.99582,0.068,0.222985,2383853,1825108.151813,9.83
13,177.01933,0.9779,3.2058201,2437769,1824865.810348,151.72
14,177.04046,0.0948,0.3106232,2480257,1824647.99632,14.0
15,177.05571,0.4706,1.5428337,2442361,1824490.805143,72.62
16,177.0921,0.6455,2.1161256,2417655,1824115.948007,99.89
17,177.99077,0.2343,0.7681054,2455072,1814906.006565,35.76
18,178.01458,0.0999,0.3275868,2325698,1814663.23493,14.81
19,178.02268,0.0881,0.2888853,2416629,1814580.621115,12.97
20,178.02715,0.1126,0.3689891,2359973,1814535.090442,16.78
21,178.04827,0.0551,0.1805403,2379305,1814319.809082,7.81
22,178.05096,0.1043,0.3417943,2192762,1814292.393013,15.48
23,178.06353,0.0577,0.1890548,2821108,1814164.304752,8.22
24,178.09545,0.0939,0.3077072,2365932,1813839.157704,13.86
25,178.09992,0.7085,2.3226326,2358622,1813793.670618,109.71
26,178.12105,0.1559,0.510957,2363989,1813578.498026,23.53
27,178.99859,0.6726,2.2048411,2404421,1804687.404095,104.11
28,179.03498,1.4596,4.7846613,2384902,1804320.638815,226.83
29,179.04621,0.0649,0.2128897,2717438,1804207.393432,9.35
30,179.0561,0.0808,0.2648588,2838865,1804107.719055,11.82
31,179.07136,0.4002,1.311838,2420819,1803954.026828,61.63
32,179.10328,0.0898,0.2944597,2517280,1803632.506211,13.23
33,179.10774,0.2052,0.6728018,2314397,1803587.560207,31.23
34,180.00195,0.0585,0.1918806,1928611,1794627.778465,8.35
35,180.00642,0.1301,0.4265303,2677618,1794583.211305,19.51
36,180.03023,0.2907,0.9528656,2440607,1794345.881164,44.55
37,180.03833,0.1495,0.4901126,2486183,1794265.09036,22.54
38,180.0428,0.1387,0.4548408,2310254,1794220.529462,20.86
39,180.06661,0.2169,0.7110708,2339080,1793983.351911,33.05
40,180.07919,0.1021,0.3347724,2491225,1793858.019085,15.15
