,M/z,Intensity,Relative,Resolution,Frequency,S/N
0,168.21239,0.0233,0.2107738,1432219,1920409.067251,2.89
1,175.0248,0.0295,0.2670996,2666181,1845661.502739,3.76
2,175.04006,0.037,0.3354969,2586499,1845500.615871,4.82
3,175.06118,0.0268,0.2428505,2656402,1845277.961648,3.39
4,175.82833,0.057,0.5165812,2440187,1837226.914112,7.62
5,175.8474,0.0198,0.1790833,2804974,1837027.643449,2.4
6,175.84945,0.0838,0.7592068,2595718,1837006.245508,11.38
7,175.98123,0.0202,0.1825925,2442563,1835630.6441,2.46
8,176.82428,0.0372,0.3370742,2798373,1826878.817218,4.85
9,176.82604,0.2468,2.2354167,2552524,1826860.585683,34.21
10,176.82947,0.023,0.2087075,2449545,1826825.159773,2.86
11,176.83695,0.0442,0.4002611,2443839,1826747.915339,5.82
12,176.90066,0.0535,0.4848381,2679982,1826090.000291,7.13
13,176.90106,0.0334,0.3022956,2896408,1826085.904711,4.31
14,177.01933,0.1521,1.3777297,2551430,1824865.8719,20.94
15,177.04045,0.0244,0.2207438,2716265,1824648.07928,3.05
16,177.05571,0.039,0.3533787,2712744,1824490.895653,5.1
17,177.0921,0.0282,0.2552462,2356871,1824115.995504,3.58
18,177.84477,1.566,14.1825352,2550656,1816395.900866,219.01
19,177.84491,0.0209,0.1889356,3374670,1816394.548789,2.55
20,177.8465,0.0944,0.8548373,2523565,1816378.298946,12.85
21,178.01457,0.0207,0.187365,2274975,1814663.363393,2.53
22,178.02269,0.0185,0.1672397,2172102,1814580.600224,2.22
23,178.82309,0.0269,0.2435586,2341391,1806458.641257,3.4
24,178.834,0.0416,0.3766216,2267041,1806348.399474,5.46
25,178.84523,0.0346,0.3129692,2576741,1806234.941367,4.47
26,178.99859,0.1205,1.0916122,2459975,1804687.45886,16.52
27,179.03497,0.1926,1.7442161,2492938,1804320.700045,26.61
28,179.07136,0.0281,0.2544401,2071682,1803954.08553,3.57
29,179.84182,1.7315,15.6817198,2544900,1796225.69135,242.2
30,179.84196,0.0266,0.24049,556046,1796224.3197,3.35
31,179.84355,0.0327,0.2963188,2527399,1796208.476798,4.22
32,180.03022,0.0264,0.2386881,2330027,1794345.940543,3.32
33,180.03833,0.0185,0.1678555,2324987,1794265.154407,2.23
34,180.84228,0.0432,0.3910896,2636962,1786288.570949,5.68
35,181.01424,0.3202,2.9001453,2496031,1784591.630142,44.49
36,181.05063,0.0714,0.6464087,2495811,1784232.956401,9.63
37,181.08701,0.0404,0.3655298,2418667,1783874.425713,5.29
38,181.83887,0.6121,5.5435228,2497690,1776498.517978,85.38
39,181.99173,0.0207,0.1874235,2504107,1775006.444397,2.53
40,182.00949,0.0247,0.2238234,2395704,1774833.194404,3.09
41,182.0176,0.0347,0.314704,2276655,1774754.166568,4.5
42,182.02206,0.0188,0.1704547,2563751,1774710.643782,2.27
43,182.83934,0.0195,0.1765745,2636947,1766777.790146,2.36
44,182.99351,0.0289,0.2617388,2535310,1765289.28917,3.68
45,182.99687,0.027,0.2441931,2843893,1765256.834907,3.41
46,183.00656,0.0654,0.5923304,2562721,1765163.356872,8.79
47,183.02989,0.1233,1.1165899,2508377,1764938.402422,16.9
48,183.06627,0.0591,0.5349031,2582586,1764587.618938,7.91
49,183.10266,0.0948,0.8588086,2418574,1764236.950544,12.92
50,183.13905,0.0218,0.1972609,2118699,1763886.404105,2.68
51,183.83592,0.0736,0.6665008,2510743,1757199.946604,9.94
52,184.89944,0.1845,1.6709,2418299,1747092.703575,25.48
53,184.99139,0.0442,0.4004243,2460446,1746224.283656,5.83
54,185.00362,0.0217,0.1964196,1755337,1746108.883607,2.67
55,185.00916,0.0332,0.3005067,2483587,1746056.642248,4.28
56,185.02221,0.064,0.5800169,2452335,1745933.409602,8.6
57,185.04554,0.0842,0.7627554,2436228,1745713.35332,11.43
58,185.08192,0.1247,1.1294515,2451771,1745370.153325,17.1
59,185.11831,0.1192,1.0798799,2497963,1745027.06567,16.34
60,185.1547,0.1484,1.3441094,2363865,1744684.161156,20.42
61,185.87506,0.0414,0.3748623,2537015,1737922.540819,5.43
62,185.89431,0.0423,0.3834639,2674858,1737742.54934,5.56
63,186.85077,0.0943,0.8537158,2541690,1728847.356479,12.84
64,186.85606,0.0969,0.8773627,2486066,1728798.371349,13.2
65,186.89649,0.1306,1.1826589,2517822,1728424.361915,17.93
66,187.01926,0.024,0.2172815,2373063,1727289.70649,2.99
67,187.0248,0.094,0.8514106,2502021,1727238.545009,12.8
68,187.04006,0.0303,0.2746099,2344176,1727097.655443,3.88
69,187.06119,0.0671,0.6080311,2601106,1726902.574165,9.04
70,187.09757,0.1462,1.3244282,2442941,1726566.743197,20.12
71,187.13396,0.0258,0.2332168,2478209,1726231.019144,3.24
72,187.866,0.0461,0.4172497,2696016,1719504.591239,6.09
73,187.8721,0.0242,0.219166,2695215,1719448.704574,3.02
74,187.87358,0.0253,0.2286818,2412669,1719435.23115,3.17
75,187.89135,0.0294,0.2658573,2431164,1719272.532578,3.74
76,188.03532,0.0185,0.167755,2305382,1717956.236001,2.23
77,188.84781,0.1252,1.1342342,2403165,1710564.875965,17.18
78,188.85311,0.0296,0.2681861,2362795,1710516.879231,3.78
79,188.85647,0.0325,0.2941236,2047423,1710486.472914,4.18
80,188.95155,0.0444,0.4023057,2306267,1709625.79047,5.85
81,189.01932,0.054,0.4887259,2583596,1709012.753133,7.19
82,189.04045,0.055,0.4977933,2385570,1708821.724809,7.33
83,189.05571,0.0324,0.2930402,2433831,1708683.833466,4.16
84,189.07684,0.0323,0.292378,2385009,1708492.875217,4.15
85,189.86305,0.0528,0.478319,2380288,1701418.11776,7.03
86,189.8651,0.1071,0.9702256,2428192,1701399.758474,14.64
87,190.00176,0.0274,0.2482313,1710276,1700175.960315,3.47
88,190.02715,0.0209,0.189686,2384364,1699948.82263,2.57
89,190.57826,0.0319,0.2890259,2324827,1695032.928689,4.1
90,190.57836,0.0344,0.3112853,1875490,1695032.043687,4.45
91,190.57846,0.0318,0.2877255,2001654,1695031.112795,4.08
92,190.84486,0.057,0.5162599,2429276,1692665.006386,7.62
93,190.88284,0.0676,0.6122293,2393903,1692328.211386,9.1
94,190.9486,0.0336,0.3046294,2249258,1691745.425351,4.34
95,190.99139,0.1171,1.0601187,2266769,1691366.362909,16.03
96,190.99859,0.0949,0.8596348,2233094,1691302.655587,12.93
97,191.01972,0.0887,0.8037488,2460327,1691115.585147,12.06
98,191.03497,0.114,1.0328647,2433876,1690980.524091,15.61
