,m/z,I,RelInt,S/N,Res.
0,150.05734,1146876,0.0009472297898219564,5.0,932946
1,150.12105,1001728,0.0008273489051115976,4.2,1021064
2,150.14974,980802,0.0008100656673580705,4.0,715248
3,150.16262,978787,0.0008084014351075994,4.0,867304
4,150.19241,1149701,0.0009495630186594654,5.1,1000182
5,150.19672,1137221,0.000939255515688806,5.0,901453
6,150.24203,976648,0.0008066347885647917,4.0,1061768
7,150.30036,989547,0.0008172883527329435,4.1,862572
8,150.38436,1077777,0.0008901594254173413,4.6,1173594
9,150.41485,1212275,0.001001244243890719,5.4,762947
10,150.45029,1092149,0.0009020295722678475,4.7,944805
11,150.45993,1075350,0.0008881549134213645,4.6,763688
12,150.49022,1045016,0.0008631014041976479,4.4,975820
13,150.55039,1022811,0.0008447618125739706,4.3,868502
14,150.56235,985148,0.0008136551231201287,4.1,888420
15,150.59692,1181119,0.0009755118270194156,5.3,922201
16,150.60397,1180607,0.0009750889551026706,5.3,808725
17,150.60693,1131679,0.0009346782575587263,5.0,1023163
18,150.73913,1040488,0.0008593616306839342,4.4,1073274
19,150.74988,1029801,0.0008505350053435947,4.3,902807
20,150.80603,979532,0.000809016746783332,4.0,977534
21,150.81303,1010765,0.0008348127596264895,4.2,826444
22,150.84366,984335,0.0008129836487679536,4.0,773844
23,150.86749,978353,0.000808042985084421,4.0,1081596
24,150.91125,1021844,0.000843963146278087,4.3,872038
25,150.93177,1015605,0.0008388102207144697,4.2,1092747
26,150.97119,1061048,0.0008763425810907258,4.5,1264708
27,150.97483,1067384,0.0008815756210604452,4.6,945368
28,151.0037,1699386,0.0014035597951359826,8.4,879457
29,151.07649,1094079,0.0009036236011727652,4.7,1075962
30,151.0863,978064,0.0008078042937095397,4.0,487176
31,151.09769,992704,0.000819895787578967,4.1,996864
32,151.12302,1023458,0.0008452961839218885,4.3,813140
33,151.12357,1050210,0.0008673912415718149,4.5,757913
34,151.13737,1032579,0.0008528294158606213,4.3,1167014
35,151.15935,1118181,0.0009235299662848513,4.9,819392
36,151.2218,1168073,0.000964736852359542,5.2,1153709
37,151.22804,1071305,0.0008848140600947365,4.6,1147538
38,151.22922,1302666,0.001075900133395597,6.0,730674
39,151.25055,1000971,0.0008267236823753166,4.2,837267
40,151.3066,1042223,0.0008607946048549354,4.4,661611
41,151.39585,1035173,0.0008549718567825677,4.4,778665
42,151.41336,1076247,0.0008888957651973805,4.6,962892
43,151.4751,1159291,0.0009574836078813103,5.1,854188
44,151.53078,1110751,0.0009173933679617743,4.8,735715
45,151.57526,1012194,0.0008359930017534984,4.2,649290
46,151.58286,976867,0.0008068156654198056,4.0,1155438
47,151.58715,1181667,0.0009759644321178068,5.3,949100
48,151.59975,988004,0.0008160139555307219,4.1,1326789
49,151.63527,1021383,0.0008435823963686739,4.3,904364
50,151.64963,1030952,0.0008514856412345586,4.3,1046880
51,151.65117,1125800,0.0009298226638115702,4.9,744401
52,151.65483,1036776,0.0008562958092875329,4.4,939481
53,151.80663,984883,0.0008134362538663446,4.1,1012134
54,151.83082,997493,0.0008238511266596152,4.1,910306
55,151.85127,1102647,0.0009107000984045449,4.8,802036
56,151.85682,1023479,0.0008453135282778488,4.3,730528
57,151.93003,1186044,0.0009795794914529493,5.3,638371
58,151.94268,990237,0.0008178582387144945,4.1,941239
59,151.95135,1014462,0.0008378661921972049,4.2,1054175
60,151.972,1021632,0.0008437880508750596,4.3,856159
61,152.12932,1118124,0.0009234828887472448,4.9,723821
62,152.15348,1039373,0.0008584407279746166,4.4,1123511
63,152.1615,1063886,0.0008786865469104959,4.5,1286752
64,152.16876,1148303,0.0009484083801055406,5.1,906364
65,152.24045,1077140,0.0008896333132865471,4.6,1013011
66,152.26864,1003606,0.0008288999860874709,4.2,765741
67,152.28582,1253720,0.0010354745692608297,5.7,1036293
68,152.42509,1006819,0.0008315536725493884,4.2,992526
