,m/z,I,RelInt,S/N,Res.
0,150.03223,2183996,0.0014658111050610495,11.5,964494
1,150.04663,970845,0.0006515924856515281,4.0,702897
2,150.08486,1059967,0.0007114076214417268,4.6,1050224
3,150.10854,1120225,0.0007518503903702269,4.9,890917
4,150.14962,1013635,0.0006803114289030552,4.3,1240826
5,150.19322,1109638,0.0007447448177550384,4.9,930357
6,150.22742,1117513,0.000750030204015982,4.9,968541
7,150.24323,1031306,0.0006921715000925326,4.4,1093639
8,150.25303,976746,0.0006555530017563952,4.0,952763
9,150.25535,971147,0.0006517951760198843,4.0,769487
10,150.26463,998859,0.0006703943663771248,4.2,946548
11,150.27005,1095756,0.000735427772412255,4.8,1101521
12,150.32765,1068528,0.0007171534235725126,4.6,1000211
13,150.35292,976465,0.0006553644057514014,4.0,1543733
14,150.36534,1040914,0.0006986200069109638,4.4,1461910
15,150.40925,1063797,0.0007139781648549857,4.6,1003979
16,150.44127,1184279,0.000794840883266542,5.3,864280
17,150.45865,988313,0.0006633163113285011,4.1,1270801
18,150.47199,1065465,0.0007150976600020655,4.6,862951
19,150.49128,1059643,0.000711190165549848,4.6,980813
20,150.54322,981822,0.0006589598107291633,4.1,957063
21,150.57428,1044769,0.0007012073293282257,4.5,983511
22,150.71567,1106091,0.0007423642126670934,4.8,1026579
23,150.75387,1064909,0.000714724494953039,4.6,781917
24,150.78107,1148975,0.0007711462449736719,5.1,829599
25,150.79807,1007537,0.0006762186942466446,4.2,1007024
26,150.8934,973431,0.0006533281058255979,4.0,1155646
27,150.90501,1023928,0.0006872196804311685,4.3,1039636
28,150.9665,985789,0.0006616223030843587,4.1,1044349
29,151.00366,1247744,0.0008374360628285465,5.7,743721
30,151.04007,8816898,0.005917550673440133,52.4,697817
31,151.0707,994052,0.0006671680994874287,4.1,1024675
32,151.07646,1130565,0.0007587901864258659,5.0,753102
33,151.08774,4457990,0.002992025282212563,25.5,645498
34,151.16575,1052428,0.0007063477449945835,4.5,817905
35,151.20774,1099791,0.0007381359036583386,4.8,991567
36,151.2162,1046191,0.0007021617190759162,4.5,916215
