,m/z,I,RelInt,S/N,Res.
0,150.03221,2471707,0.0011326259176165606,13.2,839513
1,150.05608,1287836,0.0005901332282667973,5.9,1013663
2,150.07968,1057566,0.0004846151510636477,4.5,661903
3,150.08523,983598,0.0004507203270111763,4.1,608978
4,150.14608,1025826,0.0004700707302948633,4.3,1060581
5,150.23194,1005288,0.00046065947277283144,4.2,976721
6,150.23376,982728,0.0004503216614135443,4.1,511549
7,150.26963,1178859,0.000540196008918347,5.3,1084357
8,150.31728,987246,0.0004523919731033164,4.1,990952
9,150.31843,1015438,0.0004653105714118724,4.3,843288
10,150.36506,1046897,0.0004797262277749848,4.4,884147
11,150.40908,1265236,0.0005797770874547454,5.8,657744
12,150.4161,1025236,0.00046980037086658406,4.3,951468
13,150.42739,1020341,0.00046755730408450476,4.3,933707
14,150.42891,985525,0.0004516033483981155,4.1,1155889
15,150.43557,979606,0.00044889104762525995,4.0,1104153
16,150.44912,1093319,0.0005009984741810499,4.7,607773
17,150.45562,1184439,0.0005427529675790219,5.3,809408
18,150.46658,1058872,0.0004852136076964149,4.5,1029498
19,150.49431,1009754,0.00046270595617400943,4.2,917462
20,150.53459,1198141,0.0005490317216235676,5.4,878924
21,150.6095,1009346,0.00046251899575580955,4.2,1067065
22,150.61088,1118290,0.0005124410933057289,4.9,522110
23,150.63215,977795,0.0004480611816513385,4.0,1013613
24,150.63636,993636,0.0004553201031824762,4.1,862932
25,150.7174,1037673,0.00047549945596744647,4.4,569962
26,150.73876,974619,0.0004466058231018217,4.0,508308
27,150.77553,998734,0.0004576561919373364,4.1,821421
28,150.81107,1080144,0.0004949612106766789,4.6,959150
29,150.84362,1072530,0.0004914721993429195,4.6,1075352
30,150.88918,1058390,0.0004849927377906004,4.5,850810
31,150.9379,1078873,0.0004943787923150808,4.6,1044829
32,150.97299,1054044,0.0004830012427477164,4.5,1087379
33,151.00365,1761630,0.0008072428468466779,8.8,879323
34,151.04005,8205025,0.003759840454265744,48.4,621763
35,151.07645,1003171,0.00045968938648526,4.2,1118078
36,151.08745,1106788,0.0005071704591632413,4.8,1469186
37,151.08772,4203236,0.001926075393021487,23.8,732715
38,151.10999,1007654,0.000461743659903863,4.2,960085
39,151.11356,1016806,0.0004659374386964249,4.3,971259
40,151.11832,1048230,0.0004803370567883682,4.5,869274
41,151.15709,1061529,0.00048643114159630966,4.5,661840
