,m/z,I,RelInt,S/N,Res.
0,150.03235,2722824,0.0037413849784543496,14.7,909337
1,150.05029,1004233,0.001379899053728095,4.2,975494
2,150.05616,1436170,0.0019734161534152718,6.8,1199790
3,150.06332,1049930,0.0014426905045748736,4.5,1001827
4,150.1183,999950,0.001374013858114012,4.2,1031858
5,150.17658,1034834,0.0014219473542152663,4.4,1120072
6,150.1796,988434,0.0013581899233272318,4.1,1278823
7,150.18926,1004531,0.0013803085303316432,4.2,820978
8,150.21825,982293,0.001349751682312503,4.0,918235
9,150.22159,1086677,0.0014931839164895849,4.7,621773
10,150.24055,976375,0.001341619861709154,4.0,981980
11,150.27286,1085881,0.00149209014677004,4.7,1062427
12,150.31103,1007708,0.0013846739906318865,4.2,762721
13,150.3331,1081501,0.0014860716651474196,4.7,785954
14,150.41688,1093539,0.0015026128710316903,4.7,1147602
15,150.44173,989093,0.0013590954437357494,4.1,978481
16,150.4433,975717,0.0013407157153831988,4.0,1070031
17,150.46475,1081575,0.0014861733472570254,4.7,769250
18,150.47564,989352,0.0013594513311193702,4.1,791493
19,150.50522,1012970,0.0013919044130744046,4.2,898139
20,150.51122,992426,0.0013636752609157024,4.1,969405
21,150.52355,985515,0.001354178976328047,4.1,1292889
22,150.53902,981292,0.0013483762256676986,4.0,802771
23,150.54271,977773,0.0013435408291311685,4.0,1015248
24,150.57401,1037423,0.0014255048539689112,4.4,1019609
25,150.6015,1040929,0.001430322387432132,4.4,643777
26,150.6069,1079281,0.0014830212018592422,4.6,583549
27,150.62178,986546,0.0013555956554497186,4.1,817096
28,150.63833,1065172,0.0014636342709885679,4.6,1042704
29,150.7562,1135485,0.0015602501381874983,5.0,890942
30,150.77111,1052094,0.0014456640192395654,4.5,1150744
31,150.82262,1166594,0.0016029964726162885,5.2,809771
32,150.84235,984611,0.0013529368056917803,4.1,712215
33,150.84701,1030051,0.0014153751173200623,4.3,762505
34,150.94768,1074315,0.0014761975078551477,4.6,892753
35,150.95942,1005020,0.0013809804567045797,4.2,782356
36,150.98064,1064686,0.0014629664668633184,4.5,865750
37,150.99627,976783,0.0013421804873945489,4.0,957645
38,151.04017,3954130,0.005433301081838451,22.3,828825
39,151.05142,1124627,0.0015453303497266735,4.9,1325563
40,151.06966,1000853,0.0013752546546677168,4.2,1023374
41,151.0878,1424278,0.0019570755635850883,6.8,1104391
42,151.08986,999830,0.0013738489682065431,4.1,1211292
43,151.11232,987768,0.0013572747843407784,4.1,839583
44,151.18042,991485,0.0013623822492246326,4.1,876765
45,151.19403,1234910,0.0016968682969384216,5.6,1037154
46,151.20033,1147167,0.0015763021706796108,5.1,718148
47,151.20227,998079,0.0013714429496400572,4.1,819949
48,151.21216,1069312,0.0014693229727962504,4.6,803529
49,151.21549,1030688,0.0014162504079122107,4.3,991101
50,151.21776,1008864,0.0013862624300738384,4.2,912201
51,151.23499,1018786,0.001399896077256405,4.3,1071514
52,151.27209,1069957,0.0014702092560488964,4.6,876014
53,151.31289,1073320,0.0014748302957057167,4.6,766774
54,151.324,1014057,0.0013933980408195618,4.2,875162
55,151.37813,1130573,0.001553500644641765,5.0,730819
56,151.38258,1026029,0.0014098485572547246,4.3,707332
57,151.42213,1023761,0.0014067321380035593,4.3,976952
58,151.42934,1018449,0.001399433011432929,4.3,745308
59,151.4347,1042450,0.0014324123670093024,4.4,552040
60,151.4399,1036946,0.0014248494165867217,4.4,854891
61,151.45712,1328819,0.0018259070162760173,6.2,873743
62,151.46756,1013300,0.0013923578603199445,4.2,793967
63,151.47308,1017205,0.0013977236527255,4.3,905000
64,151.48565,1060982,0.0014578768650527734,4.5,755406
65,151.49265,1024662,0.0014079701863921395,4.3,780570
66,151.5175,1116568,0.0015342566183575643,4.9,808763
67,151.5297,988729,0.0013585952776830933,4.1,886525
68,151.55287,1019003,0.0014001942531724114,4.3,1065770
69,151.55322,1023227,0.001405998377915322,4.3,831864
70,151.5576,1022140,0.001404504750170165,4.3,1209071
71,151.58107,976702,0.0013420691867070073,4.0,483619
72,151.58154,1141438,0.001568430051680526,5.0,879635
73,151.5818,1082366,0.001487260246563759,4.7,1263966
74,151.6043,1053663,0.0014478199547797233,4.5,761647
75,151.61433,994304,0.0013662557879675931,4.1,1073098
76,151.65615,1151364,0.0015820691951933413,5.1,776772
77,151.81173,1014769,0.0013943763876038782,4.2,834691
78,151.81851,1118385,0.001536753326373158,4.9,725857
79,151.82318,1020114,0.0014017208588990623,4.3,1039137
80,151.84039,1075027,0.001477175854639464,4.6,1088738
81,151.86898,977558,0.0013432454013802865,4.0,1027105
82,151.87237,994902,0.0013670774893398139,4.1,883267
83,151.97444,1009822,0.0013875788011684664,4.2,707660
84,152.00944,1019521,0.001400906027939653,4.3,695056
85,152.00999,1040962,0.001430367732156686,4.4,957722
86,152.01161,2578082,0.0035424975202303,13.8,771869
87,152.05075,1037381,0.001425447142501297,4.4,847166
88,152.06119,1187302,0.0016314509743151986,5.3,1070762
89,152.0718,1728679,0.002375347669614153,8.6,928481
90,152.23277,1202037,0.0016516980808698363,5.4,1003685
91,152.24559,988214,0.0013578876251635385,4.1,969300
92,152.24599,1182166,0.0016243936862755232,5.3,893041
93,152.28723,990234,0.0013606632719392678,4.1,981655
94,152.31559,1020412,0.0014021303355026104,4.3,1063316
95,152.39891,1183652,0.0016264355729630148,5.3,851627
