,m/z,I,RelInt,S/N,Res.
0,150.03224,23260018,0.018123821629991915,140.9,819578
1,150.04213,3195891,0.0024901854518296802,17.6,939701
2,150.05087,979923,0.000763539807369305,4.0,722356
3,150.05608,3898228,0.0030374348353917925,22.0,811474
4,150.06651,1044596,0.000813931940181776,4.4,1117151
5,150.06729,1384372,0.0010786797842355568,6.5,1078780
6,150.09053,989174,0.0007707480336870601,4.1,1193099
7,150.10089,1205847,0.0009395760545439329,5.4,892370
8,150.14921,1118970,0.0008718829318752914,4.9,551160
9,150.15001,1056218,0.000822987610516329,4.5,934356
10,150.15349,1088218,0.0008479214816835715,4.7,735153
11,150.17585,997244,0.0007770360443220489,4.1,972778
12,150.19342,1023421,0.0007974327301203274,4.3,904122
13,150.2214,1013407,0.0007896299868119283,4.2,741083
14,150.23964,1027201,0.0008003780436519579,4.3,917239
15,150.24019,1014337,0.0007903546274427264,4.2,1149191
16,150.26576,1042723,0.0008124725295350184,4.4,781448
17,150.26986,1119427,0.0008722390187228987,4.9,1120146
18,150.29416,1040133,0.0008104544443374198,4.4,1050874
19,150.29631,1000357,0.0007794616424765373,4.2,801667
20,150.31653,1015878,0.000791555349176124,4.3,852961
21,150.37742,1056011,0.0008228263195372158,4.5,994212
22,150.42809,1020174,0.0007949027213803262,4.3,1113219
23,150.47884,1046290,0.000815251876986692,4.4,1158183
24,150.4804,1013586,0.0007897694606537702,4.2,830944
25,150.49291,1037171,0.0008081465028875019,4.4,738598
26,150.51634,1011157,0.0007878768239954817,4.2,1202872
27,150.52349,994069,0.0007745621367921742,4.1,851697
28,150.52507,1014262,0.0007902961886821782,4.2,859718
29,150.543,1220887,0.0009512949739925369,5.5,1036098
30,150.6117,982044,0.0007651924555176088,4.0,749685
31,150.62247,983133,0.000766040986320769,4.1,1159643
32,150.6334,974974,0.0007596836283565962,4.0,778822
33,150.63417,1032286,0.0008043401916171276,4.4,911050
34,150.73644,1032102,0.0008041968218579159,4.4,1088909
35,150.79451,1000362,0.0007794655383939072,4.2,1106833
36,150.80153,975979,0.0007604667077479424,4.0,838317
37,150.83952,1083630,0.000844346587904968,4.7,1049953
38,150.84718,1065774,0.0008304334877936467,4.6,1032016
39,150.90909,1150995,0.0008968362826293834,5.1,785098
40,151.00368,14938554,0.011639874401902967,89.8,833619
41,151.04007,36151228,0.028168439421550295,220.1,803490
42,151.05132,2626238,0.002046321248328643,14.1,840699
43,151.07645,2204736,0.001717893855680673,11.6,924643
