,m/z,I,RelInt,S/N,Res.
0,150.00204,1067906,0.001144654922740155,4.6,809030
1,150.08013,1045415,0.0011205475257713684,4.5,742499
2,150.0923,1047400,0.0011226751849676268,4.5,679215
3,150.09695,1000616,0.0010725288837899244,4.2,849393
4,150.14875,1009612,0.0010821714138299938,4.3,985869
5,150.1971,1025583,0.0010992902274438165,4.4,1015253
6,150.21003,980848,0.0010513401850535866,4.1,585643
7,150.2323,988337,0.0010593674090942804,4.1,1069745
8,150.23602,975889,0.001046024788603086,4.0,853765
9,150.26762,982611,0.00105322988941782,4.1,898638
10,150.28183,1024308,0.0010979235949625929,4.3,1534463
11,150.3083,1087926,0.0011661137323668992,4.7,837113
12,150.31583,969799,0.001039497108751594,4.0,619120
13,150.31817,993783,0.0010652048055591779,4.2,1391129
14,150.41023,1011901,0.0010846249210845202,4.3,1122015
15,150.43718,1072639,0.00114972807688418,4.6,1186751
16,150.48868,989138,0.0010602259758530725,4.1,636510
17,150.50142,973795,0.0010437802957280408,4.0,944109
18,150.5253,1161413,0.0012448821411101835,5.2,1106075
19,150.55916,1174151,0.001258535603499068,5.3,646599
20,150.58063,1106888,0.001186438505001381,4.9,933491
21,150.58908,1084521,0.0011624640197405724,4.7,856623
22,150.61666,1019467,0.0010927346790083935,4.3,1069009
23,150.62745,1150380,0.0012330562147059943,5.1,913478
24,150.65338,1015309,0.0010882778493166852,4.3,794888
25,150.66652,1005870,0.0010781604814811788,4.2,656763
26,150.72796,974098,0.0010441050719176964,4.0,838392
27,150.76416,1166485,0.0012503186587139222,5.2,1084393
28,150.78594,1049494,0.0011249196778426718,4.5,1181924
29,150.82887,992953,0.0010643151546106165,4.1,948922
30,150.84589,1032187,0.0011063688477622492,4.4,728356
31,150.86664,1270748,0.0013620748958824151,5.9,987197
32,150.874,1012861,0.0010856539149527358,4.3,903222
33,150.8901,1001150,0.0010731012616291191,4.2,752863
34,150.90399,1005407,0.0010776642063134874,4.2,1054041
35,150.9458,1139490,0.0012213835655134246,5.1,1076244
36,151.00372,2423462,0.0025976328519305087,13.0,655772
37,151.04015,7861033,0.008425994536291405,46.6,554688
38,151.04667,1048041,0.0011233622527483831,4.5,1105224
39,151.06833,990186,0.001061349294159208,4.1,894170
40,151.07147,1188779,0.0012742148975660019,5.4,1019467
41,151.08909,996428,0.0010680398980398341,4.2,1022406
42,151.14798,1097840,0.0011767402377934498,4.8,993211
43,151.21358,1032949,0.001107185611645145,4.4,630814
44,151.215,976309,0.0010464749734204301,4.0,1251308
45,151.22867,1083926,0.0011618262579160012,4.7,673104
46,151.24181,1033655,0.0011079423508857287,4.4,1054133
47,151.29016,989242,0.001060337450188796,4.1,668830
48,151.32399,976029,0.0010461748502088675,4.0,1040758
49,151.33193,1113918,0.001193973741348834,4.9,1061633
50,151.42717,992932,0.0010642926453697495,4.1,915555
51,151.45417,1012807,0.0010855960340476485,4.3,839858
52,151.4582,971591,0.0010414178973055961,4.0,1282694
53,151.50053,976970,0.0010471834785734412,4.1,1057751
54,151.53217,1020428,0.001093764744745222,4.3,923494
55,151.53494,1248877,0.001338632057453518,5.7,743944
56,151.55302,1009102,0.0010816247608375043,4.2,963947
57,151.55513,1225486,0.0013135599787332795,5.6,795587
58,151.57102,1065711,0.001142302171135225,4.6,771753
59,151.62345,1085075,0.0011630578349520217,4.7,871123
60,151.64248,1145557,0.0012278865923868241,5.1,970231
61,151.70379,1014713,0.0010876390156235015,4.3,1038081
62,151.7232,1216475,0.0013039013706640191,5.5,886784
63,151.79077,1040160,0.0011149148562115013,4.4,751254
64,151.80648,989537,0.0010606536514295498,4.1,936408
65,151.82482,1089731,0.001168048455212867,4.7,936027
66,151.83135,1066595,0.0011432497029888733,4.6,1046073
67,151.83505,1002147,0.0010741699146360056,4.2,940880
68,151.8403,1115620,0.0011957980617276912,4.9,1075187
69,151.90869,1000809,0.0010727357544321801,4.2,1059064
70,151.94061,970156,0.0010398797658463365,4.0,1153248
71,151.97164,1141358,0.001223385816081994,5.1,1080892
72,152.01161,3897073,0.004177150230196052,22.1,770932
73,152.05129,996852,0.0010684943703316294,4.2,1226077
74,152.09004,1025591,0.0010992988023927183,4.4,880519
75,152.16945,1103550,0.0011828606075721065,4.8,845628
76,152.19847,983680,0.0010543757169648223,4.1,669976
77,152.24633,1083332,0.001161189567960043,4.7,1019781
78,152.26213,1172293,0.0012565440716166259,5.3,769230
79,152.27674,990022,0.0010611735077067212,4.1,970545
80,152.29417,1028072,0.0011019581084208878,4.4,764526
81,152.29588,1021352,0.0010947551513433792,4.3,897915
82,152.31634,1011593,0.0010842947855518009,4.3,1075058
83,152.3198,1010186,0.0010827866664136977,4.3,1114696
84,152.42065,995954,0.001067531832317403,4.2,843116
85,152.43837,971187,0.0010409848623860554,4.0,915081
86,152.45025,1028788,0.0011027255663475985,4.4,830391
87,152.48351,1027991,0.0011018712870632572,4.4,800960
88,152.51327,1004121,0.0010762857832775237,4.2,1249460
89,152.5145,1147130,0.0012295726417146397,5.1,844363
90,152.52724,1015499,0.0010884815043531028,4.3,616220
91,152.62199,1338850,0.0014350712921461781,6.3,853093
92,152.628,969507,0.0010391841231166784,4.0,920694
93,152.65475,1004421,0.0010766073438613411,4.2,960641
94,152.65734,1171301,0.0012554807779528033,5.3,878754
95,152.69937,1076329,0.0011536832720651334,4.7,1174733
96,152.74011,1073164,0.0011502908079058605,4.6,940625
97,152.74642,1024845,0.0010984991884076258,4.3,645002
98,152.76362,1060718,0.0011369503311518914,4.6,645962
99,152.78586,1015216,0.0010881781655357019,4.3,1071482
100,152.78807,1171056,0.0012552181701426857,5.3,883794
101,152.82127,972915,0.0010428370513488434,4.0,913941
102,152.92656,1196476,0.001282465070278142,5.4,966251
103,152.93359,1017885,0.0010910389828630634,4.3,819816
104,152.95501,1043967,0.0011189954600201435,4.5,1085419
105,152.96329,1053247,0.0011289424007462268,4.5,1067873
106,152.96912,1028960,0.0011029099277489872,4.4,927580
107,153.00503,999299,0.0010711172328269662,4.2,1071747
108,153.01938,10225604,0.010960503973749956,61.2,511571
