,m/z,I,I %,Res.,S/N
0,202.23127,4938749,0.1,1078422,4.1
1,202.62868,4903280,0.1,1300715,4.0
2,203.15333,5063004,0.1,1018483,4.2
3,203.2242,5184757,0.1,1056692,4.4
4,203.89077,5244506,0.1,867227,4.5
5,204.26727,5505896,0.1,1154305,4.8
6,204.309,5427872,0.1,1174141,4.7
7,204.31603,5230286,0.1,1338763,4.5
8,204.33112,4909584,0.1,1353142,4.0
9,204.34938,5452809,0.1,1155723,4.8
10,204.40021,5240387,0.1,1120901,4.5
11,204.46161,5178902,0.1,1442318,4.4
12,204.53908,5183568,0.1,1306888,4.4
13,204.59136,4964742,0.1,1062207,4.1
14,204.61469,4969966,0.1,1045097,4.1
15,204.63593,5657265,0.1,829353,5.0
16,204.67143,5042220,0.1,953774,4.2
17,204.77678,5118577,0.1,776963,4.3
18,204.77924,5288587,0.1,1164720,4.5
19,204.84982,5081052,0.1,756927,4.3
20,204.86851,5200911,0.1,1082288,4.4
21,204.89195,4951258,0.1,429642,4.1
22,204.92135,5340657,0.1,1082325,4.6
23,204.98163,5187753,0.1,852725,4.4
24,205.10573,6227256,0.1,913708,5.8
25,205.1253,5123425,0.1,1176275,4.3
26,205.15978,91560028,1.0,968883,119.8
27,205.17007,5037457,0.1,1011251,4.2
28,205.2411,5598031,0.1,1041563,5.0
29,205.26873,5253690,0.1,1119591,4.5
30,205.34712,5607179,0.1,1066875,5.0
31,205.35839,5599602,0.1,1122628,5.0
32,205.47808,5102837,0.1,1281356,4.3
33,205.55803,5379209,0.1,678555,4.7
34,205.58951,5239772,0.1,1166896,4.5
35,205.60075,4910413,0.1,798742,4.0
36,205.6466,5292749,0.1,904963,4.5
37,205.78235,5148505,0.1,933126,4.3
38,205.78576,5024919,0.1,585756,4.2
39,205.85945,6280405,0.1,934532,5.9
40,205.86915,5491059,0.1,1253939,4.8
41,205.9073,5124104,0.1,1296480,4.3
42,205.94495,6624334,0.1,773244,6.3
43,206.01864,5220687,0.1,1270998,4.4
44,206.03267,4933354,0.1,1199398,4.1
45,206.04685,6016532,0.1,1098183,5.5
46,206.11737,5035347,0.1,1072927,4.2
47,206.13787,5632679,0.1,965970,5.0
48,206.1452,5048559,0.1,712109,4.2
49,206.16313,16009156,0.2,1081370,18.9
50,206.18237,5141607,0.1,675086,4.3
51,206.20567,5004492,0.1,736089,4.2
52,206.23307,5057063,0.1,1021096,4.2
53,206.25738,5156413,0.1,1562618,4.4
54,206.27983,5870929,0.1,801099,5.3
55,206.28209,5470881,0.1,1138252,4.8
56,206.30362,5899139,0.1,798014,5.4
57,206.33546,5397204,0.1,1020642,4.7
58,206.33731,4941529,0.1,1079947,4.1
59,206.34363,5437201,0.1,761843,4.7
60,206.35644,5285200,0.1,698630,4.5
61,206.3697,5316243,0.1,1424133,4.6
62,206.37508,5555326,0.1,1147021,4.9
63,206.37551,4925836,0.1,534270,4.1
64,206.40577,6134821,0.1,953561,5.7
65,206.4159,5114219,0.1,962825,4.3
66,206.42414,5208598,0.1,929480,4.4
67,206.44164,5376788,0.1,627257,4.7
68,206.47665,5452339,0.1,1307143,4.8
69,206.48797,5872129,0.1,1054392,5.3
70,206.49942,5668935,0.1,1320316,5.0
71,206.51896,5844147,0.1,1295119,5.3
72,206.53573,5027990,0.1,859329,4.2
73,206.54288,5025834,0.1,1096859,4.2
74,206.54767,5757870,0.1,992989,5.2
75,206.59562,5602946,0.1,1305425,5.0
76,206.59605,5149938,0.1,1255433,4.4
77,206.61057,4967700,0.1,1189702,4.1
78,206.61762,4967864,0.1,633401,4.1
79,206.63387,4991896,0.1,1425990,4.1
80,206.68923,5136979,0.1,908585,4.3
81,206.70615,5769775,0.1,832942,5.2
82,206.72241,6207623,0.1,1154079,5.8
83,206.72403,4897259,0.1,522609,4.0
84,206.73234,4901940,0.1,798129,4.0
85,206.75142,5404214,0.1,842521,4.7
86,206.76031,5441050,0.1,967617,4.7
87,206.76335,5430599,0.1,785944,4.7
88,206.77,5160056,0.1,1179205,4.4
89,206.7719,5678866,0.1,1000556,5.1
90,206.82509,6404381,0.1,933113,6.0
91,206.84172,4932291,0.1,820414,4.1
92,206.84491,5021773,0.1,1340332,4.2
93,206.85853,5799283,0.1,953302,5.2
94,206.86052,5213949,0.1,1384952,4.4
95,206.86639,5271404,0.1,1123896,4.5
96,206.86791,5007757,0.1,1133214,4.2
97,206.89553,5404501,0.1,1234967,4.7
98,206.89688,5342619,0.1,653720,4.6
99,206.90649,4977738,0.1,1299382,4.1
100,206.92279,4972061,0.1,1241634,4.1
101,206.95713,5738186,0.1,957002,5.1
102,206.96308,5128092,0.1,1436027,4.3
103,206.97678,5499424,0.1,1061270,4.8
104,207.00811,5002277,0.1,1129764,4.2
105,207.01019,4908215,0.1,1014519,4.0
106,207.02169,4969855,0.1,1145076,4.1
107,207.08576,4907507,0.1,1234847,4.0
108,207.10259,5977846,0.1,587977,5.5
109,207.1102,5202293,0.1,999713,4.4
110,207.11944,4936297,0.1,1134048,4.1
111,207.13903,15634241,0.2,1000341,18.4
112,207.14346,5020867,0.1,1166563,4.2
113,207.1469,5764465,0.1,910615,5.2
114,207.15261,5636475,0.1,915308,5.0
115,207.25226,6030123,0.1,976054,5.5
116,207.25324,4956373,0.1,1100488,4.1
117,207.29528,5575452,0.1,1198701,4.9
118,207.30128,5597117,0.1,1215559,4.9
119,207.31851,5499182,0.1,825825,4.8
120,207.33399,5060786,0.1,726106,4.2
121,207.339,5129444,0.1,848665,4.3
122,207.34095,4960980,0.1,929195,4.1
123,207.35026,5456675,0.1,1372296,4.8
124,207.35436,5198753,0.1,925714,4.4
125,207.36685,5219621,0.1,907006,4.4
126,207.38609,5525594,0.1,1211149,4.9
127,207.40854,5838615,0.1,1100600,5.3
128,207.41218,5563787,0.1,1088905,4.9
129,207.41308,5014000,0.1,885566,4.2
130,207.41911,5731730,0.1,867516,5.1
131,207.43383,6404746,0.1,754101,6.0
132,207.43462,5063649,0.1,982144,4.2
133,207.43931,6065106,0.1,1225823,5.6
134,207.45133,6091900,0.1,966792,5.6
135,207.4872,5090510,0.1,687119,4.3
136,207.51415,5020128,0.1,1393201,4.2
137,207.52434,5314824,0.1,998787,4.6
138,207.53037,5042366,0.1,1362703,4.2
139,207.55685,5361527,0.1,1057724,4.6
140,207.56282,6153285,0.1,1141155,5.7
141,207.57507,5338508,0.1,928336,4.6
142,207.5766,6006621,0.1,1067117,5.5
143,207.58627,5075102,0.1,1327930,4.3
144,207.61821,5031931,0.1,878392,4.2
145,207.63092,5156982,0.1,1187488,4.4
146,207.63651,5620703,0.1,1117253,5.0
147,207.64364,6687384,0.1,827521,6.4
148,207.67176,4960248,0.1,1192301,4.1
149,207.70126,5064654,0.1,444855,4.2
150,207.70369,5505886,0.1,1384764,4.8
151,207.70394,4908856,0.1,1481871,4.0
152,207.7069,5814667,0.1,857280,5.2
153,207.7265,5156642,0.1,1148462,4.4
154,207.74354,5265826,0.1,1078791,4.5
155,207.7741,5208478,0.1,981630,4.4
156,207.81526,5248809,0.1,1092286,4.5
157,207.81603,5015082,0.1,1143956,4.2
158,207.82909,5084281,0.1,1078896,4.3
159,207.82999,4969802,0.1,493880,4.1
