,m/z,I,I %,Res.,S/N
0,202.84056,5318762,0.9,1112176,4.4
1,202.99852,6080115,1.1,937564,5.4
2,203.03482,9667404,1.7,1247637,10.1
3,203.33096,5198761,0.9,1221133,4.3
4,203.50417,5516824,1.0,968844,4.7
5,203.74775,5077408,0.9,795356,4.1
6,204.00464,5209100,0.9,889765,4.3
7,204.0084,5509030,1.0,867526,4.7
8,204.12382,5335863,0.9,1121840,4.4
9,204.23849,5661542,1.0,975205,4.9
10,204.24387,5024425,0.9,1329473,4.0
11,204.4441,5049600,0.9,1313322,4.1
12,204.5662,5052573,0.9,409670,4.1
13,204.62569,5454518,0.9,1157952,4.6
14,204.64148,5029858,0.9,1243255,4.0
15,204.65336,5005030,0.9,1042639,4.0
16,204.98117,4998536,0.9,1208125,4.0
17,205.01364,5179664,0.9,1398607,4.2
18,205.01413,23986107,4.2,936708,28.7
19,205.02542,5115901,0.9,923360,4.2
20,205.08698,9177105,1.6,1055992,9.4
21,205.09379,5816051,1.0,917226,5.1
22,205.0968,5051908,0.9,1327887,4.1
23,205.10805,5182477,0.9,989903,4.2
24,205.11509,5225047,0.9,795324,4.3
25,205.12342,5585222,1.0,1306158,4.8
26,205.1727,5027328,0.9,1001656,4.0
27,205.45555,5297434,0.9,1097984,4.4
28,205.47484,5710833,1.0,1038713,4.9
29,205.49928,5167877,0.9,977896,4.2
30,205.50527,5442044,0.9,726349,4.6
31,205.57524,5624986,1.0,762139,4.8
32,205.61553,5172619,0.9,1533997,4.2
33,205.64168,5766724,1.0,1049204,5.0
34,205.66099,4995568,0.9,1260902,4.0
35,205.67079,5007510,0.9,977436,4.0
36,205.73953,5468983,0.9,1114925,4.6
37,205.77342,5283302,0.9,1070001,4.4
38,205.88418,5126046,0.9,839096,4.2
39,205.92281,5259935,0.9,1083242,4.3
40,205.92728,6798751,1.2,1070868,6.3
41,205.95935,5910883,1.0,1063472,5.2
42,206.00923,5072991,0.9,393746,4.1
43,206.01518,5476574,0.9,1135607,4.6
44,206.0174,7028287,1.2,934717,6.6
45,206.02191,5389943,0.9,1181461,4.5
46,206.05382,5654901,1.0,853330,4.9
47,206.08491,5657091,1.0,840087,4.9
48,206.10322,5719163,1.0,1132139,4.9
49,206.11611,6318725,1.1,743314,5.7
50,206.12083,5192244,0.9,1216559,4.3
51,206.13201,5210218,0.9,1113221,4.3
52,206.13659,5160616,0.9,1127832,4.2
53,206.13994,5307666,0.9,1134636,4.4
54,206.15374,5112933,0.9,1163123,4.2
55,206.17847,7722205,1.3,738321,7.6
56,206.22617,5220277,0.9,867265,4.3
57,206.24864,5627903,1.0,1010523,4.8
58,206.25566,5036174,0.9,580326,4.1
59,206.25884,5347885,0.9,1221586,4.5
60,206.29218,5202961,0.9,1461262,4.3
61,206.30059,5961752,1.0,910443,5.3
62,206.31043,5111194,0.9,1198325,4.2
63,206.32359,5468216,0.9,1023087,4.6
64,206.32483,5151837,0.9,1103813,4.2
65,206.35842,6695518,1.2,1053214,6.2
66,206.43863,5309098,0.9,1045472,4.4
67,206.44702,5527737,1.0,1170860,4.7
68,206.46438,6169472,1.1,768949,5.5
69,206.52374,5209947,0.9,1306777,4.3
70,206.5452,5794525,1.0,940791,5.0
71,206.57592,5309213,0.9,680606,4.4
72,206.58091,5109696,0.9,1191364,4.1
73,206.59091,5372528,0.9,1297226,4.5
74,206.6043,5219933,0.9,1381376,4.3
75,206.63787,5467587,0.9,818739,4.6
76,206.64985,5182515,0.9,1638531,4.2
77,206.6772,5440448,0.9,458628,4.6
78,206.68962,5207548,0.9,1060903,4.3
79,206.76251,5981221,1.0,1024723,5.3
80,206.77341,5062007,0.9,1141084,4.1
81,206.77565,5542557,1.0,853733,4.7
82,206.77722,5271011,0.9,952406,4.4
83,206.79559,5312373,0.9,973199,4.4
84,206.80205,5140397,0.9,1123100,4.2
85,206.80742,5091166,0.9,1168696,4.1
86,206.81133,5031100,0.9,521898,4.0
87,206.81871,5248857,0.9,1009140,4.3
88,206.86,5113934,0.9,1292914,4.2
89,206.87604,5234756,0.9,886787,4.3
90,206.88397,5422817,0.9,988539,4.6
91,206.914,5591961,1.0,1103156,4.8
92,206.93301,5160944,0.9,948651,4.2
93,206.93545,5057501,0.9,1244724,4.1
94,206.97882,6429733,1.1,1022155,5.9
95,206.99342,33337448,5.8,903138,40.9
96,206.99927,5636728,1.0,933597,4.8
97,207.01877,6782423,1.2,1180399,6.3
98,207.02978,32384977,5.6,746666,39.7
99,207.06568,5886060,1.0,1391304,5.2
100,207.06616,22208278,3.8,905563,26.4
101,207.10252,12960898,2.2,1058320,14.4
102,207.12016,5041405,0.9,1093924,4.1
103,207.13887,5446635,0.9,1050598,4.6
104,207.14306,5144376,0.9,1034532,4.2
105,207.17876,5209908,0.9,1188772,4.3
106,207.18556,5112593,0.9,797936,4.2
107,207.18833,5609553,1.0,1161975,4.8
108,207.19305,5828055,1.0,1197070,5.1
109,207.21924,5013287,0.9,1198817,4.0
110,207.22228,5518943,1.0,1026647,4.7
111,207.23104,5987646,1.0,633872,5.3
112,207.23326,5493674,1.0,1380927,4.6
113,207.26257,5591822,1.0,934706,4.8
114,207.29264,5660643,1.0,768867,4.9
115,207.30618,5516489,1.0,1369724,4.7
116,207.31541,5460034,0.9,428773,4.6
117,207.35306,5562474,1.0,1358156,4.7
118,207.36017,5266260,0.9,1600487,4.4
119,207.42473,5284397,0.9,828799,4.4
120,207.4349,5592436,1.0,769160,4.8
121,207.44123,5285955,0.9,1383208,4.4
122,207.44818,5262263,0.9,1202634,4.3
123,207.45747,5876566,1.0,1062751,5.1
124,207.46198,5047373,0.9,779771,4.1
125,207.46681,5572472,1.0,1289752,4.8
126,207.4697,5131828,0.9,959978,4.2
127,207.48093,5605177,1.0,999614,4.8
128,207.50728,5450479,0.9,663675,4.6
129,207.51215,5284610,0.9,935367,4.4
130,207.51692,5424123,0.9,1028318,4.6
131,207.52196,5450696,0.9,732793,4.6
132,207.56084,7635842,1.3,940455,7.4
133,207.56802,5187035,0.9,1114145,4.3
134,207.58539,5032946,0.9,852765,4.0
135,207.59726,5872302,1.0,1117752,5.1
136,207.60311,5110794,0.9,1301503,4.2
