,m/z,I,I %,Res.,S/N
0,202.34093,5084694,0.5,856982,4.1
1,202.59915,5101695,0.5,1287800,4.2
2,202.99849,9378933,0.9,1134702,9.7
3,203.1077,7640171,0.8,1166801,7.5
4,203.40737,7710915,0.8,1251326,7.6
5,203.46036,5434991,0.5,920032,4.6
6,203.57367,5181769,0.5,1066337,4.3
7,203.59716,4995147,0.5,1191094,4.0
8,203.72336,5613422,0.6,1065959,4.8
9,203.82035,4996734,0.5,1396215,4.0
10,204.00245,5003975,0.5,1227396,4.0
11,204.00629,5135565,0.5,1460062,4.2
12,204.12804,5494023,0.5,739799,4.7
13,204.21542,5044825,0.5,997503,4.1
14,204.58522,5170386,0.5,1237819,4.2
15,204.61511,5406129,0.5,819231,4.6
16,204.6521,5286575,0.5,911679,4.4
17,204.6548,5154176,0.5,1294704,4.2
18,204.82362,5171071,0.5,1024123,4.2
19,204.86299,5565521,0.5,607108,4.8
20,205.00279,5163200,0.5,1011330,4.2
21,205.01418,28349950,2.8,1032704,34.6
22,205.08695,14734590,1.5,1042331,16.7
23,205.12635,5227697,0.5,1310102,4.3
24,205.15969,10264159,1.0,702667,10.9
25,205.19645,5050488,0.5,901172,4.1
26,205.21627,5946212,0.6,1091587,5.3
27,205.25359,5327037,0.5,1070992,4.4
28,205.29242,5048383,0.5,823218,4.1
29,205.30259,5239888,0.5,1124744,4.3
30,205.3293,5250297,0.5,594036,4.3
31,205.37833,5352148,0.5,1016938,4.5
32,205.40664,5014401,0.5,768697,4.0
33,205.41922,5504100,0.5,1378735,4.7
34,205.49134,5013067,0.5,1117966,4.0
35,205.50705,5106273,0.5,1198921,4.2
36,205.54451,5124860,0.5,969498,4.2
37,205.56014,5019183,0.5,1067518,4.0
38,205.56082,5419661,0.5,1075456,4.6
39,205.57502,5556348,0.5,907232,4.7
40,205.57793,5516637,0.5,1196141,4.7
41,205.60364,5508625,0.5,1260718,4.7
42,205.75179,5560101,0.5,1087617,4.8
43,205.76372,5290074,0.5,899212,4.4
44,205.76407,5197092,0.5,1376152,4.3
45,205.792,5804285,0.6,1072859,5.1
46,205.82381,5052859,0.5,1043321,4.1
47,205.83002,5103632,0.5,1074918,4.2
48,205.84797,5089070,0.5,1104722,4.1
49,205.84825,5429353,0.5,1160035,4.6
50,205.87047,5343614,0.5,753968,4.5
51,205.87623,5540785,0.5,1120527,4.7
52,205.91573,5092357,0.5,1239242,4.1
53,205.99757,5194447,0.5,1314985,4.3
54,206.00416,6002878,0.6,799151,5.3
55,206.00937,5558683,0.5,764237,4.8
56,206.02192,8736229,0.9,1145756,8.9
57,206.02998,5543505,0.5,1072855,4.7
58,206.10505,5890726,0.6,1006328,5.2
59,206.11164,5668328,0.6,731474,4.9
60,206.19295,5689412,0.6,1359816,4.9
61,206.19411,5093721,0.5,1328840,4.1
62,206.20636,5604729,0.6,940507,4.8
63,206.23041,5660472,0.6,1119846,4.9
64,206.25834,5513785,0.5,1101049,4.7
65,206.26169,4987767,0.5,1129353,4.0
66,206.26205,5039519,0.5,1114944,4.1
67,206.27336,4983329,0.5,1127811,4.0
68,206.27649,5593288,0.6,1112601,4.8
69,206.29482,5444361,0.5,1373620,4.6
70,206.29907,5206922,0.5,1144440,4.3
71,206.30723,5310743,0.5,751580,4.4
72,206.31848,5519125,0.5,1193556,4.7
73,206.48394,5278330,0.5,1041757,4.4
74,206.49451,5230819,0.5,620191,4.3
75,206.50853,5034190,0.5,1035224,4.1
76,206.526,5950975,0.6,920075,5.3
77,206.52748,5023885,0.5,1351980,4.1
78,206.53402,5123085,0.5,1134017,4.2
79,206.56679,5232044,0.5,968412,4.3
80,206.57627,5514332,0.5,1031230,4.7
81,206.58956,5350478,0.5,654125,4.5
82,206.60842,5408354,0.5,1288216,4.6
83,206.61941,5163696,0.5,1159122,4.2
84,206.62032,5347202,0.5,1007694,4.5
85,206.62634,5087406,0.5,1198993,4.1
86,206.62777,5019350,0.5,827058,4.0
87,206.64362,5990979,0.6,800414,5.3
88,206.72426,5072195,0.5,972653,4.1
89,206.74779,5014966,0.5,749860,4.0
90,206.7747,5596620,0.6,768566,4.8
91,206.79459,5108144,0.5,508695,4.2
92,206.81363,5049593,0.5,945584,4.1
93,206.83684,5202701,0.5,1305847,4.3
94,206.84652,5438201,0.5,1127487,4.6
95,206.84849,5758928,0.6,738371,5.0
96,206.85296,5387297,0.5,1252884,4.5
97,206.85663,5001399,0.5,844708,4.0
98,206.85943,5335597,0.5,1017216,4.5
99,206.86437,5606252,0.6,572768,4.8
100,206.91079,5213605,0.5,1273259,4.3
101,206.91319,5052528,0.5,1045518,4.1
102,206.93379,5829523,0.6,1246935,5.1
103,206.94837,5824159,0.6,1040183,5.1
104,206.95108,5081821,0.5,1176444,4.1
105,206.96509,5769948,0.6,677740,5.0
106,206.97533,5186070,0.5,1229741,4.3
107,206.99342,35068696,3.5,963888,43.3
108,207.00166,5057304,0.5,491358,4.1
109,207.0298,39414590,3.9,865635,49.0
110,207.06619,31651364,3.1,958398,38.9
111,207.10257,15569994,1.5,1104678,17.8
112,207.1238,5021965,0.5,1158618,4.1
113,207.13515,6047376,0.6,1052439,5.4
114,207.13898,16153724,1.6,1115847,18.6
115,207.1449,5232794,0.5,1108886,4.3
116,207.15287,5351938,0.5,853550,4.5
117,207.15887,5326885,0.5,794925,4.5
118,207.16713,5246379,0.5,668183,4.3
119,207.20071,5581982,0.6,1357437,4.8
120,207.22546,5144970,0.5,1347614,4.2
121,207.22617,5639636,0.6,1109289,4.9
122,207.25802,5455876,0.5,1054009,4.6
123,207.26696,5133038,0.5,1365941,4.2
124,207.32508,5205471,0.5,1203539,4.3
125,207.34037,5108048,0.5,830052,4.2
126,207.34072,6073220,0.6,863102,5.4
127,207.34823,5116954,0.5,1434565,4.2
128,207.35191,5497799,0.5,885657,4.7
129,207.36256,5185155,0.5,1072336,4.3
130,207.40641,5652418,0.6,1097415,4.9
131,207.43109,5452113,0.5,919589,4.6
132,207.48225,5296847,0.5,624853,4.4
133,207.48495,5256785,0.5,831828,4.4
134,207.5035,5212955,0.5,766099,4.3
135,207.54631,6077500,0.6,963350,5.4
136,207.55196,6426973,0.6,1156017,5.9
137,207.55727,5004075,0.5,1353538,4.0
138,207.56659,5690643,0.6,813154,4.9
139,207.58149,5642311,0.6,1130802,4.9
140,207.59761,5225684,0.5,1108405,4.3
141,207.60756,5016012,0.5,961693,4.0
142,207.61012,5787903,0.6,943832,5.1
143,207.6129,5291236,0.5,371247,4.4
144,207.64014,6184207,0.6,761911,5.6
145,207.64607,4985697,0.5,1429855,4.0
146,207.65544,5191444,0.5,1028656,4.3
147,207.65707,5951322,0.6,1404253,5.3
148,207.67207,6708451,0.7,1153841,6.3
149,207.70501,5106205,0.5,715123,4.2
150,207.78587,5360450,0.5,600733,4.5
151,207.78654,5329751,0.5,1133898,4.5
152,207.79289,5436137,0.5,1157948,4.6
153,207.81317,5117257,0.5,935806,4.2
154,207.81654,5682974,0.6,1238171,4.9
155,207.86194,6204776,0.6,1075857,5.6
156,207.86467,5305075,0.5,1044623,4.4
157,207.9101,5714305,0.6,836874,5.0
158,207.91788,5087345,0.5,1258588,4.1
159,207.9697,5069491,0.5,1396642,4.1
160,207.97071,5139568,0.5,1204726,4.2
161,207.97959,5108006,0.5,1240475,4.2
162,207.99187,5408566,0.5,1305420,4.6
163,208.00262,5623641,0.6,893274,4.8
164,208.01813,6272593,0.6,663789,5.7
165,208.02196,5077172,0.5,927561,4.1
166,208.02508,11910266,1.2,1121840,13.1
