,m/z,I,I %,Res.,S/N
0,202.51119,4839581,0.1,1128545,4.0
1,202.78681,5316563,0.1,1241701,4.7
2,202.91861,5167353,0.1,1152659,4.5
3,203.71408,5056699,0.1,1243388,4.3
4,204.15359,5221324,0.1,1179048,4.6
5,204.24966,5169535,0.1,1047577,4.5
6,204.53015,5384102,0.1,997123,4.8
7,204.67349,5288416,0.1,1073854,4.6
8,204.77944,5128329,0.1,1216040,4.4
9,204.8704,5003242,0.1,1219332,4.3
10,204.87344,4817273,0.1,1194439,4.0
11,204.9314,5081294,0.1,1211177,4.4
12,204.93899,4877347,0.1,1116826,4.1
13,204.94378,5149753,0.1,1014064,4.5
14,204.94831,4844186,0.1,964213,4.0
15,204.95047,5142515,0.1,873068,4.4
16,204.95636,5061884,0.1,1241931,4.3
17,205.01471,5182696,0.1,1303665,4.5
18,205.01731,5078265,0.1,1306660,4.4
19,205.04315,5235512,0.1,1174971,4.6
20,205.04809,5280804,0.1,1239409,4.6
21,205.15978,41217317,0.9,993237,53.4
22,205.23654,4969728,0.1,1198595,4.2
23,205.26853,4853450,0.1,1158777,4.1
24,205.2958,5265009,0.1,973809,4.6
25,205.40602,4871459,0.1,938579,4.1
26,205.46766,5486790,0.1,674565,4.9
27,205.47336,5712276,0.1,1234266,5.2
28,205.50678,5099420,0.1,1475947,4.4
29,205.51902,4996024,0.1,1192414,4.3
30,205.56013,5031123,0.1,1320798,4.3
31,205.56724,5222432,0.1,1091428,4.6
32,205.57758,5815339,0.1,1083766,5.4
33,205.58274,4924988,0.1,928667,4.2
34,205.61962,5986174,0.1,1223589,5.6
35,205.65537,5406048,0.1,1017294,4.8
36,205.71528,6129936,0.1,1054820,5.8
37,205.74732,4817283,0.1,875646,4.0
38,205.75662,4897094,0.1,1098054,4.1
39,205.77439,5116705,0.1,1122543,4.4
40,205.77519,4958537,0.1,1261932,4.2
41,205.78341,4845057,0.1,1162061,4.0
42,205.86761,5629269,0.1,1167024,5.1
43,205.88494,4834183,0.1,1191965,4.0
44,205.92629,4916470,0.1,944573,4.1
45,205.93355,4912122,0.1,1133650,4.1
46,205.9346,5022349,0.1,742903,4.3
47,206.0581,4923059,0.1,1061651,4.2
48,206.06086,5174857,0.1,1360137,4.5
49,206.09165,5060682,0.1,1230548,4.3
50,206.11642,5297635,0.1,1190719,4.7
51,206.12657,5534653,0.1,735385,5.0
52,206.16315,7875961,0.2,1198071,8.2
53,206.18646,5009631,0.1,902456,4.3
54,206.21084,5426927,0.1,577646,4.8
55,206.21864,5108204,0.1,826198,4.4
56,206.22324,5639382,0.1,848541,5.1
57,206.23508,4825204,0.1,981880,4.0
58,206.26477,5318861,0.1,1128150,4.7
59,206.29633,4932759,0.1,1241099,4.2
60,206.31392,5598843,0.1,934569,5.1
61,206.34546,5544296,0.1,1102473,5.0
62,206.35715,4978628,0.1,1246641,4.2
63,206.36267,5084400,0.1,950829,4.4
64,206.38725,4962774,0.1,1275416,4.2
65,206.39836,4868919,0.1,1387474,4.1
66,206.41061,4972687,0.1,543194,4.2
67,206.42441,4861032,0.1,459001,4.1
68,206.51524,5012134,0.1,699868,4.3
69,206.53178,4924817,0.1,1021311,4.2
70,206.55997,4910830,0.1,1053478,4.1
71,206.57692,5282436,0.1,1101760,4.6
72,206.61953,4868692,0.1,1004826,4.1
73,206.632,5563806,0.1,1168210,5.0
74,206.64938,4987212,0.1,1214737,4.2
75,206.65592,5037961,0.1,902843,4.3
76,206.65871,4958645,0.1,1076186,4.2
77,206.69249,4925639,0.1,1156695,4.2
78,206.7272,5045685,0.1,1229475,4.3
79,206.75954,5686961,0.1,771406,5.2
80,206.79461,5157132,0.1,889683,4.5
81,206.80653,4946613,0.1,1177781,4.2
82,206.83084,4999462,0.1,1032657,4.3
83,206.84866,5443511,0.1,670671,4.9
84,206.89321,5246482,0.1,1144464,4.6
85,206.89999,7048115,0.2,731557,7.0
86,206.91052,4929704,0.1,1237198,4.2
87,206.93354,4869069,0.1,1261820,4.1
88,206.93758,5611822,0.1,892721,5.1
89,206.94044,4892583,0.1,1353161,4.1
90,206.95293,5402793,0.1,1120062,4.8
91,206.95404,4833146,0.1,1264156,4.0
92,206.95888,5184324,0.1,869798,4.5
93,206.98089,5388099,0.1,640768,4.8
94,206.9818,5623273,0.1,969146,5.1
95,207.05823,4882817,0.1,1093388,4.1
96,207.07558,4963791,0.1,1169557,4.2
97,207.11555,5485089,0.1,687552,4.9
98,207.12446,4829377,0.1,978538,4.0
99,207.13769,4899480,0.1,903771,4.1
100,207.13905,13228956,0.3,1029919,15.4
101,207.15572,5157166,0.1,982018,4.5
102,207.15799,5323574,0.1,595949,4.7
103,207.21086,5212365,0.1,1009094,4.5
