,m/z,I,I %,Res.,S/N
0,203.18224,5076408,0.1,1211246,4.1
1,203.34829,5223661,0.1,1560655,4.3
2,203.5997,5133410,0.1,617037,4.2
3,203.72106,5912261,0.1,1217540,5.2
4,203.79646,5322132,0.1,1319965,4.4
5,203.8809,5399402,0.1,1202840,4.5
6,204.06596,6093573,0.1,1030162,5.4
7,204.07692,5456955,0.1,969181,4.6
8,204.15603,5901645,0.1,1071138,5.2
9,204.18261,5207855,0.1,1311728,4.3
10,204.22657,5428488,0.1,1117176,4.6
11,204.22725,5127278,0.1,1285219,4.2
12,204.2458,5316848,0.1,1010000,4.4
13,204.3478,5135591,0.1,1004448,4.2
14,204.39932,5164128,0.1,1115948,4.2
15,204.463,5153058,0.1,983362,4.2
16,204.73455,5035150,0.1,868263,4.1
17,204.91702,5110120,0.1,1256299,4.2
18,205.01424,6913588,0.1,1293182,6.5
19,205.02334,5225815,0.1,1130333,4.3
20,205.03286,5173204,0.1,934255,4.2
21,205.15979,83483524,1.0,951397,106.7
22,205.24412,5378473,0.1,1258773,4.5
23,205.25592,5311438,0.1,806086,4.4
24,205.35354,5203647,0.1,1163410,4.3
25,205.40907,6434843,0.1,1058928,5.9
26,205.45535,5121234,0.1,1149141,4.2
27,205.46541,5206285,0.1,900456,4.3
28,205.4693,6127040,0.1,1174461,5.5
29,205.49152,5201160,0.1,1254805,4.3
30,205.52206,5262077,0.1,1068026,4.4
31,205.53428,5590510,0.1,821975,4.8
32,205.6059,6427790,0.1,1136822,5.9
33,205.63665,5045034,0.1,914345,4.1
34,205.6926,5043514,0.1,1000631,4.1
35,205.7651,5454017,0.1,1111510,4.6
36,205.77986,5004025,0.1,1078594,4.0
37,205.82308,4991623,0.1,1366934,4.0
38,205.82527,5171054,0.1,483383,4.2
39,205.88523,5133059,0.1,1092010,4.2
40,205.96144,5363634,0.1,1127463,4.5
41,205.98188,5001003,0.1,1067525,4.0
42,205.98461,5440080,0.1,1253590,4.6
43,205.99021,5168700,0.1,1249403,4.2
44,206.01649,5147520,0.1,1024169,4.2
45,206.03222,5157022,0.1,1198980,4.2
46,206.12367,5212973,0.1,1202182,4.3
47,206.12685,5033296,0.1,833658,4.1
48,206.16313,15609591,0.2,974866,17.9
49,206.23713,5740616,0.1,1257706,5.0
50,206.2394,5251153,0.1,1052795,4.3
51,206.243,6256333,0.1,1107613,5.7
52,206.26679,5142830,0.1,943559,4.2
53,206.29468,5017363,0.1,886393,4.0
54,206.3031,5063323,0.1,1080334,4.1
55,206.31658,5154791,0.1,715430,4.2
56,206.31778,4996965,0.1,1498757,4.0
57,206.33136,5031983,0.1,1033842,4.1
58,206.3319,5467275,0.1,1288958,4.6
59,206.39332,5584091,0.1,1000223,4.8
60,206.41833,5212401,0.1,416175,4.3
61,206.495,5321292,0.1,937483,4.4
62,206.50024,5230757,0.1,998191,4.3
63,206.50854,5215103,0.1,1220836,4.3
64,206.5542,5048941,0.1,795696,4.1
65,206.56429,6387980,0.1,923131,5.8
66,206.64278,5111801,0.1,1177254,4.2
67,206.65145,5214529,0.1,970536,4.3
68,206.67028,5699295,0.1,1001168,4.9
69,206.67909,5150808,0.1,1349219,4.2
70,206.68398,5520377,0.1,959006,4.7
71,206.70326,5034367,0.1,722548,4.1
72,206.7159,5367292,0.1,1442768,4.5
73,206.7228,5234666,0.1,1014266,4.3
74,206.72343,5466058,0.1,1001087,4.6
75,206.72387,5343487,0.1,1038817,4.5
76,206.7535,5165996,0.1,1189019,4.2
77,206.76294,5714753,0.1,1034574,5.0
78,206.77448,6482056,0.1,1030781,6.0
79,206.77891,6145680,0.1,1270998,5.5
80,206.84389,5098043,0.1,607878,4.1
81,206.86416,6056171,0.1,1161184,5.4
82,206.88762,5197823,0.1,726142,4.3
83,206.90118,5591952,0.1,967940,4.8
84,206.91534,5640482,0.1,1097361,4.9
85,206.9657,5059718,0.1,1195605,4.1
86,206.9697,5157065,0.1,1022206,4.2
87,206.98325,4993390,0.1,1200313,4.0
88,206.99342,5568554,0.1,588678,4.8
89,207.00529,5068835,0.1,1463168,4.1
90,207.01076,5103089,0.1,971813,4.2
91,207.01748,5191733,0.1,846834,4.3
92,207.02989,8499434,0.1,1070524,8.6
93,207.03761,5237426,0.1,1566414,4.3
94,207.06523,4992585,0.1,1029640,4.0
95,207.0663,6188878,0.1,729250,5.6
96,207.07441,5119792,0.1,1044984,4.2
97,207.08581,5042775,0.1,859928,4.1
98,207.11528,5910480,0.1,998957,5.2
99,207.13815,5962214,0.1,677072,5.3
100,207.13904,12461983,0.2,1299959,13.8
101,207.13984,5720027,0.1,1079193,5.0
102,207.14105,5361152,0.1,1130062,4.5
103,207.1509,5111104,0.1,965904,4.2
104,207.16563,5508378,0.1,1333358,4.7
105,207.17545,5334616,0.1,1105921,4.5
106,207.17872,5412221,0.1,774238,4.6
107,207.18808,5058710,0.1,1143070,4.1
108,207.19955,5980110,0.1,841622,5.3
109,207.2057,5479891,0.1,1344520,4.6
110,207.20748,5585295,0.1,965366,4.8
111,207.21157,5442340,0.1,982848,4.6
112,207.22418,5030625,0.1,551482,4.1
113,207.25619,5154029,0.1,796296,4.2
114,207.26305,5281575,0.1,1098355,4.4
115,207.27324,5321693,0.1,1082086,4.4
116,207.28874,5997297,0.1,934931,5.3
117,207.29507,6121590,0.1,1089306,5.5
118,207.30576,5294557,0.1,1129908,4.4
119,207.34167,5276135,0.1,755513,4.4
120,207.34724,6256131,0.1,725553,5.7
121,207.40699,6219998,0.1,964765,5.6
122,207.41011,5144241,0.1,1282295,4.2
123,207.44346,6411545,0.1,1034265,5.9
