,m/z,I,I %,Res.,S/N
0,202.50764,5273682,0.2,1152566,4.4
1,202.70053,5605448,0.2,1182567,4.8
2,202.99858,9494283,0.3,1135442,9.9
3,203.07134,9849364,0.3,1164921,10.4
4,203.09704,5106479,0.1,1313612,4.2
5,203.22198,5244496,0.2,1005440,4.3
6,203.29619,5245943,0.2,1069759,4.3
7,203.30516,5654013,0.2,816409,4.9
8,203.37046,5976429,0.2,1108086,5.3
9,203.44885,5114457,0.1,1408495,4.2
10,203.53358,5070686,0.1,1029391,4.1
11,203.91214,7547064,0.2,1073619,7.4
12,204.00651,7923081,0.2,842650,7.9
13,204.06998,5058374,0.1,1491900,4.1
14,204.12346,5352326,0.2,1325060,4.5
15,204.2048,5476808,0.2,1193064,4.7
16,204.25527,5010877,0.1,949769,4.0
17,204.47186,5433363,0.2,949688,4.6
18,204.47974,6148596,0.2,1280542,5.5
19,204.55693,4997665,0.1,983142,4.0
20,204.63501,5120284,0.1,1238200,4.2
21,204.65647,4992312,0.1,1116999,4.0
22,204.69703,5037662,0.1,1221063,4.1
23,204.74583,5504700,0.2,813416,4.7
24,204.84405,5347407,0.2,1317145,4.5
25,204.89034,4987595,0.1,663707,4.0
26,205.01423,35360276,1.0,993087,43.8
27,205.03267,5878230,0.2,750531,5.2
28,205.05061,25456811,0.7,998719,30.8
29,205.08703,9494901,0.3,1222522,9.9
30,205.12338,6309580,0.2,1147416,5.7
31,205.12819,5030414,0.1,1322711,4.1
32,205.13092,5301213,0.2,1159404,4.4
33,205.15863,5248524,0.2,1002131,4.4
34,205.15978,76754011,2.2,943879,98.0
35,205.21299,5087073,0.1,1143915,4.1
36,205.28502,5432322,0.2,1144263,4.6
37,205.4951,5162591,0.2,1258166,4.2
38,205.51824,5037017,0.1,1275157,4.1
39,205.64554,5231738,0.2,1076810,4.3
40,205.64828,5013930,0.1,1180682,4.0
41,205.68311,5307268,0.2,1182649,4.4
42,205.71693,5446464,0.2,627057,4.6
43,205.78136,5313021,0.2,925350,4.4
44,205.78405,5261706,0.2,1043883,4.4
45,205.82158,8326333,0.2,1061146,8.4
46,205.85254,5069526,0.1,1136528,4.1
47,205.87995,5136768,0.1,1326068,4.2
48,205.89632,5539166,0.2,1332452,4.7
49,205.9564,5046992,0.1,1278146,4.1
50,205.9633,6360319,0.2,960655,5.8
51,206.0155,6368714,0.2,1327865,5.8
52,206.02201,7711865,0.2,958705,7.6
53,206.03046,5303007,0.2,976077,4.4
54,206.03719,7865618,0.2,862341,7.8
55,206.03856,5102859,0.1,1212746,4.2
56,206.04289,5092399,0.1,951989,4.1
57,206.05397,6718706,0.2,1401064,6.3
58,206.06027,5408466,0.2,1097082,4.6
59,206.08221,6023497,0.2,1373118,5.4
60,206.15392,5355492,0.2,1231482,4.5
61,206.16313,15020275,0.4,1079114,17.1
62,206.18285,4985927,0.1,1091457,4.0
