mz,Intensity,s_n,res
206.88918,1052347,4.1,1200614
207.03663,1062493,4.1,1280792
207.07733,1062307,4.1,1268763
207.10737,1044350,4,1247822
207.27502,1131309,4.5,1224583
208.10419,1115256,4.4,1665021
208.4714,1142248,4.6,1286169
208.98789,1105779,4.4,1022794
209.23417,1178724,4.8,1294448
209.2564,1075060,4.2,1253100
209.41034,1070974,4.2,1358479
209.49345,1046193,4,1592743
209.60806,1145219,4.6,1314200
209.62518,1324268,5.6,933732
209.67151,1114014,4.4,1198214
210.07922,1195255,4.9,1207672
210.131,1151651,4.6,1281982
210.24251,1073587,4.2,1379263
210.35769,1086682,4.3,1211686
210.5713,1089295,4.3,1334158
210.57629,1133478,4.5,1416681
210.69486,1133932,4.5,1412701
210.73839,1042611,4,1394303
210.76829,1049555,4.1,1361714
210.83702,1070948,4.2,1280103
210.8383,1070804,4.2,1321572
210.863,1049177,4,1035006
210.94428,1116076,4.4,1272311
211.04021,1062278,4.1,1104950
211.04825,1052808,4.1,1080711
211.09206,1116871,4.4,1155391
211.20279,1079168,4.2,1354474
211.31193,1176173,4.8,1195720
211.32865,1079664,4.2,1548777
211.52647,1200627,4.9,1317028
211.55979,1054599,4.1,948092
211.69489,1209950,5,935609
211.71267,1246717,5.2,1196910
211.7354,1059081,4.1,1702468
211.75935,1066457,4.1,1342843
211.79066,1048269,4,1281454
211.88939,1102853,4.4,963898
211.89332,1104583,4.4,1465474
211.95424,1096513,4.3,946556
212.02754,1194194,4.9,1274162
212.06945,1095037,4.3,1323385
212.15367,1175667,4.8,1152487
212.16046,1300280,5.5,979860
212.18281,1259283,5.3,1325316
212.21785,1147748,4.6,988419
212.26927,1150110,4.6,1325461
212.31958,1086432,4.3,1410512
212.36061,1090094,4.3,1206285
212.38584,1198936,4.9,1136304
212.38824,1137619,4.6,1271219
212.39115,1081373,4.2,1092077
212.40256,1093484,4.3,989370
212.40972,1057484,4.1,1088371
212.41537,1233843,5.1,1377389
212.50212,1059836,4.1,1323845
212.50397,1148060,4.6,1199225
212.50878,1047394,4,1662259
212.56982,1115613,4.4,1019993
212.67367,1128325,4.5,1182038
212.69668,1182974,4.8,1143219
212.8015,1060192,4.1,1266789
212.80662,1101090,4.3,1202966
212.85365,1055984,4.1,952812
212.86151,1305031,5.5,1266032
212.97395,1084484,4.3,1062124
212.99776,1182297,4.8,1207581
213.01472,1042925,4,1359187
213.01737,1093351,4.3,1287032
213.08445,1119835,4.5,1326598
213.1562,1133652,4.5,703472
213.24253,1074780,4.2,1411285
213.39856,1060177,4.1,1549813
213.41674,1050796,4.1,1533070
213.43571,1098031,4.3,798136
213.45505,1200920,4.9,1284819
213.45535,1042889,4,1086108
213.48063,1135146,4.5,1622574
213.51967,1191946,4.9,1425577
213.52398,1055286,4.1,1220606
213.6584,1079862,4.2,1440493
213.66229,1142970,4.6,1361428
213.78889,1060751,4.1,1287856
213.83495,1068595,4.2,1016801
213.92177,1356276,5.8,1169585
213.9384,1149839,4.6,864501
213.94543,1106421,4.4,781134
214.05143,1095353,4.3,1558193
214.08078,1052278,4.1,1400044
214.08888,1044954,4,1715029
214.09096,1060549,4.1,1276531
214.0991,1051593,4.1,1247159
214.10821,1055349,4.1,1185472
214.11911,1183815,4.8,784555
214.23179,1132186,4.5,1043361
214.26681,1046311,4,1057110
214.26849,1068955,4.2,1324754
214.27564,1044471,4,1680267
214.27798,1115463,4.4,1425874
214.33262,1360059,5.8,805463
214.36145,1151718,4.6,1444880
214.36679,1191809,4.9,1309060
214.43942,1116343,4.4,1317413
214.45499,1234626,5.1,1096917
214.45962,1278519,5.4,1026521
214.46129,1066973,4.2,1208222
214.54459,1076676,4.2,1215322
214.54729,1163526,4.7,1295662
214.6575,1080094,4.2,1172906
214.70289,1182157,4.8,1172338
214.8137,1080159,4.2,658323
214.8422,1082847,4.2,1215058
214.85351,1218658,5,1365468
214.85988,1070098,4.2,1258845
214.94676,1151533,4.6,1308422
214.98654,1165220,4.7,1070762
215.02449,1272378,5.3,1020194
215.03517,1241046,5.2,1209181
215.04096,1057286,4.1,1122543
215.06373,1048115,4,1217392
215.07369,1241021,5.2,958428
215.08711,1405091,6.1,1201716
215.12023,1217097,5,1043985
215.12949,1300130,5.5,1451422
215.13056,1103158,4.4,1199419
215.1314,1238196,5.1,1219304
215.17728,1188298,4.9,1037499
215.20086,1157846,4.7,1153562
215.20518,1062054,4.1,1246800
215.22138,1093377,4.3,1173081
215.2275,1129418,4.5,1570023
215.25725,1147788,4.6,869839
215.26242,1126901,4.5,1138630
215.26768,1191125,4.9,1396177
215.32937,1163712,4.7,930675
215.33444,1191706,4.9,1550345
215.35032,1201450,4.9,1296685
215.37525,1048966,4.1,1368689
215.39297,1217327,5,1160110
215.4072,1114500,4.4,967955
215.44987,1351539,5.8,1211297
215.50758,1049654,4.1,1198142
215.51571,1085249,4.3,1131662
215.52294,1211539,5,1254506
215.52617,1137233,4.6,1343211
215.54116,1264410,5.3,1180009
215.54868,1365445,5.9,1197825
215.5659,1117598,4.4,1408104
215.57074,1058803,4.1,1093489
215.62638,1075729,4.2,1388916
215.70671,1120863,4.5,1490977
215.72828,1208764,5,891053
215.75343,1062640,4.1,1431057
215.78595,1185843,4.8,1038168
215.79826,1109551,4.4,859122
215.79863,1176030,4.8,1470763
215.91676,1137566,4.6,1378855
215.96251,1312840,5.6,1532306
215.98797,1143487,4.6,1218811
216.01932,1199190,4.9,1087328
216.0289,1050430,4.1,957676
216.03026,1072736,4.2,1309254
216.04276,1140475,4.6,1382128
216.0617,1228017,5.1,1157015
216.0749,1265198,5.3,1174286
216.07665,1189334,4.9,1391583
216.10471,1188204,4.9,1357249
216.11084,1170838,4.8,1620015
216.15117,1124493,4.5,752561
216.17728,1095423,4.3,1213776
216.18309,1065239,4.1,1471706
216.20638,1089607,4.3,1618128
216.2189,1049896,4.1,1476448
216.23778,1156111,4.7,1330886
216.25356,1062010,4.1,1394169
216.27955,1105628,4.4,859987
216.29858,1137629,4.6,1423187
216.31396,1070446,4.2,1072245
216.414,1227593,5.1,1116174
216.43833,1049184,4.1,1045811
216.45738,1046540,4,986343
216.50478,1129371,4.5,1329004
216.53331,1314645,5.6,1513777
216.55797,1084797,4.3,1239078
216.56577,1126905,4.5,1278530
216.59196,1196339,4.9,1192531
216.65342,1191597,4.9,1450130
216.65857,1091628,4.3,934209
216.75098,1067009,4.2,1256576
216.75197,1181235,4.8,1458806
216.79873,1072754,4.2,1244072
216.85544,1222563,5.1,1291714
216.86303,1115432,4.4,1106546
216.888,1096583,4.3,1423952
216.90766,1100533,4.3,1058169
216.95616,1288110,5.4,1454354
216.97756,1068439,4.2,1047545
216.9896,1172760,4.8,1249623
217.01284,1071759,4.2,1437135
217.01861,1075185,4.2,965397
217.01896,1100247,4.3,1767688
217.02375,1154404,4.7,1216241
217.04406,1164513,4.7,1514448
217.09243,1218252,5,984105
217.12525,1118118,4.4,934496
217.12794,1138446,4.6,1286881
217.15868,1052722,4.1,1321367
217.18068,1094499,4.3,1059228
217.18569,1106247,4.4,1017198
217.21581,1244177,5.2,1252497
217.31269,1224870,5.1,1329559
217.32743,1181097,4.8,1316183
217.33542,1088906,4.3,933212
217.37548,1109182,4.4,984388
217.4119,1211706,5,1022559
217.41749,1072580,4.2,760687
217.44703,1050070,4.1,1334859
217.47566,1085273,4.3,1591415
217.50304,1060628,4.1,1018211
217.5147,1278227,5.4,1333110
217.52292,1189740,4.9,1283263
217.52648,1152686,4.6,1014832
217.53075,1336658,5.7,1215796
217.58569,1077631,4.2,1273560
217.60028,1048738,4,1528468
217.66886,1126367,4.5,1434012
217.71353,1146209,4.6,1317663
217.71692,1211098,5,1229473
217.74753,1072555,4.2,1484606
217.75957,1041908,4,1137452
217.79057,1077489,4.2,1362441
217.80128,1043896,4,1130001
217.83948,1170286,4.7,906426
217.84432,1136868,4.6,1231853
217.8758,1120019,4.5,1100853
217.93735,1064908,4.1,1117940
217.94314,1063537,4.1,940557
217.94555,1243781,5.2,852540
217.94696,1175181,4.8,1292750
217.94759,1111875,4.4,1198373
217.9695,1125128,4.5,1431279
218.01035,1225678,5.1,1026929
218.01828,1187306,4.8,1445798
218.03954,1308985,5.5,1273697
218.03981,1200649,4.9,1548813
218.0428,1218537,5,1021400
218.05016,1106417,4.4,1082617
218.06212,1393948,6,1280925
218.06593,1062576,4.1,1413155
218.07773,1045737,4,957582
218.08326,1055387,4.1,734038
218.1022,1065696,4.1,803729
218.22853,1124329,4.5,1106751
218.23675,1087781,4.3,1476026
218.24347,1190576,4.9,1018796
218.25431,1129467,4.5,824158
218.25633,1088600,4.3,1129390
218.26024,1230200,5.1,1270990
218.27161,1043045,4,1361998
218.28154,1295419,5.5,1335495
218.31892,1241965,5.2,1433975
218.35606,1077382,4.2,1245479
218.38167,1047953,4,1290070
218.39962,1141914,4.6,1193594
218.42226,1061681,4.1,854914
218.43681,1041355,4,1117779
218.47937,1315719,5.6,1265264
218.50528,1139394,4.6,1129816
218.56602,1048992,4.1,1472981
218.60488,1056004,4.1,1329713
218.62184,1089222,4.3,1049744
218.64648,1073373,4.2,1337119
218.67376,1177958,4.8,1058109
218.74271,1398134,6.1,1194066
218.76981,1068015,4.2,1087773
218.81568,1318359,5.6,1369078
218.87213,1052174,4.1,1400236
218.87688,1129773,4.5,1448025
218.90146,1148533,4.6,1019614
218.90609,1050326,4.1,1253383
218.93193,1094584,4.3,1138646
218.95823,1278043,5.4,1318031
218.96816,1095181,4.3,1030050
218.97879,1116022,4.4,1460582
219.01811,1060437,4.1,1547177
219.04976,1331836,5.7,1452062
219.0563,1240146,5.2,929864
219.06237,1092556,4.3,1334910
219.07216,1117776,4.4,1355241
219.09019,1123323,4.5,1407161
219.10118,1085203,4.3,1272505
219.11564,1067587,4.2,1275068
219.17232,1156517,4.7,1460987
219.19235,1440501,6.3,1103234
219.20971,1059852,4.1,1665094
219.24021,1147019,4.6,1214588
219.25015,1320543,5.6,1020452
219.27872,1105140,4.4,990482
219.29058,1142198,4.6,761000
