mz,Intensity,s_n,res
203.09239,4743398,25.2,1350119
203.41576,1144789,4.6,1242096
206.9685,1111741,4.4,1456685
206.99339,1115303,4.4,1669455
207.02992,1410901,6.1,1693496
207.52492,1114119,4.4,1104270
207.62407,1161701,4.7,1425331
207.80381,1087471,4.3,1284019
207.9237,1069719,4.1,1379899
208.12873,1065168,4.1,1394620
208.78159,1108934,4.4,1370667
208.99331,1274085,5.3,1339266
209.00899,4372832,23.1,1549946
209.00918,3273034,16.8,1443734
209.04555,1740357,8,1796155
209.09862,1046257,4,1179668
209.25081,1158108,4.7,1418910
209.29902,1051628,4,1288940
209.33131,1101586,4.3,1479810
209.97023,1166888,4.7,1226530
210.05034,1139715,4.6,1140438
210.07529,1044071,4,1158749
210.14148,1172037,4.7,1004241
210.14249,1112130,4.4,1054759
210.28127,1048705,4,1267018
210.32995,1095623,4.3,1258664
210.35172,1173401,4.7,1446076
210.48494,1161984,4.7,1157027
210.48922,1106237,4.4,1542864
210.54988,1088158,4.3,1557919
210.56246,1097767,4.3,1091113
210.566,1144326,4.6,1455905
210.60384,1207486,4.9,1076605
210.72076,1121454,4.4,1249588
210.75942,1191133,4.8,1089802
210.92351,1163237,4.7,1219941
211.0028,1049550,4,1062565
211.02462,2795704,14.1,1697999
211.02481,2872100,14.5,1607383
211.03604,1047845,4,1597264
211.06101,1624592,7.3,1572270
211.09766,1061989,4.1,1180554
211.09956,1065806,4.1,1161115
211.10452,1049343,4,1156134
211.21191,1077594,4.2,1274648
211.22268,1356442,5.8,1313229
211.23637,1050268,4,1380827
211.29967,1079395,4.2,919351
211.44771,1132495,4.5,964180
211.44923,1094326,4.3,1562794
211.46987,1064163,4.1,1106567
211.47309,1066606,4.1,1377032
211.56112,1084243,4.2,1220715
211.57387,1114521,4.4,1342772
211.77769,1047821,4,927691
211.7921,1205162,4.9,1430954
211.8262,1176041,4.8,1544394
211.8889,1044448,4,1526501
211.98484,1072846,4.2,1241442
212.01986,1911765,9,1403664
212.02006,1578293,7.1,1903406
212.02034,1072462,4.2,1281103
212.03883,1200337,4.9,1116907
212.04269,1151982,4.6,1148196
212.11013,1218765,5,1355363
212.17137,1063775,4.1,1446780
212.28791,1221077,5,1174116
212.30577,1250702,5.2,1259572
212.36223,1132612,4.5,1433936
212.41679,1105318,4.4,1169521
212.41763,1171443,4.7,1269304
212.43556,1131292,4.5,987711
212.54853,1044819,4,1701430
212.65232,1090736,4.3,1367068
212.71981,1204845,4.9,1224557
212.74257,1254117,5.2,1470197
212.80032,1114518,4.4,990330
212.81223,1043723,4,1113547
212.84791,1100053,4.3,1407419
212.89149,1158735,4.7,1248077
212.91581,1089148,4.3,1235777
212.94422,1082340,4.2,824916
212.94624,1131270,4.5,1401597
212.94799,1051812,4,1525448
212.96587,1152415,4.6,1049661
212.99573,1081454,4.2,1287549
213.07662,1049100,4,1584392
213.09757,1343574,5.7,1095382
213.10233,1111744,4.4,1415429
213.11302,1169315,4.7,1637940
213.14582,1129300,4.5,1606995
213.23035,1120340,4.4,1221430
213.26531,1131762,4.5,938793
213.3092,1090706,4.3,1313003
213.37094,1082185,4.2,1391971
213.40786,1055685,4.1,1153219
213.43532,1121078,4.4,1142483
213.43657,1051871,4.1,1348386
213.45488,1277830,5.3,1459159
213.49377,1175115,4.8,1156541
213.57683,1228857,5.1,1337564
213.61141,1230979,5.1,1208653
213.61972,1063012,4.1,1313891
213.67014,1130210,4.5,1267377
213.68146,1161385,4.7,1102436
213.74519,1127459,4.5,1459727
213.76899,1092975,4.3,944544
213.79345,1170283,4.7,1460607
213.82203,1057833,4.1,1283463
213.86296,1274278,5.3,757358
213.96836,1070226,4.2,1745871
214.09201,1055257,4.1,1501265
214.09947,1252734,5.2,1487247
214.13155,1104609,4.4,1254122
214.1724,1122360,4.5,1388968
214.20044,1127885,4.5,1080225
214.25026,1200857,4.9,1182137
214.25118,1149127,4.6,993071
214.28223,1075566,4.2,1533750
214.30479,1121910,4.5,833685
214.33244,1052931,4.1,1012805
214.43677,1055349,4.1,1401105
214.47153,1113476,4.4,1008470
214.47966,1309351,5.5,1317550
214.50096,1189360,4.8,1298662
214.54531,1418274,6.2,1151315
214.64487,1165886,4.7,1374223
214.67537,1084787,4.2,1018684
214.70496,1101707,4.3,1335709
214.75041,1053191,4.1,1488855
214.78046,1075244,4.2,1274833
214.79026,1194275,4.9,1121498
214.79387,1154727,4.6,1469088
214.80312,1222516,5,1169663
214.80863,1254706,5.2,1143199
214.86937,1074109,4.2,1107632
214.89416,1202275,4.9,1421788
214.92716,1143647,4.6,984030
214.93353,1115522,4.4,1240416
214.93431,1121504,4.5,942538
214.94723,1076539,4.2,1738826
214.95033,1060466,4.1,1184713
214.95722,1241510,5.1,1453412
214.95834,1068320,4.1,1499285
214.9971,1112127,4.4,959278
215.0127,1313693,5.6,1602433
215.0197,1472069,6.5,1413237
215.03259,3264144,16.7,1609582
215.03279,3084336,15.7,1673878
215.03497,1347508,5.7,1633416
215.0503,1113838,4.4,1363792
215.05612,1534806,6.8,1500844
215.07131,1095040,4.3,1067304
215.09231,3009963,15.3,1537454
215.0925,2954707,15,1618932
215.1201,1112857,4.4,1223264
215.1224,1134097,4.5,1280802
215.1287,2678072,13.4,1594356
215.1289,2543360,12.6,1588376
