mz,Intensity,s_n,res
203.0924,4748392,25.3,1267148
203.12878,1295820,5.5,1579191
203.33389,1670863,7.6,1183774
203.41583,1082656,4.2,1522756
206.45863,1077395,4.2,1468065
206.53683,1153633,4.6,1190660
207.59466,1104024,4.4,1046750
207.91014,1064135,4.1,1270279
208.14674,1179053,4.8,1240375
208.32353,1162528,4.7,938931
208.47161,1049182,4,1294846
208.54406,1062285,4.1,1143472
208.62925,1066957,4.1,1145750
208.65243,1098794,4.3,1352995
209.0092,1144836,4.6,1732454
209.04559,1969861,9.3,1145656
209.30838,1089316,4.3,937131
209.40051,1118142,4.4,1388519
209.95136,1100919,4.3,1269885
210.17555,1067864,4.1,1001289
210.20763,1154113,4.6,1192189
210.32518,1054104,4.1,969645
210.46189,1259272,5.2,941928
210.47583,1191652,4.9,1381762
210.48629,1071910,4.2,1329008
210.55297,1238848,5.1,1077861
210.98525,1293792,5.4,1038522
211.02465,5521507,29.7,1536410
211.02484,6668187,36.3,1390433
211.04486,1044385,4,944868
211.06103,1696608,7.8,1931824
211.06122,2530660,12.5,1623696
211.17562,1117820,4.4,1098219
211.218,1058307,4.1,1583255
211.27193,1071178,4.2,1284556
211.31493,1257549,5.2,1059162
211.56397,1139462,4.6,1548655
211.59779,1103016,4.4,1346738
211.78166,1047961,4,1697526
211.81486,1185094,4.8,1561788
211.81845,1113160,4.4,872479
211.82291,1125857,4.5,1155158
211.82626,1048202,4,1286476
211.93242,1052624,4.1,1455605
211.95235,1056365,4.1,1005007
212.0199,2673507,13.4,1235843
212.0201,2780295,14,1031185
212.10078,1085040,4.2,1334220
212.16619,1048848,4,1269157
212.22501,1123252,4.5,1055758
212.25236,1057203,4.1,1055793
212.3917,1112328,4.4,1532314
212.40232,1198212,4.9,1134498
212.42509,1150400,4.6,925814
212.43632,1119039,4.4,1402956
212.49672,1083736,4.2,1598471
212.57275,1097284,4.3,1338839
212.59056,1085269,4.2,1140150
212.61774,1117939,4.4,1464863
212.62535,1085522,4.3,1243838
212.66591,1074198,4.2,1150529
212.67179,1062970,4.1,1704200
212.67255,1173676,4.8,1491210
212.67513,1101131,4.3,1023677
212.74312,1110947,4.4,1354707
212.74684,1057604,4.1,887957
212.76458,1048674,4,1530354
212.80009,1067505,4.1,1254375
212.81446,1135103,4.5,1407539
212.84166,1257676,5.2,1209076
212.85787,1215391,5,1259462
212.87975,1044344,4,1233895
212.90601,1142383,4.6,1299389
212.95017,1191298,4.9,1259202
212.95971,1187851,4.8,852485
212.97217,1058182,4.1,1280024
212.98185,1091409,4.3,1208174
212.99959,1137295,4.5,1321445
213.07665,1272283,5.3,1430595
213.11753,1128986,4.5,1591038
213.19544,1129660,4.5,1073740
213.21519,1102070,4.3,1413124
213.30543,1110955,4.4,1078854
213.31096,1248349,5.2,916023
213.43585,1059666,4.1,1024341
213.45828,1201679,4.9,1393903
213.46704,1182028,4.8,1494200
213.52893,1067331,4.1,1325136
213.54453,1090917,4.3,895952
213.56391,1125110,4.5,1463814
213.58463,1044891,4,1328339
213.61593,1108322,4.4,1046887
213.62712,1126084,4.5,1022756
213.65067,1115260,4.4,1112319
213.65396,1345290,5.7,1024812
213.69982,1133848,4.5,819650
213.7477,1047014,4,1341561
213.81854,1078796,4.2,1108236
213.82733,1051157,4.1,1195056
213.84572,1291327,5.4,1145724
213.86438,1064399,4.1,1145983
213.93952,1166897,4.7,1250099
213.95317,1140248,4.6,1299373
213.96849,1096180,4.3,1479039
213.98732,1107923,4.4,1000670
214.00802,1097553,4.3,1490764
214.03753,1092696,4.3,1470307
214.11066,1047820,4,1305198
214.15824,1049878,4,1409696
214.23556,1080093,4.2,1037266
214.2618,1050174,4,1151490
214.3214,1171719,4.7,1048892
214.40785,1130493,4.5,1411675
214.4325,1068545,4.2,1628457
214.50529,1117327,4.4,1570619
214.53211,1066261,4.1,1444898
214.55385,1068699,4.2,1590231
214.60976,1172524,4.8,1441349
214.62833,1043553,4,1420874
214.83795,1152604,4.6,1307981
214.86862,1215653,5,899083
214.9409,1214013,5,1569562
214.9648,1043085,4,1501822
214.98556,1066918,4.1,1690625
214.98577,1058082,4.1,1751899
214.99664,1053857,4.1,1462122
214.99819,1044033,4,1197263
215.03118,1198898,4.9,1392046
215.05593,1133400,4.5,1459492
215.09232,2804425,14.1,1505643
215.09253,3428825,17.7,966637
215.09524,1087399,4.3,1449858
215.12399,1066471,4.1,1609753
215.12537,1091155,4.3,1517019
215.12871,3649031,19,1451200
215.12891,4317111,22.8,1254349
215.13043,1068524,4.2,1373760
215.13369,1050078,4,958663
215.17251,1147191,4.6,1280803
215.17645,1155499,4.7,1206189
215.20186,1057731,4.1,1119220
215.22605,1105577,4.4,1339761
215.23278,1078818,4.2,1255918
215.28003,1049543,4,726053
215.29111,1063478,4.1,1335253
215.29208,1107250,4.4,1189425
215.29585,1052281,4.1,1439463
215.32936,1101493,4.3,1226828
215.3398,1044780,4,1390946
215.34705,1123880,4.5,1005011
215.36796,1151116,4.6,906958
215.3953,1125203,4.5,922638
215.47681,1108132,4.4,1183586
215.48739,1336919,5.7,1608524
215.51416,1171071,4.7,1296591
215.58424,1182280,4.8,895947
215.59422,1047785,4,1365006
215.62249,1242945,5.2,1336536
215.62297,1092061,4.3,1425937
215.78566,1353713,5.8,1219848
215.80312,1046114,4,1236578
215.85435,1095178,4.3,1270079
215.86457,1044129,4,1303185
215.88424,1084456,4.2,1057333
215.8967,1063791,4.1,748121
215.90345,1179387,4.8,1105922
215.94519,1269724,5.3,1083706
215.95286,1061004,4.1,1010680
215.95708,1070493,4.2,1143181
215.96796,1116252,4.4,1574686
215.97526,1088067,4.3,1118882
216.03807,1076490,4.2,834597
216.10073,1084807,4.2,1180791
216.1346,1045170,4,820386
216.15352,1070599,4.2,1420720
216.18222,1069141,4.2,1354306
216.24769,1189927,4.9,914345
216.27431,1143663,4.6,1329319
216.30051,1042599,4,1056041
216.416,1098028,4.3,920851
216.46909,1184192,4.8,1078779
216.50427,1042812,4,1449311
216.50699,1312264,5.6,1366628
216.51756,1326585,5.6,1224597
216.52338,1099687,4.3,1104593
216.53469,1209952,5,1315512
216.55786,1071597,4.2,1028186
216.55883,1106786,4.4,1068553
216.61177,1317113,5.6,1253505
216.62506,1122484,4.5,1651211
216.63178,1076780,4.2,1333857
216.63976,1073670,4.2,1047425
216.64573,1187749,4.8,797581
216.665,1086904,4.3,1368035
216.72524,1083844,4.2,1293182
216.75947,1091916,4.3,1300470
216.76198,1088334,4.3,1212215
216.76817,1119671,4.4,1263044
216.82217,1215428,5,1473809
216.85414,1090664,4.3,1108404
216.87362,1192613,4.9,1353984
216.94156,1079607,4.2,1086461
217.06583,1097400,4.3,907854
217.10609,1191001,4.9,1351332
217.10796,6013839,32.5,1552101
217.10817,8396271,46.2,1137958
217.10988,1046800,4,1003699
217.14436,1123587,4.5,1115382
217.14799,1109365,4.4,1125206
217.17942,1061673,4.1,865191
217.2092,1058831,4.1,1107585
217.22944,1107645,4.4,962721
217.25186,1046043,4,1072995
217.25337,1055411,4.1,1229055
217.39738,1128197,4.5,991195
217.40567,1064543,4.1,1416444
217.467,1118318,4.4,839831
217.48742,1047182,4,1213290
217.53171,1047228,4,1407341
217.547,1054843,4.1,1437026
217.55008,1076403,4.2,747975
217.64378,1116879,4.4,1017997
217.67713,1112471,4.4,1310358
217.68861,1064867,4.1,815779
217.71426,1085025,4.2,1037465
217.76743,1147022,4.6,722349
217.82452,1058218,4.1,1275682
217.85539,1044320,4,958447
217.86506,1114244,4.4,1627168
217.8842,1277567,5.4,1339632
217.91523,1092738,4.3,1203771
217.93467,1147319,4.6,1115475
217.94568,1107476,4.4,1471756
217.9826,1154771,4.7,1205301
217.98369,1164255,4.7,1104802
218.01433,1187569,4.8,895188
218.01526,1392193,6,1201102
218.05402,1094563,4.3,1401830
218.0616,1055265,4.1,1196336
218.0668,1053864,4.1,882620
218.09048,1089882,4.3,1091401
218.10877,1074073,4.2,901463
218.11132,1394061,6,1694078
218.11156,1943065,9.2,1246766
218.13429,1041796,4,1510437
218.13722,1105756,4.4,1135412
218.16512,1075317,4.2,1301344
