mz,Intensity,s_n,res
203.65852,1076180,4.2,961442
204.70713,1137949,4.6,1519209
204.98405,2847989,14.4,1244437
206.09001,1148417,4.6,1277235
206.65304,1277971,5.4,924329
206.90036,1128716,4.5,1480584
207.54011,1093220,4.3,1235098
207.76011,1058927,4.1,1177140
208.3083,1042221,4,1100938
208.41175,1205104,4.9,1313629
208.7374,1133192,4.5,1409649
209.30175,1111069,4.4,1033128
209.44963,1235036,5.1,1298262
209.68822,1142174,4.6,1259689
209.76703,1061848,4.1,920038
209.84616,1119998,4.5,1303410
209.91211,1077564,4.2,1426730
210.18217,1121502,4.5,1369447
210.49012,1081748,4.2,1248147
210.49994,1131394,4.5,897062
210.51064,1124566,4.5,1431699
210.53459,1063081,4.1,1012395
210.5375,1063484,4.1,918484
210.55958,1052318,4.1,1427286
210.70369,1091655,4.3,1303727
210.79324,1078900,4.2,1137129
210.90838,1098760,4.3,662386
211.0329,1059305,4.1,1555061
211.22015,1184133,4.8,1196341
211.24177,1072909,4.2,1460061
211.26113,1073913,4.2,1272428
211.36154,1081827,4.2,1361305
211.36805,1084990,4.3,1362300
211.54462,1112915,4.4,888050
211.56872,1182281,4.8,1359446
211.57943,1086031,4.3,1223431
211.69301,1200320,4.9,1279857
211.71507,2520170,12.5,1014347
211.71853,1352196,5.8,968049
211.72382,1283140,5.4,1075364
211.75824,1245231,5.2,1369470
211.75953,1048792,4,1097138
211.84455,1177921,4.8,1204593
211.94328,1051764,4.1,1249089
211.96775,1043718,4,1321037
212.0091,1046538,4,1378230
212.03435,1230283,5.1,805885
212.11852,1091136,4.3,1153461
212.13107,1063597,4.1,984768
212.17725,1074577,4.2,1242791
212.18897,1047750,4,1749579
212.22221,1092995,4.3,1743364
212.38323,1053347,4.1,1384188
212.39717,1061446,4.1,1221642
212.42472,1086460,4.3,1546629
212.53418,1145752,4.6,1475512
212.54983,1223136,5,1024365
212.61817,1137537,4.6,1353236
212.62084,1087110,4.3,1526149
212.6532,1158943,4.7,1228398
212.66514,1245071,5.2,1205095
212.69858,1192005,4.9,1325889
212.80774,1102749,4.4,1428381
212.8831,1104410,4.4,1111290
213.04511,1275592,5.3,849094
213.04569,1108497,4.4,891814
213.04772,1054964,4.1,1140031
213.14832,1060828,4.1,1409999
213.17846,1172599,4.8,1025899
213.18369,1088279,4.3,1217311
213.19321,1056105,4.1,1260638
213.23709,1291346,5.4,1275270
213.28966,1076804,4.2,1128877
213.31682,1202551,4.9,1004064
213.35132,1045572,4,1230838
213.46032,1163842,4.7,1156599
213.52117,1297147,5.5,1198825
213.57754,1097318,4.3,1599199
213.58785,1062617,4.1,741942
213.60379,1103896,4.4,1211412
213.65676,1088361,4.3,1182378
213.67246,1424790,6.2,897037
213.81137,1097309,4.3,1358450
213.85478,1165760,4.7,1297685
213.9382,1043375,4,1300794
213.94008,1044419,4,1308689
214.00624,1071038,4.2,1241884
214.02471,1208541,5,1184219
214.10385,1072879,4.2,1330631
214.14765,1063001,4.1,1007357
214.16919,1064179,4.1,1656007
214.17385,1107785,4.4,1107561
214.19288,1044041,4,968396
214.19582,1120174,4.5,621994
214.20403,1051839,4.1,934240
214.205,1155989,4.7,923446
214.2533,1060212,4.1,1187156
214.27349,1063618,4.1,1407764
214.27722,1087998,4.3,866639
214.30115,1048804,4,1098227
214.3245,1059994,4.1,1553641
214.34551,1106016,4.4,1240471
214.34886,1348257,5.8,966993
214.42769,1400075,6.1,1266069
214.42817,1102242,4.4,1203941
214.45768,1067381,4.2,1649975
214.47088,1232628,5.1,1161425
214.48626,1049332,4,1493606
214.5016,1177255,4.8,1302081
214.50302,1082463,4.2,1282858
214.51261,1060366,4.1,830864
214.59117,1047526,4,1596539
214.61104,1090375,4.3,936366
214.64536,1067111,4.2,1691967
214.67132,1110251,4.4,713066
214.68858,1071484,4.2,1775021
214.70716,1047832,4,1231874
214.71209,1132728,4.5,1540856
214.72273,1062779,4.1,1628283
214.83109,1086462,4.3,1488896
214.90255,1089219,4.3,899978
214.94444,1140491,4.6,1332582
214.95443,1092443,4.3,880834
214.97815,1127600,4.5,1408671
215.00819,1091732,4.3,1585224
215.01521,1075798,4.2,1073393
215.02953,1071244,4.2,1350080
215.04959,1045047,4,1544544
215.06375,1115772,4.4,1179307
215.13676,1105442,4.4,1265916
215.14279,1046579,4,1612152
215.15132,1042746,4,980580
215.1537,1169961,4.7,1257131
215.16102,1150014,4.6,1091997
215.17886,1143439,4.6,1446659
215.19809,1102421,4.4,1314841
215.20724,1197836,4.9,1771467
215.23593,1236678,5.1,1147350
215.32637,1121298,4.5,787049
215.3295,1244873,5.2,803385
215.33341,1063015,4.1,1324693
215.35591,1122639,4.5,1183143
215.37824,1121283,4.5,1137960
215.39555,1116054,4.4,860204
215.42065,1099336,4.3,1245635
215.42621,1132265,4.5,937937
215.45057,1083114,4.2,808454
215.45634,1053033,4.1,1213819
215.46121,1071507,4.2,1235873
215.4777,1065354,4.1,1360475
215.49937,1041348,4,1627801
215.50849,1087314,4.3,1306815
215.52487,1140820,4.6,1141480
215.53676,1223305,5,1389098
215.54165,1092131,4.3,1151367
215.54921,1235809,5.1,1060349
215.59333,1124891,4.5,1051864
215.60705,1054377,4.1,952995
215.62197,1072657,4.2,1204516
215.63525,1054897,4.1,971370
215.63653,1058976,4.1,1077442
215.63931,1085098,4.3,1218777
215.65171,1292823,5.4,890632
215.65452,1064351,4.1,1422268
215.68852,1045718,4,1248959
215.72191,1191339,4.9,923596
215.74881,1274778,5.3,1149879
215.78039,1090710,4.3,1046775
215.80788,1044548,4,977360
215.81066,1227049,5.1,1150333
215.83619,1077376,4.2,1227287
215.87604,1184229,4.8,1380198
215.87728,1044237,4,1334580
215.90192,1044781,4,1098268
215.90414,1077271,4.2,1128994
215.93099,1053059,4.1,1325314
215.93151,1185717,4.8,1249584
215.93982,1090314,4.3,1241808
215.94227,1085842,4.3,1196113
215.94505,1042713,4,1004362
215.95564,1055787,4.1,1084374
215.9813,1098984,4.3,1047650
216.0043,1065714,4.1,1165594
216.04304,1238103,5.1,1347667
216.09778,1051793,4.1,1507550
216.15861,1304237,5.5,1062677
216.16171,1096071,4.3,1052695
216.19333,1124651,4.5,1366184
216.2083,1056698,4.1,1033105
216.22995,1209878,5,1253367
216.23051,1100130,4.3,1194371
216.23695,1051280,4.1,1058450
216.28458,1079229,4.2,1161707
216.30706,1238055,5.1,1250868
216.3699,1075295,4.2,1254520
216.37775,1156752,4.7,1216045
216.38882,1293574,5.5,812979
216.38946,1087444,4.3,1318240
216.40962,1074266,4.2,1281551
