mz,Intensity,s_n,res
203.03467,1296416,5.5,1079694
205.69262,2266913,11.1,1107181
205.69548,1069923,4.2,1325984
206.27762,1055324,4.1,1385179
206.5611,1051496,4.1,1434329
206.94881,1508409,6.7,1400943
207.0301,1172542,4.8,1307915
207.10921,1047597,4,1368304
207.72511,1089326,4.3,1242120
208.01358,1156863,4.7,1276311
208.07248,1119543,4.5,1387899
208.31358,1052635,4.1,765528
208.55465,1135186,4.5,1178169
208.55855,1071021,4.2,925386
208.72412,1072428,4.2,1223754
208.85371,1069544,4.2,1128527
208.94439,1069057,4.2,1582714
209.15362,1100517,4.3,1439723
209.31081,1187755,4.8,1282709
209.41226,1154009,4.7,1098490
209.42363,1044244,4,1594566
209.47438,1179658,4.8,1429965
209.68082,1130432,4.5,1032517
210.18126,1057003,4.1,1225237
210.192,1063035,4.1,869310
210.22008,1041767,4,1527349
210.23685,1058158,4.1,1299973
210.35321,1249704,5.2,1416405
210.45511,1055941,4.1,1420089
210.52032,1076362,4.2,1359349
210.56524,1148436,4.6,1451765
210.72562,1084193,4.3,1239522
210.80734,1266661,5.3,1444395
210.81207,1043361,4,953559
210.98203,1121828,4.5,753062
211.0248,1316702,5.6,1275411
211.05978,1066499,4.2,1216490
211.13073,1066395,4.1,1128527
211.16816,1077443,4.2,783170
211.21412,1237201,5.1,1290654
211.40784,1197044,4.9,1238171
211.4896,1254366,5.2,1054329
211.49885,1049162,4.1,1273143
211.5118,1073449,4.2,1350682
211.61058,1064742,4.1,1422133
211.63901,1102885,4.4,1111224
211.66129,1129487,4.5,1558772
211.71057,1277942,5.4,2893314
211.71079,10481246,58.3,1138623
211.71251,2133820,10.3,1163961
211.71421,2041312,9.8,1159429
211.8187,1206774,5,1244391
211.82942,1058281,4.1,1253225
211.84565,1097368,4.3,1345326
211.88081,1053645,4.1,1232721
211.99517,1165529,4.7,975718
212.03115,1073861,4.2,953025
212.15351,1088942,4.3,1098315
212.17476,1367246,5.9,1441825
212.17819,2806721,14.2,1302175
212.21251,1077886,4.2,820721
212.27395,1102796,4.4,1152628
212.35115,1063919,4.1,1474621
212.3572,1077618,4.2,1160175
