mz,Intensity,s_n,res
203.26736,1083872,4.2,1353577
206.1766,1052719,4,1315411
207.06154,1066647,4.1,1081241
207.63369,1211560,5,1168018
207.75809,1185511,4.8,1482889
208.17044,1070322,4.1,1377755
208.17398,1050568,4,1421203
208.25247,1108700,4.4,1395924
208.60683,1073781,4.2,1434607
208.62842,1178982,4.8,1070667
208.80638,1063019,4.1,1545583
208.88774,1155410,4.6,958332
208.92742,1044836,4,1380841
209.00897,3100825,15.8,1517804
209.00918,2835975,14.3,1272735
209.04534,2153007,10.4,1398115
209.04555,1638465,7.4,1174503
209.28504,1168949,4.7,1512285
209.30114,1095685,4.3,1099045
209.41433,1171034,4.7,1224155
209.43887,1082464,4.2,1453734
209.47725,1108015,4.4,1378066
209.5006,1098976,4.3,1149492
209.50429,1047606,4,809216
209.51294,1211372,5,974336
209.55602,1079820,4.2,1436816
209.58209,1068043,4.1,974272
209.81988,1149347,4.6,1183468
209.97881,1081984,4.2,1267792
209.98766,1275230,5.3,1423370
210.01679,1215371,5,866234
210.20622,1132429,4.5,837404
210.23219,1115217,4.4,1525774
210.24839,1069001,4.1,1124992
210.27326,1153336,4.6,1071767
210.46378,1155598,4.6,1161728
210.46421,1048793,4,1459370
210.61305,1072740,4.2,1233006
210.77592,1046948,4,1402400
210.89435,1183520,4.8,865390
210.93578,1082705,4.2,1225987
211.02462,1969772,9.3,1710111
211.0248,2678960,13.4,1487496
211.05542,1105895,4.4,1114410
211.061,1208026,4.9,1854225
211.06117,1068950,4.1,2095515
211.47361,1098787,4.3,1287159
211.52864,1757761,8.1,1178434
211.67793,1124898,4.5,1560348
211.75358,1068843,4.1,1033174
211.78786,1250762,5.2,1104601
211.79719,1124708,4.5,1558997
211.82294,1066679,4.1,1021612
211.84219,1136051,4.5,1189933
211.91078,1212912,5,1240631
211.94116,1090386,4.3,863803
211.97565,1128786,4.5,1393736
211.98718,1115012,4.4,1087599
212.04645,1194468,4.9,1321553
212.08212,1046169,4,955904
212.09431,1050286,4,1040545
212.18159,1090260,4.3,890784
212.2199,1090733,4.3,1251719
212.27547,1073374,4.2,1543408
212.28125,1164806,4.7,1244753
212.30707,1077799,4.2,613285
212.47913,1112197,4.4,792872
212.56578,1222420,5,995408
212.56915,1140038,4.6,1134483
212.57509,1156234,4.6,1182349
212.64596,1043840,4,858508
212.69318,1053169,4.1,783711
212.73272,1275601,5.3,942238
212.75864,1175583,4.8,1023242
212.78005,1063370,4.1,1353380
212.78627,1111445,4.4,1189725
212.82984,1075307,4.2,1273925
212.8324,1083605,4.2,878594
212.83979,1134123,4.5,1245104
212.88431,1108568,4.4,1374473
212.97009,1221327,5,1224976
212.98901,1102626,4.3,838789
213.04043,1248095,5.2,1538464
213.06396,1064343,4.1,1195176
213.11814,1122522,4.5,1052189
213.15337,1235395,5.1,1104351
213.20522,1116503,4.4,1406138
213.21693,1071484,4.2,921474
213.25056,1218595,5,1210418
213.26634,1224453,5,923472
213.3123,1155908,4.6,923738
213.3171,1057203,4.1,1465089
213.35233,1072416,4.2,1488622
213.48477,1304079,5.5,973613
213.544,1198367,4.9,754544
213.57521,1158453,4.7,1325166
213.58041,1052362,4,1856431
213.82834,1157127,4.7,1303446
213.93848,1419248,6.2,1179887
213.97948,1082496,4.2,1325083
214.00835,1054613,4.1,1088329
214.03464,1460330,6.4,969349
214.0733,1094128,4.3,1271271
214.17408,1228136,5.1,962627
214.2368,1102323,4.3,756057
214.30679,1112594,4.4,1103388
214.33278,1091838,4.3,1526298
214.33493,1053900,4.1,1006006
214.41334,1200149,4.9,1265459
214.51462,1124679,4.5,756816
214.5451,1093080,4.3,1420257
214.56498,1119674,4.4,1436288
214.57855,1187507,4.8,1411758
214.58874,1090662,4.3,1647288
214.59031,1162106,4.7,1507716
214.60954,1124338,4.5,1404445
214.63023,1075005,4.2,948448
214.6346,1050579,4,1037327
214.74519,1051067,4,1277533
214.77029,1058135,4.1,1247339
214.78342,1045929,4,843621
214.89626,1052326,4.1,1418764
214.89871,1106421,4.4,1121507
214.91038,1195051,4.9,1223601
214.92057,1153388,4.6,1806842
214.98018,1044465,4,1113423
215.0195,1081816,4.2,1677517
215.03496,1293555,5.4,1662184
215.05589,1491721,6.6,1555300
215.05609,1667613,7.6,1666535
215.09148,1071674,4.2,1126769
215.09556,1064088,4.1,1296926
215.10666,1063397,4.1,1589706
