,m/z,I,S/N,Res.,I %
0,200.01153,3219097,7.8,1186875,6.8
1,200.02088,2071384,4.3,771525,4.4
2,200.03535,3265048,7.9,844520,6.9
3,200.10418,1998741,4.1,997647,4.2
4,200.18889,2019345,4.1,1050725,4.3
5,200.22917,2038736,4.2,1012599,4.3
6,200.23987,2078639,4.3,755598,4.4
7,200.25394,2000783,4.1,773019,4.2
8,200.33293,2162700,4.6,1033087,4.6
9,200.37822,2063594,4.3,671512,4.4
10,200.39917,2004745,4.1,1063977,4.2
11,200.4012,2027721,4.2,1098893,4.3
12,200.40524,2082921,4.3,719608,4.4
13,200.56037,1990018,4.1,1139441,4.2
14,200.56103,2007682,4.1,935197,4.3
15,200.56297,2106594,4.4,784977,4.5
16,200.56411,2518466,5.7,874415,5.3
17,200.60182,2074113,4.3,986252,4.4
18,200.63265,2125888,4.5,854990,4.5
19,200.79691,2453625,5.5,1125802,5.2
20,200.85787,2041207,4.2,1029978,4.3
21,200.93649,2107956,4.4,1022698,4.5
22,200.94945,2058323,4.3,621295,4.4
23,200.96399,2038451,4.2,722890,4.3
24,200.96896,1995762,4.1,983715,4.2
25,200.97823,2137106,4.5,796085,4.5
26,200.9968,2062193,4.3,865512,4.4
27,201.00157,2175729,4.6,1067934,4.6
28,201.01937,5695857,15.3,880874,12.1
29,201.03096,1985904,4.0,1195032,4.2
30,201.04182,1990384,4.1,984118,4.2
31,201.05576,6284015,17.1,684166,13.3
32,201.06026,1999887,4.1,708315,4.2
33,201.09216,2812686,6.5,693823,6.0
34,201.15199,2217708,4.7,1011374,4.7
35,201.15436,2067499,4.3,894339,4.4
36,201.17525,2266923,4.9,1062360,4.8
37,201.26987,1981543,4.0,925026,4.2
38,201.29504,2747110,6.4,1004496,5.8
39,201.31324,2223910,4.8,938439,4.7
40,201.32811,2074085,4.3,944893,4.4
41,201.3497,2241508,4.8,930700,4.8
42,201.38938,2074851,4.3,878617,4.4
43,201.48508,2101663,4.4,1086702,4.5
44,201.49255,2063071,4.3,1152198,4.4
45,201.5246,2112734,4.4,1258642,4.5
46,201.56963,2179452,4.6,447886,4.6
47,201.58265,2082780,4.3,1276497,4.4
