,m/z,I,S/N,Res.,I %
0,200.03646,1988275,4.0,1183459,1.2
1,200.04052,2082099,4.3,835654,1.3
2,200.04534,2168051,4.6,906441,1.3
3,200.05301,2088051,4.3,906403,1.3
4,200.05649,2541810,5.7,1412667,1.5
5,200.09286,3177457,7.6,1190763,1.9
6,200.13288,2065519,4.2,918967,1.3
7,200.13787,2345775,5.1,852841,1.4
8,200.16485,2097774,4.3,1199455,1.3
9,200.17375,2620909,5.9,1252536,1.6
10,200.20151,2091692,4.3,633230,1.3
11,200.22298,1988971,4.0,613289,1.2
12,200.2826,1983081,4.0,1178323,1.2
13,200.28887,2150569,4.5,967707,1.3
14,200.31314,2074215,4.3,981442,1.3
15,200.3561,1990118,4.0,1426557,1.2
16,200.45671,2550753,5.7,904619,1.5
17,200.46727,2151649,4.5,1128230,1.3
18,200.51876,2010815,4.1,823354,1.2
19,200.54442,2139550,4.5,1032980,1.3
20,200.6491,2266074,4.9,1282815,1.4
21,200.69857,2056343,4.2,800842,1.2
22,200.71167,2043991,4.2,1180134,1.2
23,200.72434,2215894,4.7,930559,1.3
24,200.74335,1983318,4.0,1271677,1.2
25,200.76548,2165525,4.6,1073286,1.3
26,200.79123,2097652,4.3,629881,1.3
27,200.8068,2231571,4.7,583815,1.4
28,200.83597,2168786,4.6,949744,1.3
29,200.83631,2202450,4.7,887986,1.3
30,200.84446,2434770,5.4,1073993,1.5
31,200.98308,2301004,5.0,797522,1.4
32,201.01937,2211371,4.7,863817,1.3
33,201.04048,2949322,6.9,1131328,1.8
34,201.05206,2151113,4.5,1212570,1.3
35,201.05575,3787849,9.4,829005,2.3
36,201.07689,8203592,22.7,833269,5.0
37,201.1127,5087559,13.4,1065447,3.1
38,201.11328,72695112,217.0,686302,44.1
39,201.14458,1997510,4.0,906490,1.2
40,201.14969,10980421,31.1,759325,6.7
41,201.17271,2225028,4.7,845519,1.4
42,201.18687,2139460,4.5,805357,1.3
43,201.25194,2026113,4.1,1138770,1.2
44,201.29074,2087488,4.3,1015077,1.3
45,201.30897,2050367,4.2,975114,1.2
46,201.33778,2014654,4.1,725705,1.2
47,201.36385,2332861,5.1,1186169,1.4
48,201.39485,2033404,4.2,1139254,1.2
49,201.40006,2134908,4.5,1067535,1.3
50,201.40275,2068507,4.3,737145,1.3
51,201.41642,2058555,4.2,1146757,1.2
52,201.42981,2164666,4.5,894269,1.3
53,201.45182,2272314,4.9,962251,1.4
54,201.47335,2011897,4.1,1036782,1.2
55,201.50826,2052087,4.2,959037,1.2
56,201.51138,2265719,4.9,773352,1.4
57,201.53166,2118455,4.4,1415701,1.3
58,201.55578,2005686,4.1,1086986,1.2
59,201.59586,2009396,4.1,1261622,1.2
60,201.60571,2150964,4.5,912948,1.3
61,201.61893,2226611,4.7,972953,1.4
62,201.6378,2238707,4.8,991181,1.4
63,201.65709,2190834,4.6,1003945,1.3
64,201.68788,2394545,5.2,1047027,1.5
65,201.70107,1995120,4.0,1010385,1.2
66,201.70266,2071472,4.3,1116400,1.3
67,201.73892,2083759,4.3,842439,1.3
68,201.74873,2033454,4.2,792857,1.2
69,201.81956,2202412,4.7,1062027,1.3
70,201.85675,2132074,4.5,1130926,1.3
71,201.8577,2322602,5.0,891718,1.4
72,201.90222,2059113,4.2,1035918,1.2
73,202.01934,2098468,4.3,1098744,1.3
74,202.02176,2013796,4.1,1006193,1.2
75,202.02351,2256676,4.8,1031469,1.4
76,202.03573,2309668,5.0,1022478,1.4
77,202.0413,2082724,4.3,876027,1.3
78,202.05108,2221091,4.7,1214504,1.3
79,202.06959,2016098,4.1,1084416,1.2
80,202.07214,3273378,7.9,499534,2.0
81,202.09092,2168610,4.6,1033776,1.3
82,202.11663,6815777,18.6,633843,4.1
83,202.12861,2221984,4.7,893833,1.3
84,202.1983,1984414,4.0,964227,1.2
85,202.20958,2067677,4.3,1117396,1.3
86,202.24917,2228572,4.7,811338,1.4
87,202.32805,2103961,4.4,824921,1.3
88,202.33025,2070361,4.3,860203,1.3
89,202.37219,2139224,4.5,1075704,1.3
90,202.39947,2607255,5.9,1058758,1.6
91,202.40622,2019350,4.1,773747,1.2
92,202.449,2143509,4.5,794099,1.3
93,202.46141,1996181,4.0,1267945,1.2
94,202.47245,2487124,5.5,967740,1.5
95,202.49226,2231444,4.7,1204889,1.4
96,202.49562,2041427,4.2,901225,1.2
97,202.53225,1996306,4.0,696914,1.2
98,202.53382,2230354,4.7,683737,1.4
99,202.59845,2103056,4.4,963896,1.3
100,202.61651,2156367,4.5,794744,1.3
101,202.72816,1987531,4.0,1110609,1.2
102,202.78767,1993289,4.0,799346,1.2
103,202.8197,2170888,4.6,1058596,1.3
104,202.83958,2216200,4.7,1282568,1.3
105,202.84928,2347655,5.1,827917,1.4
106,202.89306,1996422,4.0,871974,1.2
107,202.91316,2105093,4.4,1184044,1.3
108,202.92682,2148101,4.5,1119585,1.3
109,202.94259,2234308,4.8,854179,1.4
110,202.94551,2009860,4.1,871064,1.2
