,m/z,I,S/N,Res.,I %
0,200.02227,2548335,5.7,778758,0.7
1,200.06769,2007853,4.0,1245037,0.5
2,200.07363,2450989,5.4,1037741,0.7
3,200.09289,3302700,7.9,1225528,0.9
4,200.1007,2108203,4.3,1288871,0.6
5,200.10095,2145963,4.5,1271968,0.6
6,200.10333,2165931,4.5,1273044,0.6
7,200.12196,2085994,4.3,1033480,0.6
8,200.13742,2255145,4.8,1130212,0.6
9,200.17148,2035751,4.1,1089030,0.6
10,200.17375,2906535,6.7,1141053,0.8
11,200.17495,2185127,4.6,924971,0.6
12,200.19735,2092710,4.3,835119,0.6
13,200.23411,2236004,4.7,1063928,0.6
14,200.26518,2061090,4.2,709179,0.6
15,200.31344,2142048,4.4,1044256,0.6
16,200.34885,2322206,5.0,938764,0.6
17,200.54106,2149396,4.5,872353,0.6
18,200.61233,2062928,4.2,1125177,0.6
19,200.62387,2108815,4.3,989507,0.6
20,200.62612,2324943,5.0,971932,0.6
21,200.64403,2249486,4.8,1096256,0.6
22,200.69958,2110571,4.4,569317,0.6
23,200.74447,2028233,4.1,936957,0.6
24,200.75705,2081224,4.3,1060989,0.6
25,200.76068,2062856,4.2,939250,0.6
26,200.7616,2334856,5.0,1066243,0.6
27,200.76517,2063752,4.2,1177501,0.6
28,200.80298,2164102,4.5,1047588,0.6
29,200.85692,2100419,4.3,878278,0.6
30,200.9119,2111873,4.4,1013699,0.6
31,200.92602,2023424,4.1,1193390,0.6
32,200.96596,2133790,4.4,768710,0.6
33,200.97851,2525693,5.6,1142627,0.7
34,201.00085,2185468,4.6,1130523,0.6
35,201.01909,2093435,4.3,1580639,0.6
36,201.01937,3867899,9.6,835773,1.1
37,201.02992,2019450,4.1,1206303,0.6
38,201.04049,3908858,9.7,850055,1.1
39,201.05574,5096057,13.3,1022975,1.4
40,201.06622,2307513,4.9,1060348,0.6
41,201.06886,4342393,11.0,1034662,1.2
42,201.0769,9630840,26.8,653391,2.6
43,201.10282,2176247,4.5,919376,0.6
44,201.11328,132657016,394.7,782441,36.3
45,201.14969,16693620,48.0,815592,4.6
46,201.21967,2068593,4.2,712481,0.6
47,201.25801,2160879,4.5,814493,0.6
48,201.29405,2003949,4.0,1199417,0.5
49,201.32943,2052140,4.2,1133446,0.6
50,201.34709,2250091,4.8,1155552,0.6
51,201.37218,2050537,4.2,1034677,0.6
52,201.51169,2108899,4.3,996759,0.6
53,201.51559,2158307,4.5,974370,0.6
54,201.51813,2065186,4.2,590625,0.6
55,201.56504,2087776,4.3,905733,0.6
56,201.66673,2090459,4.3,1207425,0.6
57,201.67345,2509659,5.5,1004837,0.7
58,201.70071,2005914,4.0,1120903,0.5
59,201.87229,2000977,4.0,897704,0.5
60,201.8828,1997329,4.0,1200316,0.5
61,201.89138,2005713,4.0,1117063,0.5
62,201.89666,2100880,4.3,801593,0.6
63,202.00054,2066060,4.2,1024362,0.6
64,202.0088,2376075,5.1,727017,0.6
65,202.01371,2176523,4.5,981730,0.6
66,202.02724,2053002,4.2,900246,0.6
67,202.04855,2044105,4.2,1170378,0.6
68,202.0551,2031305,4.1,806812,0.6
69,202.0722,2006728,4.0,1017920,0.5
70,202.08021,2013832,4.1,951520,0.6
71,202.086,2128584,4.4,913902,0.6
72,202.10373,2307591,4.9,894306,0.6
73,202.10833,2273351,4.8,846689,0.6
74,202.11604,2262726,4.8,1108197,0.6
75,202.11665,13107014,37.2,793069,3.6
76,202.18777,2016131,4.1,806193,0.6
77,202.19096,2012611,4.1,918497,0.6
78,202.20843,2110018,4.4,849381,0.6
79,202.21914,2035169,4.1,698929,0.6
80,202.25843,2027904,4.1,1007631,0.6
81,202.26569,2045887,4.2,1157308,0.6
82,202.38038,2062906,4.2,929056,0.6
83,202.38416,2003258,4.0,987134,0.5
84,202.38922,2218938,4.7,968706,0.6
85,202.42401,2143032,4.4,1176000,0.6
86,202.46721,2183414,4.6,985426,0.6
87,202.54501,2064595,4.2,642489,0.6
88,202.54772,2236851,4.7,951729,0.6
89,202.56919,2073522,4.2,1042776,0.6
90,202.58439,2008945,4.0,1026600,0.5
91,202.70975,2099500,4.3,1159661,0.6
92,202.86959,2234341,4.7,953732,0.6
93,202.91194,2188643,4.6,792794,0.6
94,202.91749,2094179,4.3,910138,0.6
95,202.98094,2328032,5.0,875323,0.6
96,202.98866,2318112,5.0,605457,0.6
97,202.99619,4600096,11.8,982696,1.3
98,202.99847,3609504,8.8,867355,1.0
99,203.02227,2094111,4.3,1025285,0.6
100,203.03505,9947934,27.8,735070,2.7
101,203.03851,2381662,5.2,1013834,0.7
102,203.04253,1998366,4.0,1080766,0.5
103,203.05616,2305757,4.9,901093,0.6
104,203.06641,2133533,4.4,808229,0.6
105,203.07141,4465821,11.4,776336,1.2
106,203.09255,12108572,34.2,679416,3.3
107,203.10782,2012763,4.1,984112,0.6
108,203.1289,9961370,27.8,646378,2.7
109,203.13172,2212570,4.7,965714,0.6
110,203.22253,2041942,4.1,976935,0.6
111,203.22718,2124246,4.4,999512,0.6
112,203.23314,2180246,4.6,1146465,0.6
113,203.24806,2249621,4.8,979853,0.6
114,203.28043,2101844,4.3,812783,0.6
115,203.28201,2321684,5.0,1099952,0.6
116,203.34783,2219889,4.7,578899,0.6
117,203.3585,2040849,4.1,849340,0.6
118,203.47909,2302092,4.9,891571,0.6
119,203.49755,2138635,4.4,1042626,0.6
120,203.53806,2169290,4.5,728357,0.6
121,203.55245,2424137,5.3,811771,0.7
122,203.55643,2219401,4.7,1008947,0.6
123,203.658,2158085,4.5,1053473,0.6
124,203.69483,2052100,4.2,1159571,0.6
125,203.71092,2756355,6.3,909692,0.8
126,203.76135,2184065,4.6,1063565,0.6
127,203.76697,1996481,4.0,943831,0.5
128,203.7879,2187136,4.6,957671,0.6
129,203.84389,2303998,4.9,877547,0.6
130,203.85121,2150846,4.5,1018744,0.6
131,203.96334,2085497,4.3,852778,0.6
132,203.96397,2121849,4.4,1180354,0.6
133,204.02472,2193271,4.6,966066,0.6
134,204.03028,3735159,9.2,707573,1.0
135,204.03725,2004279,4.0,877801,0.5
136,204.03838,2054071,4.2,989319,0.6
137,204.04286,2724087,6.2,1166022,0.7
138,204.05349,2066806,4.2,949189,0.6
139,204.06851,2882294,6.7,1072403,0.8
140,204.0716,2929077,6.8,864016,0.8
141,204.09596,2316917,5.0,610608,0.6
142,204.09653,2003892,4.0,1050435,0.5
143,204.12346,2092852,4.3,979957,0.6
144,204.14385,2100019,4.3,1074284,0.6
145,204.26817,2140142,4.4,1230211,0.6
146,204.27763,2045870,4.2,1046278,0.6
147,204.28264,2140302,4.4,670256,0.6
148,204.29762,2175853,4.5,609884,0.6
149,204.36748,2051019,4.2,475614,0.6
150,204.42088,2028137,4.1,1072246,0.6
151,204.42419,2131945,4.4,640171,0.6
152,204.43171,2098921,4.3,783266,0.6
153,204.43685,2205576,4.6,554033,0.6
154,204.44804,2011368,4.1,641783,0.6
155,204.47976,2024167,4.1,880544,0.6
156,204.53636,2117733,4.4,1081099,0.6
157,204.58976,2101667,4.3,1013491,0.6
158,204.61037,2106338,4.3,976281,0.6
159,204.62317,2083106,4.3,815213,0.6
160,204.6446,2314433,5.0,664600,0.6
161,204.67275,2174432,4.5,1285560,0.6
162,204.68692,2336096,5.0,955783,0.6
163,204.73038,2237758,4.7,623410,0.6
164,204.78417,2269981,4.8,705326,0.6
165,204.8079,2016092,4.1,1134771,0.6
166,204.83416,1993179,4.0,1066432,0.5
167,204.95163,2062423,4.2,914760,0.6
168,204.95227,2355351,5.1,860132,0.6
169,204.95387,2044311,4.2,984988,0.6
170,204.98875,2098710,4.3,949405,0.6
171,205.01187,2340629,5.0,855213,0.6
172,205.0143,16522965,47.4,639542,4.5
173,205.01497,2168021,4.5,1110980,0.6
174,205.03234,2012820,4.1,826887,0.6
175,205.0333,2036724,4.1,562200,0.6
176,205.05069,11516372,32.5,664966,3.2
177,205.05255,2211156,4.7,1168967,0.6
178,205.06376,2747347,6.3,793162,0.8
179,205.08041,2127827,4.4,1106567,0.6
180,205.08709,6323027,16.9,615358,1.7
181,205.1081,2014162,4.1,1114028,0.6
182,205.11388,2213842,4.7,1033029,0.6
183,205.13429,2316625,5.0,1127830,0.6
184,205.26057,2573901,5.7,991248,0.7
185,205.29381,2081420,4.3,668787,0.6
186,205.30167,2176204,4.5,1179047,0.6
187,205.31212,2118924,4.4,781320,0.6
188,205.32681,2126859,4.4,900931,0.6
189,205.42216,2441032,5.3,1080145,0.7
190,205.52184,2107333,4.3,1104735,0.6
191,205.59769,2041795,4.1,840748,0.6
192,205.74606,2292735,4.9,745940,0.6
193,205.90838,2831034,6.5,893141,0.8
194,206.00957,4061624,10.2,928842,1.1
195,206.01765,2020151,4.1,621305,0.6
196,206.02215,4309431,10.9,838719,1.2
197,206.04502,2253047,4.8,818119,0.6
198,206.04594,4459959,11.4,1030391,1.2
199,206.0477,2407991,5.2,875812,0.7
200,206.07177,2181878,4.6,697074,0.6
201,206.08233,2090678,4.3,965646,0.6
202,206.08417,2798390,6.4,648227,0.8
203,206.08444,2002229,4.0,1483314,0.5
204,206.10836,2056373,4.2,647676,0.6
205,206.14888,2192116,4.6,668574,0.6
206,206.20763,1998450,4.0,997627,0.5
207,206.28002,2111312,4.4,647102,0.6
208,206.32644,2986927,7.0,677035,0.8
209,206.44754,2050860,4.2,1027101,0.6
210,206.46115,2095468,4.3,809349,0.6
211,206.48882,2026603,4.1,625238,0.6
212,206.62903,2271272,4.8,880585,0.6
213,206.63835,2057640,4.2,1160408,0.6
214,206.66243,2017815,4.1,490850,0.6
215,206.67027,2040295,4.1,951498,0.6
216,206.67186,2281255,4.9,759732,0.6
217,206.68061,2013863,4.1,896791,0.6
218,206.70004,2084070,4.3,885548,0.6
219,206.71783,2132646,4.4,870545,0.6
220,206.75252,2031013,4.1,1115642,0.6
221,206.7707,2112101,4.4,983656,0.6
222,206.77848,2143140,4.4,1115822,0.6
223,206.82286,2054307,4.2,1081847,0.6
224,206.87722,2025186,4.1,973516,0.6
225,206.9333,2065585,4.2,515592,0.6
226,206.94526,2182817,4.6,834259,0.6
227,206.99356,14057119,40.1,807857,3.8
228,206.99818,2009055,4.0,727185,0.5
229,207.01752,2300735,4.9,583356,0.6
230,207.02997,24730270,72.0,778928,6.8
231,207.06634,13525662,38.5,838105,3.7
232,207.07946,2562462,5.7,1010646,0.7
233,207.10272,6505629,17.5,867419,1.8
234,207.13154,2047836,4.2,903338,0.6
235,207.13607,2024092,4.1,1236571,0.6
236,207.15203,2096028,4.3,1120661,0.6
237,207.1525,2661788,6.0,1021876,0.7
238,207.2133,2068827,4.2,852817,0.6
239,207.33025,2240984,4.7,915757,0.6
240,207.41976,2001495,4.0,915700,0.5
241,207.47292,2296470,4.9,1081540,0.6
242,207.48142,2022741,4.1,828977,0.6
243,207.5174,2149205,4.5,861849,0.6
244,207.56375,2411156,5.3,1056772,0.7
245,207.62939,2037715,4.1,764863,0.6
246,207.66706,2154770,4.5,1085938,0.6
247,207.68811,2057362,4.2,1063204,0.6
248,207.69265,2076177,4.2,963039,0.6
249,207.753,2066256,4.2,978512,0.6
250,207.76326,2005392,4.0,861678,0.5
251,207.79109,2037328,4.1,876929,0.6
252,207.80893,2030863,4.1,1004525,0.6
253,207.81812,2014095,4.1,1209358,0.6
254,207.82413,2113807,4.4,1021047,0.6
255,207.82876,2006031,4.0,1078678,0.5
256,207.85403,2015119,4.1,1184011,0.6
257,207.87644,2207246,4.6,1098854,0.6
