,m/z,I,S/N,Res.,I %
0,200.00527,2057011,4.3,1154951,1.1
1,200.01923,1986866,4.0,1059865,1.1
2,200.02203,2326130,5.1,1086225,1.3
3,200.03317,2080914,4.3,809369,1.2
4,200.03534,2566002,5.8,958611,1.4
5,200.04795,2153585,4.5,1136452,1.2
6,200.06962,2095088,4.4,1358173,1.2
7,200.14699,1977773,4.0,1113088,1.1
8,200.23738,2093673,4.4,968615,1.2
9,200.25198,2169321,4.6,869257,1.2
10,200.29828,1973479,4.0,953629,1.1
11,200.29929,2061479,4.3,788232,1.1
12,200.32007,2515238,5.6,706100,1.4
13,200.34502,2031077,4.2,1053491,1.1
14,200.38779,2451619,5.5,852503,1.4
15,200.44546,1974369,4.0,929237,1.1
16,200.47082,2212448,4.7,1134581,1.2
17,200.51546,2077406,4.3,902659,1.2
18,200.62559,2020058,4.1,1102198,1.1
19,200.62896,2130010,4.5,936937,1.2
20,200.6813,2206616,4.7,627844,1.2
21,200.70573,1988119,4.0,888227,1.1
22,200.72865,2594902,5.9,1025879,1.4
23,200.74,2152789,4.5,967485,1.2
24,200.76585,2454036,5.5,770092,1.4
25,200.77695,1994132,4.1,683414,1.1
26,200.91217,2238671,4.8,786982,1.2
27,201.01941,3199947,7.7,785313,1.8
28,201.02058,2081482,4.3,836701,1.2
29,201.05575,1982537,4.0,1198562,1.1
30,201.0765,2034952,4.2,1057419,1.1
31,201.12429,2431367,5.4,723607,1.3
32,201.14381,2201734,4.7,1094093,1.2
33,201.15173,1976133,4.0,911949,1.1
34,201.15295,2111365,4.4,1089148,1.2
35,201.16499,2139781,4.5,980490,1.2
36,201.22533,2127235,4.5,795597,1.2
37,201.2284,1996995,4.1,760261,1.1
38,201.26064,2031873,4.2,775863,1.1
39,201.30869,1986048,4.0,877557,1.1
40,201.31235,2117183,4.4,885216,1.2
41,201.44644,2429754,5.4,863527,1.3
42,201.46565,1988154,4.0,859416,1.1
43,201.49626,2663801,6.1,681611,1.5
44,201.50509,1982808,4.0,654578,1.1
45,201.5398,2204919,4.7,1041727,1.2
46,201.55023,2060151,4.3,1025859,1.1
47,201.57591,2044598,4.2,723906,1.1
48,201.66759,1995250,4.1,916616,1.1
49,201.70498,2122225,4.5,760298,1.2
50,201.75365,1972911,4.0,790321,1.1
51,201.77941,2038638,4.2,1132882,1.1
52,201.79341,2003246,4.1,976589,1.1
53,201.8309,2051340,4.2,592292,1.1
54,201.85569,2204652,4.7,940663,1.2
55,201.86202,2011179,4.1,1220760,1.1
56,201.87625,2136619,4.5,999511,1.2
57,201.93403,2057385,4.3,866712,1.1
58,201.94526,2012008,4.1,992725,1.1
59,202.00247,2153638,4.5,804767,1.2
60,202.05045,2063973,4.3,977675,1.1
61,202.07217,2464548,5.5,1242075,1.4
62,202.18086,1987616,4.0,864515,1.1
63,202.2935,2222732,4.8,612506,1.2
64,202.38552,2364377,5.2,823001,1.3
65,202.41526,2929432,6.9,750201,1.6
66,202.46177,2053207,4.2,629329,1.1
67,202.50728,2140981,4.5,718198,1.2
68,202.51753,2024341,4.2,1149124,1.1
69,202.52528,1974228,4.0,1005933,1.1
70,202.5876,2345234,5.1,1193558,1.3
71,202.60749,2152274,4.5,800532,1.2
72,202.61241,2020721,4.1,755927,1.1
73,202.63208,2258129,4.9,766046,1.3
74,202.63829,2131217,4.5,872808,1.2
75,202.64396,1991184,4.1,940874,1.1
76,202.70556,2005006,4.1,1134949,1.1
77,202.75803,2144333,4.5,650536,1.2
78,202.76405,2000685,4.1,695252,1.1
79,202.80485,2062027,4.3,925993,1.1
80,202.81428,2028939,4.2,996916,1.1
81,202.90282,2022664,4.2,1013775,1.1
82,202.91151,2100488,4.4,1098929,1.2
83,202.92544,2397383,5.3,792125,1.3
84,202.94829,2466439,5.5,1110558,1.4
85,202.96907,2023942,4.2,1197098,1.1
86,202.99576,2171717,4.6,891099,1.2
87,202.99808,2175109,4.6,1006004,1.2
88,202.99862,4303237,11.1,831594,2.4
89,203.03499,3847172,9.7,750304,2.1
90,203.04621,3046020,7.3,918747,1.7
91,203.05241,2019395,4.1,972888,1.1
92,203.06984,2307395,5.0,751744,1.3
93,203.10385,2390530,5.3,885770,1.3
94,203.12598,2448513,5.4,1289872,1.4
95,203.15887,2737024,6.3,954191,1.5
96,203.26884,2280701,4.9,1112699,1.3
97,203.27545,2340668,5.1,955109,1.3
98,203.31825,2023419,4.2,1042035,1.1
99,203.35709,2114746,4.4,978090,1.2
100,203.41418,2232824,4.8,1002814,1.2
101,203.45206,2065271,4.3,854325,1.1
102,203.46491,2274359,4.9,753653,1.3
103,203.5164,2010357,4.1,1034173,1.1
104,203.56579,2345268,5.1,804538,1.3
105,203.60933,2053554,4.2,684110,1.1
106,203.64216,2036881,4.2,755298,1.1
107,203.70226,2712688,6.2,1027247,1.5
108,203.72246,2054127,4.2,796315,1.1
109,203.73192,2038575,4.2,971783,1.1
110,203.73394,1987183,4.0,846340,1.1
111,203.78986,2015981,4.1,1007684,1.1
112,203.79334,1983277,4.0,656399,1.1
113,203.803,2053101,4.2,847610,1.1
114,203.86182,2057195,4.3,828295,1.1
115,203.86523,2113771,4.4,1401345,1.2
116,203.87321,2273067,4.9,625346,1.3
117,203.87529,2138667,4.5,868991,1.2
118,203.88442,2008490,4.1,865401,1.1
119,203.88692,2177546,4.6,650515,1.2
120,203.90449,1987690,4.0,914873,1.1
121,203.93865,2327017,5.1,1224997,1.3
122,204.01016,2049607,4.2,629661,1.1
123,204.01262,2037927,4.2,1055765,1.1
124,204.02849,2013542,4.1,995184,1.1
125,204.02974,2338150,5.1,1065004,1.3
126,204.03039,2189862,4.7,743982,1.2
127,204.04053,2022374,4.2,1223798,1.1
128,204.05749,2134437,4.5,1072250,1.2
129,204.10612,2359844,5.2,947062,1.3
130,204.12828,1972931,4.0,700943,1.1
131,204.13998,2120931,4.5,775105,1.2
132,204.15173,2209891,4.7,1186693,1.2
133,204.18759,2263074,4.9,996174,1.3
134,204.19645,2022497,4.2,936698,1.1
135,204.20497,2461473,5.5,729647,1.4
136,204.2347,2061024,4.3,1089516,1.1
137,204.23852,1983456,4.0,1089565,1.1
138,204.2648,2736608,6.3,986716,1.5
139,204.28663,2232479,4.8,768150,1.2
140,204.30185,1981727,4.0,817912,1.1
141,204.31866,2246622,4.8,762946,1.2
142,204.36206,2190813,4.7,865902,1.2
143,204.39237,2055132,4.3,1136857,1.1
144,204.42557,2366427,5.2,618583,1.3
145,204.4622,2002138,4.1,1158841,1.1
146,204.48191,2117978,4.4,1198203,1.2
147,204.52,2357049,5.2,650180,1.3
148,204.52395,2003289,4.1,797020,1.1
149,204.54371,2224792,4.8,890351,1.2
150,204.54568,2068504,4.3,968332,1.1
151,204.57602,2112599,4.4,693958,1.2
152,204.61697,1998358,4.1,957013,1.1
153,204.6184,2215830,4.7,809609,1.2
154,204.64041,1992150,4.1,1065360,1.1
155,204.69266,2061460,4.3,935384,1.1
156,204.69973,1997780,4.1,1027848,1.1
157,204.75002,2087507,4.3,1065146,1.2
158,204.82132,2207569,4.7,1087507,1.2
159,204.83816,2366801,5.2,1006318,1.3
160,204.87309,2099984,4.4,923642,1.2
161,204.90505,2083535,4.3,1047872,1.2
162,204.92867,2191182,4.7,844955,1.2
163,204.9387,2172238,4.6,882481,1.2
164,205.01179,2214732,4.7,1175464,1.2
165,205.0143,5919052,16.0,939648,3.3
166,205.02322,2133708,4.5,978306,1.2
167,205.05063,2063371,4.3,1040377,1.1
168,205.07946,1981451,4.0,741718,1.1
169,205.1355,2149385,4.5,938846,1.2
170,205.1632,1996937,4.1,1046634,1.1
171,205.16859,2047305,4.2,900244,1.1
172,205.21937,1987719,4.0,896318,1.1
173,205.23316,2375239,5.2,896191,1.3
174,205.23901,2151623,4.5,814973,1.2
175,205.24796,2573703,5.8,871892,1.4
176,205.25843,2199878,4.7,1250384,1.2
177,205.36824,1975348,4.0,545766,1.1
178,205.42379,2491715,5.6,671426,1.4
179,205.43217,2244226,4.8,980524,1.2
180,205.47208,2141442,4.5,918346,1.2
181,205.48326,2214209,4.7,829288,1.2
182,205.56456,2326335,5.1,1091952,1.3
183,205.56571,2045567,4.2,615703,1.1
184,205.60111,1992383,4.1,539515,1.1
185,205.61393,2096318,4.4,953230,1.2
186,205.67732,2254909,4.9,774731,1.2
187,205.81855,2187450,4.7,1150785,1.2
188,205.85463,2168633,4.6,938728,1.2
189,205.87107,2172217,4.6,716114,1.2
190,205.8876,1991864,4.1,865726,1.1
191,205.92512,2200568,4.7,894179,1.2
192,205.96601,2099063,4.4,975870,1.2
193,206.00955,1979446,4.0,1247409,1.1
194,206.01826,2141750,4.5,972211,1.2
195,206.01986,2233526,4.8,917291,1.2
196,206.04781,2512949,5.6,985900,1.4
197,206.05654,2223029,4.8,600372,1.2
198,206.0628,1978101,4.0,1033927,1.1
199,206.07235,2112949,4.4,865811,1.2
200,206.12455,2293236,5.0,848418,1.3
201,206.13083,2126579,4.5,880613,1.2
202,206.18152,2352434,5.2,1420673,1.3
203,206.19424,2288882,5.0,704083,1.3
204,206.29564,2382512,5.2,911994,1.3
205,206.30761,2365232,5.2,901855,1.3
206,206.38206,2043631,4.2,1002077,1.1
207,206.39446,1981614,4.0,1030190,1.1
208,206.49086,2037644,4.2,479115,1.1
209,206.50873,2021932,4.2,1155534,1.1
210,206.56076,2034283,4.2,924739,1.1
211,206.6039,2002090,4.1,1086475,1.1
212,206.60709,2103594,4.4,999100,1.2
213,206.67912,2190505,4.7,691527,1.2
214,206.68535,2088233,4.4,1115482,1.2
215,206.75338,2087592,4.3,1244831,1.2
216,206.80609,2090791,4.4,1067285,1.2
217,206.80787,2833127,6.6,702285,1.6
218,206.85232,2359910,5.2,684909,1.3
219,206.85838,1988774,4.1,1006156,1.1
220,206.90362,2082213,4.3,1046162,1.2
221,206.91754,2057701,4.3,998206,1.1
222,206.9263,1989029,4.1,1072542,1.1
223,206.93618,2046117,4.2,1346139,1.1
224,206.96269,2148964,4.5,693973,1.2
225,206.97595,2098340,4.4,1097843,1.2
226,206.98018,1992356,4.1,951225,1.1
227,206.99355,8064292,22.5,844324,4.5
