,m/z,I,S/N,Res.,I %
0,200.01151,4946713,12.9,934116,1.7
1,200.0191,1993945,4.0,768563,0.7
2,200.03536,3467288,8.5,1234011,1.2
3,200.04793,4744215,12.3,935811,1.6
4,200.07165,2349462,5.1,1146130,0.8
5,200.08013,2063574,4.2,764554,0.7
6,200.17896,2114130,4.4,643266,0.7
7,200.20268,2073041,4.3,820661,0.7
8,200.2946,2030861,4.1,1139572,0.7
9,200.31979,2052108,4.2,841155,0.7
10,200.35877,2126539,4.4,898765,0.7
11,200.41566,2370248,5.2,817423,0.8
12,200.43879,2031431,4.1,908206,0.7
13,200.49011,2167749,4.6,793887,0.7
14,200.51245,2118340,4.4,1142197,0.7
15,200.54883,2012259,4.1,833386,0.7
16,200.5771,2226050,4.7,966809,0.8
17,200.58533,2246145,4.8,1108905,0.8
18,200.59583,2137153,4.5,1130075,0.7
19,200.61054,1985152,4.0,805453,0.7
20,200.61802,2155616,4.5,737535,0.7
21,200.62183,2010144,4.1,676119,0.7
22,200.62313,2062272,4.2,762630,0.7
23,200.73496,2266939,4.9,771541,0.8
24,200.80906,2210296,4.7,1058724,0.8
25,200.82328,2626296,5.9,999318,0.9
26,200.83692,2102903,4.4,1128343,0.7
27,200.8992,2355381,5.1,925200,0.8
28,200.97293,2099314,4.4,490093,0.7
29,201.00339,2044593,4.2,821282,0.7
30,201.00514,2167089,4.6,564285,0.7
31,201.01934,16586736,48.0,876602,5.7
32,201.02255,2108080,4.4,1102234,0.7
33,201.02704,2263280,4.8,990817,0.8
34,201.04051,2928751,6.8,1084760,1.0
35,201.04382,2254191,4.8,929345,0.8
36,201.0529,2529327,5.6,813183,0.9
37,201.05572,11988975,34.1,934091,4.1
38,201.05833,2042671,4.2,807759,0.7
39,201.07597,2045806,4.2,1021296,0.7
40,201.07683,2515182,5.6,991322,0.9
41,201.10678,2045357,4.2,1108623,0.7
42,201.11323,7682797,21.2,834485,2.6
43,201.2075,2083689,4.3,733692,0.7
44,201.21138,2013801,4.1,1162308,0.7
45,201.26231,2065959,4.3,1161876,0.7
46,201.30749,2306597,5.0,1022390,0.8
47,201.32104,2044837,4.2,939710,0.7
48,201.34062,2494052,5.5,920342,0.9
49,201.39485,2295522,4.9,792706,0.8
50,201.40221,2454946,5.4,954445,0.8
51,201.40452,2067617,4.3,921098,0.7
