,m/z,I,S/N,Res.,I %
0,200.01776,1986310,4.0,1236608,0.6
1,200.0305,2288710,4.9,901390,0.7
2,200.0372,2785542,6.5,1186385,0.9
3,200.04025,2163526,4.6,888470,0.7
4,200.04657,2007173,4.1,954552,0.6
5,200.04843,2052293,4.2,964986,0.6
6,200.05087,2316037,5.0,1080199,0.7
7,200.05407,2291333,5.0,1455094,0.7
8,200.05432,2462341,5.5,1163425,0.8
9,200.07252,5040261,13.3,1039006,1.6
10,200.0736,8987268,25.2,739705,2.8
11,200.08483,2116164,4.4,903852,0.7
12,200.09264,1989892,4.0,1321506,0.6
13,200.11302,2520067,5.6,947515,0.8
14,200.12708,2103362,4.4,1091488,0.7
15,200.13638,2011394,4.1,806338,0.6
16,200.17377,2451201,5.4,1007231,0.8
17,200.18392,2035392,4.2,943910,0.6
18,200.1972,2118656,4.4,1103512,0.7
19,200.20117,2044096,4.2,858449,0.6
20,200.21059,2125375,4.5,1131364,0.7
21,200.23986,2024062,4.1,859842,0.6
22,200.27838,1983805,4.0,1030810,0.6
23,200.27902,2105629,4.4,759347,0.7
24,200.31169,2125948,4.5,1114291,0.7
25,200.31319,2033596,4.2,982816,0.6
26,200.32012,2404604,5.3,1032779,0.7
27,200.32876,2354491,5.1,932832,0.7
28,200.33647,1992635,4.1,968979,0.6
29,200.35107,2142459,4.5,1044136,0.7
30,200.37162,2174970,4.6,841608,0.7
31,200.39962,2262905,4.9,777029,0.7
32,200.4084,2126265,4.5,924942,0.7
33,200.41223,2115128,4.4,979463,0.7
34,200.41961,2448760,5.4,889402,0.8
35,200.50061,2088309,4.3,998947,0.6
36,200.5338,2014900,4.1,757522,0.6
37,200.56184,2259635,4.9,701755,0.7
38,200.57473,1995251,4.1,1419696,0.6
39,200.58749,2101554,4.4,923973,0.7
40,200.73783,1994925,4.1,1110960,0.6
41,200.77268,1999212,4.1,1255111,0.6
42,200.8041,2061739,4.3,696214,0.6
43,200.82725,2101738,4.4,820090,0.7
44,200.84631,2082665,4.3,779872,0.6
45,200.8908,2116264,4.4,758516,0.7
46,200.89945,2140712,4.5,1055939,0.7
47,200.90191,2276072,4.9,1008641,0.7
48,200.93605,2446310,5.4,1002325,0.8
49,200.94742,2112486,4.4,979986,0.7
50,200.98637,4340837,11.2,857427,1.3
